record_id,slope_id,district_id,rock_type,geological_age,rock_class,weathering_grade,rock_mass_rating,joint_dip_deg,joint_strike_deg,joint_spacing_m,joint_aperture_class,infill_material,ucs_mpa,discontinuity_persistence,structural_control_risk
236,176,21,Schist,Precambrian,Metamorphic,0,4,19.3,30,9.16,Closed,Calcite,181.8,0.82,Low
237,174,33,Granite,Paleozoic,Metamorphic,1,3,8.1,96,2.87,Tight,Clay,161.5,0.64,Moderate
238,69,58,Granite,Quaternary,Sedimentary,2,2,58.9,179,2.03,Very Tight,None,121.6,0.12,Low
239,143,27,Sandstone,Quaternary,Metamorphic,0,3,87.9,125,8.04,Open,None,241.9,0.6,Low
240,31,57,Granite,Paleozoic,Metamorphic,4,3,34.4,5,4.39,Closed,Iron Oxide,18.0,0.74,Moderate
241,205,21,Schist,Quaternary,Sedimentary,4,3,51.9,38,1.96,Open,Iron Oxide,37.8,0.83,Low
242,167,44,Phyllite,Precambrian,Sedimentary,0,2,62.6,160,9.39,Very Tight,None,249.2,0.39,Very High
243,301,14,Shale,Precambrian,Sedimentary,0,3,65.3,51,8.25,Open,Calcite,247.0,0.78,High
244,378,36,Quartzite,Quaternary,Metamorphic,2,4,5.4,43,4.01,Tight,Clay,30.8,0.61,Low
245,230,59,Schist,Quaternary,Igneous,0,3,17.9,129,3.11,Open,Clay,37.4,0.7,Low
246,480,56,Granite,Cenozoic,Sedimentary,1,3,88.0,83,9.42,Tight,Clay,48.8,0.06,High
247,48,10,Gneiss,Cenozoic,Metamorphic,2,2,29.7,56,1.2,Tight,Iron Oxide,210.6,0.25,Moderate
248,361,43,Shale,Precambrian,Sedimentary,0,3,80.9,47,1.24,Open,Calcite,140.6,0.33,Low
249,19,30,Schist,Mesozoic,Igneous,1,4,75.3,86,4.64,Open,Calcite,198.9,0.76,Moderate
250,484,10,Schist,Precambrian,Igneous,5,5,43.8,107,6.1,Tight,Quartz,54.4,0.43,Moderate
251,43,55,Granite,Cenozoic,Metamorphic,2,2,2.5,46,3.68,Closed,Clay,231.0,0.69,Moderate
252,164,2,Quartzite,Quaternary,Metamorphic,1,5,34.1,21,6.83,Open,Calcite,125.8,0.61,Low
253,252,46,Shale,Mesozoic,Sedimentary,0,2,70.6,78,0.15,Open,Quartz,17.1,0.32,High
254,321,24,Granite,Precambrian,Metamorphic,4,2,56.7,101,6.63,Tight,Quartz,37.8,0.12,High
255,467,57,Quartzite,Mesozoic,Igneous,2,3,42.8,144,6.07,Tight,Iron Oxide,109.4,0.87,High
256,441,56,Schist,Mesozoic,Igneous,2,1,39.9,72,3.36,Open,Clay,214.6,0.29,Low
257,223,44,Basalt,Mesozoic,Sedimentary,2,3,67.5,125,0.78,Tight,None,28.8,0.44,Moderate
258,276,62,Schist,Quaternary,Sedimentary,2,5,38.2,174,6.67,Closed,Iron Oxide,182.2,0.78,Moderate
259,367,29,Granite,Mesozoic,Igneous,0,5,69.5,136,0.85,Very Tight,Calcite,43.2,0.64,High
260,416,37,Limestone,Cenozoic,Sedimentary,0,4,88.1,12,2.34,Very Tight,Quartz,113.0,0.02,High
261,211,39,Shale,Paleozoic,Metamorphic,5,4,79.1,32,6.75,Open,Iron Oxide,159.3,0.8,Low
262,320,23,Schist,Precambrian,Sedimentary,1,4,16.0,32,9.03,Very Tight,Calcite,122.0,0.91,High
263,387,6,Shale,Mesozoic,Sedimentary,3,1,23.1,170,0.92,Open,Calcite,178.7,0.3,High
264,482,6,Quartzite,Paleozoic,Igneous,1,3,12.2,30,5.09,Very Tight,Iron Oxide,222.5,0.94,Moderate
265,224,56,Shale,Cenozoic,Igneous,0,4,67.3,40,0.5,Open,None,102.5,0.45,Low
266,492,16,Gneiss,Paleozoic,Metamorphic,3,4,4.8,110,1.87,Open,Iron Oxide,217.1,0.95,High
267,458,31,Sandstone,Precambrian,Metamorphic,0,3,68.4,125,6.64,Open,Iron Oxide,21.0,0.7,High
268,160,34,Sandstone,Paleozoic,Sedimentary,2,2,45.9,101,9.16,Closed,None,86.3,0.12,Moderate
269,355,23,Limestone,Paleozoic,Sedimentary,0,5,28.7,61,7.15,Very Tight,Clay,204.9,0.1,Low
270,171,46,Basalt,Mesozoic,Sedimentary,5,5,85.2,14,7.19,Closed,Clay,197.2,0.9,High
271,488,17,Limestone,Quaternary,Igneous,2,4,41.4,172,4.19,Very Tight,None,108.9,0.51,Moderate
272,113,30,Sandstone,Quaternary,Sedimentary,2,2,9.2,115,5.68,Very Tight,None,141.9,0.95,High
273,159,55,Limestone,Precambrian,Sedimentary,4,3,67.1,36,0.3,Very Tight,Iron Oxide,233.8,0.14,Low
274,6,1,Limestone,Mesozoic,Igneous,3,2,70.9,105,5.88,Open,Clay,82.7,0.38,High
275,305,51,Limestone,Cenozoic,Igneous,5,2,58.6,34,0.51,Open,Iron Oxide,132.5,0.82,Low
276,360,52,Granite,Precambrian,Metamorphic,1,3,23.4,116,9.43,Tight,None,89.2,0.68,Moderate
277,359,40,Limestone,Cenozoic,Sedimentary,4,3,13.1,108,4.94,Closed,Quartz,49.0,0.41,Low
278,414,36,Limestone,Cenozoic,Metamorphic,4,3,51.1,145,6.95,Open,None,239.4,0.02,Low
279,172,39,Quartzite,Precambrian,Sedimentary,1,3,61.9,108,6.14,Tight,Calcite,93.8,0.07,Very High
280,119,18,Quartzite,Quaternary,Sedimentary,1,2,62.7,122,1.05,Closed,Iron Oxide,144.1,0.59,Very High
281,465,39,Quartzite,Paleozoic,Sedimentary,0,5,27.2,103,1.55,Open,None,167.3,0.1,Very High
282,66,37,Gneiss,Paleozoic,Igneous,3,1,17.6,117,7.11,Tight,Calcite,160.0,0.31,Low
283,310,38,Schist,Mesozoic,Sedimentary,5,2,73.4,85,2.92,Tight,Calcite,215.1,0.52,High
284,33,36,Sandstone,Quaternary,Sedimentary,5,3,28.8,109,8.12,Very Tight,Iron Oxide,65.7,0.19,Low
285,185,1,Sandstone,Cenozoic,Igneous,4,1,53.2,161,0.2,Closed,Clay,142.8,0.13,Very High
286,254,49,Basalt,Precambrian,Sedimentary,1,3,41.4,19,6.55,Open,Iron Oxide,159.7,0.75,High
287,460,49,Gneiss,Quaternary,Sedimentary,2,5,72.8,137,6.96,Open,Iron Oxide,51.6,0.58,Low
288,463,56,Basalt,Precambrian,Metamorphic,5,1,34.1,129,4.24,Very Tight,Quartz,231.5,0.53,Moderate
289,451,41,Basalt,Cenozoic,Sedimentary,4,5,81.6,72,6.82,Closed,Calcite,14.3,0.57,Low
290,272,61,Quartzite,Quaternary,Metamorphic,0,4,31.0,18,5.27,Very Tight,Clay,79.4,0.96,Moderate
291,410,11,Granite,Paleozoic,Sedimentary,3,1,8.2,72,3.66,Very Tight,Quartz,122.4,0.84,High
292,113,30,Quartzite,Precambrian,Sedimentary,4,3,15.2,14,1.74,Very Tight,Clay,70.3,0.24,High
293,337,59,Shale,Precambrian,Sedimentary,5,2,73.1,174,5.98,Very Tight,Calcite,60.4,0.07,High
294,85,33,Phyllite,Cenozoic,Sedimentary,0,3,82.4,127,9.39,Open,Quartz,205.5,0.5,Very High
295,446,57,Limestone,Cenozoic,Sedimentary,5,3,42.8,150,7.21,Closed,Clay,210.7,0.21,High
296,273,23,Basalt,Mesozoic,Igneous,2,3,13.7,14,6.15,Closed,Iron Oxide,108.8,0.82,Moderate
297,281,58,Schist,Cenozoic,Sedimentary,3,5,16.0,136,0.2,Open,Clay,155.2,0.37,Moderate
298,291,54,Granite,Mesozoic,Metamorphic,1,5,38.8,104,9.78,Closed,Clay,159.3,0.05,Moderate
299,38,62,Granite,Cenozoic,Sedimentary,4,5,65.2,36,1.0,Tight,Calcite,27.0,0.18,Low
300,229,62,Quartzite,Precambrian,Sedimentary,5,2,49.8,68,7.55,Closed,Calcite,112.3,0.75,Moderate
301,305,51,Phyllite,Quaternary,Sedimentary,3,1,20.5,100,1.53,Closed,Clay,157.0,0.56,Moderate
302,154,46,Granite,Precambrian,Sedimentary,2,3,55.0,154,0.29,Open,None,86.5,0.01,Moderate
303,302,59,Granite,Precambrian,Igneous,4,2,24.2,71,7.69,Closed,Iron Oxide,209.4,0.24,High
304,497,32,Schist,Paleozoic,Igneous,3,3,63.9,177,8.08,Tight,Clay,169.1,0.96,Very High
305,474,23,Basalt,Quaternary,Metamorphic,2,2,16.9,72,9.61,Open,Calcite,51.8,0.42,Very High
306,234,19,Phyllite,Mesozoic,Metamorphic,2,4,80.9,154,7.43,Very Tight,Clay,126.0,0.62,Moderate
307,434,13,Gneiss,Paleozoic,Sedimentary,0,3,81.0,43,9.0,Very Tight,Iron Oxide,112.5,0.14,High
308,8,39,Gneiss,Quaternary,Igneous,1,1,24.4,163,1.16,Tight,Quartz,58.6,0.39,Moderate
309,20,55,Basalt,Paleozoic,Sedimentary,3,1,50.9,69,8.97,Closed,Clay,31.4,0.65,High
310,418,51,Limestone,Precambrian,Metamorphic,4,3,22.8,144,3.37,Very Tight,Calcite,155.6,0.21,Moderate
311,22,26,Shale,Quaternary,Igneous,1,4,23.6,99,2.91,Closed,Iron Oxide,49.9,0.59,Very High
312,314,31,Sandstone,Paleozoic,Sedimentary,3,1,10.6,76,4.43,Very Tight,Calcite,28.0,0.93,High
313,313,39,Phyllite,Quaternary,Igneous,5,3,59.8,23,2.35,Tight,Iron Oxide,208.9,0.7,Low
314,434,13,Gneiss,Precambrian,Metamorphic,5,1,60.9,158,8.71,Closed,Clay,120.6,0.56,Low
315,2,16,Limestone,Quaternary,Igneous,2,5,55.7,178,1.34,Tight,Quartz,154.1,0.36,Very High
316,147,29,Granite,Paleozoic,Igneous,2,4,23.9,83,8.46,Very Tight,Quartz,74.8,0.92,Moderate
317,241,16,Basalt,Paleozoic,Metamorphic,1,5,64.1,66,3.69,Tight,Clay,191.2,0.44,High
318,119,18,Shale,Quaternary,Sedimentary,1,5,77.2,53,5.47,Very Tight,Calcite,77.0,0.09,Moderate
319,160,34,Quartzite,Precambrian,Metamorphic,4,4,10.6,137,1.88,Tight,Iron Oxide,99.4,0.17,Moderate
320,204,25,Sandstone,Cenozoic,Sedimentary,1,3,50.0,132,6.37,Closed,None,205.8,0.41,Moderate
321,336,47,Quartzite,Mesozoic,Igneous,5,1,44.4,55,2.08,Tight,Iron Oxide,158.9,0.55,Moderate
322,341,45,Basalt,Cenozoic,Metamorphic,2,1,52.8,108,2.52,Open,Quartz,114.9,0.51,Low
323,166,39,Limestone,Paleozoic,Metamorphic,2,2,61.9,35,8.09,Very Tight,Quartz,242.3,0.79,Low
324,118,39,Phyllite,Mesozoic,Igneous,5,5,32.4,94,7.62,Closed,Clay,24.9,0.54,Moderate
325,138,54,Limestone,Precambrian,Metamorphic,5,4,56.8,173,3.54,Very Tight,Clay,117.7,0.3,Very High
326,77,47,Limestone,Cenozoic,Igneous,4,5,39.7,57,2.94,Very Tight,Clay,180.6,0.08,High
327,341,45,Quartzite,Cenozoic,Sedimentary,2,5,2.4,61,6.74,Tight,Iron Oxide,173.4,0.77,Very High
328,32,43,Limestone,Paleozoic,Metamorphic,4,2,15.5,60,7.4,Closed,Iron Oxide,33.4,0.6,High
329,447,12,Limestone,Quaternary,Metamorphic,3,3,27.2,124,2.04,Open,Quartz,12.6,0.38,Low
330,331,24,Quartzite,Cenozoic,Igneous,1,2,87.2,102,0.25,Closed,Clay,125.9,0.39,Moderate
331,287,12,Gneiss,Quaternary,Igneous,1,4,42.4,176,9.95,Closed,None,137.9,0.86,Low
332,196,48,Basalt,Quaternary,Igneous,3,3,21.7,111,1.92,Closed,Clay,85.1,0.73,High
333,474,23,Limestone,Paleozoic,Metamorphic,2,3,28.6,41,1.73,Open,Calcite,147.6,0.04,High
334,454,19,Granite,Quaternary,Igneous,0,5,3.7,85,4.09,Open,Quartz,32.6,0.74,Low
335,75,15,Limestone,Precambrian,Metamorphic,0,2,61.3,25,7.38,Open,None,81.6,0.78,High
336,168,14,Basalt,Mesozoic,Igneous,0,1,84.7,108,4.5,Closed,Calcite,133.8,0.7,High
337,385,6,Quartzite,Paleozoic,Sedimentary,2,5,40.1,123,1.91,Tight,None,176.1,0.45,Moderate
338,108,42,Phyllite,Quaternary,Sedimentary,0,4,64.7,89,6.77,Closed,Calcite,101.0,0.48,Moderate
339,108,42,Sandstone,Paleozoic,Igneous,0,4,26.4,64,2.33,Tight,Calcite,245.7,0.27,Low
340,325,10,Basalt,Precambrian,Sedimentary,5,2,17.6,53,9.79,Tight,Clay,169.4,0.47,Very High
341,319,12,Gneiss,Quaternary,Metamorphic,3,5,32.4,118,5.78,Closed,None,141.9,0.38,Low
342,274,38,Sandstone,Mesozoic,Igneous,2,5,16.3,35,4.93,Closed,Iron Oxide,49.5,0.21,Very High
343,217,47,Basalt,Mesozoic,Sedimentary,4,2,70.9,79,6.07,Open,Iron Oxide,117.3,0.21,High
344,36,33,Phyllite,Quaternary,Igneous,1,1,45.9,122,8.34,Very Tight,None,45.8,0.89,Moderate
345,376,55,Sandstone,Quaternary,Sedimentary,2,2,81.3,114,7.55,Tight,Calcite,96.7,0.38,Moderate
346,203,36,Phyllite,Precambrian,Sedimentary,1,1,74.2,123,7.09,Very Tight,Clay,249.0,0.43,High
347,455,18,Basalt,Mesozoic,Sedimentary,1,4,26.5,33,9.38,Closed,None,40.9,0.34,High
348,474,23,Schist,Paleozoic,Igneous,2,1,45.2,44,1.58,Tight,Calcite,249.6,0.98,Low
349,294,22,Limestone,Precambrian,Metamorphic,3,2,70.4,98,6.2,Very Tight,None,19.4,0.15,Moderate
350,24,8,Granite,Paleozoic,Metamorphic,5,5,4.8,159,8.46,Tight,None,135.1,0.46,Very High
351,363,8,Phyllite,Paleozoic,Sedimentary,5,1,80.0,166,7.6,Very Tight,None,119.5,0.56,Low
352,390,28,Basalt,Paleozoic,Sedimentary,1,1,42.5,11,1.92,Very Tight,Quartz,193.8,0.98,Low
353,402,22,Schist,Paleozoic,Metamorphic,5,5,71.5,132,7.04,Open,None,155.3,0.19,Very High
354,55,41,Limestone,Paleozoic,Igneous,5,5,60.0,86,9.62,Closed,None,48.3,0.09,Moderate
355,45,11,Sandstone,Mesozoic,Metamorphic,0,4,7.6,170,2.01,Closed,Iron Oxide,131.4,0.94,Very High
356,258,27,Shale,Cenozoic,Sedimentary,2,2,55.8,168,5.12,Very Tight,Calcite,132.9,0.5,Moderate
357,318,57,Gneiss,Cenozoic,Metamorphic,2,3,73.1,112,7.06,Tight,Iron Oxide,51.9,0.2,Very High
358,149,8,Gneiss,Quaternary,Igneous,1,1,57.4,83,9.42,Tight,Iron Oxide,32.6,0.87,Low
359,357,2,Basalt,Mesozoic,Sedimentary,1,1,67.3,78,9.6,Tight,None,180.9,0.68,Low
360,135,22,Shale,Mesozoic,Igneous,5,4,51.6,134,1.44,Tight,Clay,53.1,0.92,Very High
361,274,38,Limestone,Precambrian,Igneous,2,2,3.9,120,4.3,Tight,Iron Oxide,105.7,0.18,Very High
362,139,3,Sandstone,Quaternary,Igneous,4,2,5.5,150,2.81,Open,None,136.7,0.24,Very High
363,68,40,Shale,Paleozoic,Sedimentary,0,4,73.8,130,5.2,Open,Clay,82.5,0.81,Low
364,119,18,Granite,Quaternary,Metamorphic,1,5,57.0,1,7.88,Very Tight,None,205.0,0.09,High
365,285,41,Phyllite,Mesozoic,Metamorphic,4,2,3.1,166,6.22,Tight,Clay,199.0,0.17,Moderate
366,65,27,Shale,Precambrian,Igneous,4,4,25.9,17,7.23,Tight,Iron Oxide,93.9,0.76,Low
367,58,19,Basalt,Cenozoic,Sedimentary,5,5,87.5,44,8.13,Closed,Iron Oxide,17.1,0.91,Very High
368,278,33,Basalt,Cenozoic,Igneous,4,5,38.3,40,0.13,Very Tight,Calcite,42.6,0.67,Moderate
369,434,13,Gneiss,Paleozoic,Sedimentary,4,1,55.5,168,6.47,Tight,Calcite,28.7,0.84,Low
370,230,59,Basalt,Precambrian,Metamorphic,5,4,59.0,74,0.96,Very Tight,Quartz,228.7,0.39,Very High
371,271,46,Shale,Paleozoic,Sedimentary,2,2,20.8,4,0.32,Tight,Iron Oxide,101.5,0.4,Very High
372,172,39,Granite,Paleozoic,Sedimentary,5,4,16.3,128,1.15,Tight,Quartz,61.7,0.25,Low
373,200,32,Basalt,Mesozoic,Sedimentary,4,1,28.2,121,3.78,Closed,Calcite,20.1,0.79,Moderate
374,426,27,Shale,Cenozoic,Igneous,5,1,75.8,139,2.48,Closed,Iron Oxide,173.2,0.15,Low
375,267,8,Quartzite,Cenozoic,Sedimentary,2,2,52.6,145,8.38,Open,Iron Oxide,37.6,0.12,Low
376,372,26,Phyllite,Quaternary,Metamorphic,1,1,36.9,41,1.37,Tight,Calcite,208.0,0.75,Very High
377,133,25,Quartzite,Mesozoic,Igneous,5,5,64.9,90,9.07,Closed,Clay,97.7,0.26,Very High
378,158,29,Schist,Quaternary,Sedimentary,2,4,76.7,9,6.18,Open,Iron Oxide,182.7,0.6,Very High
379,475,57,Phyllite,Quaternary,Sedimentary,1,4,62.2,88,7.48,Open,Clay,14.2,0.96,Very High
380,437,26,Basalt,Quaternary,Sedimentary,0,3,38.7,89,6.5,Tight,None,120.6,0.32,Moderate
381,288,37,Quartzite,Paleozoic,Igneous,0,5,29.0,118,4.92,Open,Iron Oxide,233.2,0.85,High
382,330,35,Quartzite,Cenozoic,Igneous,2,1,25.0,112,9.17,Tight,Quartz,44.2,0.48,Very High
383,349,15,Schist,Paleozoic,Metamorphic,0,4,87.2,98,1.31,Closed,Quartz,49.7,0.94,Very High
384,330,35,Schist,Precambrian,Sedimentary,0,4,6.2,89,3.39,Very Tight,Quartz,204.2,0.81,Moderate
385,72,18,Basalt,Cenozoic,Sedimentary,1,3,37.4,175,7.75,Closed,Clay,14.0,0.83,Low
386,43,55,Granite,Precambrian,Igneous,4,1,34.0,135,5.27,Open,Calcite,82.0,0.86,Moderate
387,337,59,Sandstone,Paleozoic,Metamorphic,3,2,89.4,94,0.5,Open,Quartz,192.1,0.28,Moderate
388,359,40,Quartzite,Mesozoic,Igneous,2,1,67.4,61,5.06,Closed,None,216.7,0.16,Moderate
389,381,58,Sandstone,Mesozoic,Igneous,0,2,74.0,172,6.45,Tight,None,70.5,0.54,High
390,243,37,Phyllite,Paleozoic,Sedimentary,0,5,3.0,94,3.34,Tight,Iron Oxide,224.7,1.0,Very High
391,324,43,Phyllite,Paleozoic,Sedimentary,1,2,30.8,42,1.41,Closed,Quartz,88.0,0.43,Low
392,435,55,Granite,Precambrian,Igneous,4,5,81.7,35,1.75,Open,Clay,77.9,0.94,Low
393,425,4,Quartzite,Quaternary,Metamorphic,1,5,30.9,16,8.66,Tight,Quartz,114.3,0.4,Moderate
394,272,61,Granite,Precambrian,Metamorphic,4,1,39.5,153,0.45,Very Tight,None,216.8,0.53,Moderate
395,500,17,Phyllite,Cenozoic,Metamorphic,1,3,0.8,123,6.29,Tight,Quartz,148.6,0.86,Moderate
396,276,62,Granite,Precambrian,Igneous,5,4,43.0,59,1.51,Very Tight,Iron Oxide,41.1,0.04,Moderate
397,139,3,Phyllite,Quaternary,Metamorphic,4,1,81.3,143,4.62,Open,None,190.8,0.37,Moderate
398,216,25,Quartzite,Precambrian,Igneous,1,1,59.5,21,8.0,Very Tight,Calcite,68.0,0.34,High
399,354,36,Gneiss,Paleozoic,Sedimentary,4,2,69.2,10,1.74,Open,Iron Oxide,246.6,0.97,Very High
400,326,3,Phyllite,Cenozoic,Sedimentary,0,3,6.1,171,0.14,Very Tight,Quartz,15.5,0.2,High
401,250,11,Granite,Quaternary,Metamorphic,3,5,73.1,56,2.64,Closed,Iron Oxide,151.5,0.97,Very High
402,326,3,Sandstone,Precambrian,Igneous,2,3,33.1,133,8.64,Tight,None,30.9,0.5,Very High
403,220,47,Sandstone,Cenozoic,Igneous,3,4,17.5,156,0.11,Very Tight,None,238.1,0.61,Low
404,85,33,Basalt,Quaternary,Igneous,0,5,5.7,81,6.15,Very Tight,Clay,183.9,0.47,Moderate
405,144,5,Phyllite,Quaternary,Igneous,5,3,45.4,180,3.15,Very Tight,Calcite,170.7,0.9,Very High
406,176,21,Schist,Paleozoic,Igneous,5,1,49.9,21,4.61,Very Tight,Calcite,154.7,0.56,Moderate
407,201,13,Sandstone,Quaternary,Metamorphic,1,4,25.1,132,0.93,Closed,Iron Oxide,49.8,0.65,Low
408,156,3,Shale,Cenozoic,Igneous,5,5,21.4,166,9.2,Tight,Calcite,150.7,0.65,Low
409,312,23,Limestone,Paleozoic,Igneous,4,5,72.4,22,9.25,Open,None,92.2,0.01,Very High
410,431,6,Schist,Quaternary,Metamorphic,2,1,44.0,137,0.94,Closed,None,18.0,0.77,Very High
411,407,21,Gneiss,Precambrian,Sedimentary,4,1,61.7,154,2.4,Closed,Calcite,129.9,0.08,Moderate
412,71,21,Phyllite,Paleozoic,Metamorphic,2,5,53.9,29,6.56,Very Tight,None,67.5,0.2,Moderate
413,297,55,Sandstone,Mesozoic,Metamorphic,4,2,23.0,0,9.31,Tight,Quartz,151.2,0.84,High
414,107,47,Quartzite,Mesozoic,Sedimentary,0,4,86.6,113,2.5,Open,Quartz,232.6,0.34,Moderate
415,322,11,Basalt,Quaternary,Metamorphic,3,4,63.7,10,7.17,Open,Quartz,151.3,0.94,Low
416,151,43,Schist,Mesozoic,Metamorphic,5,1,26.5,94,8.21,Closed,Calcite,220.3,0.11,Low
417,450,35,Granite,Quaternary,Sedimentary,3,1,86.4,105,2.34,Tight,None,147.6,0.75,Moderate
418,358,52,Shale,Precambrian,Sedimentary,5,4,29.6,159,8.36,Closed,Iron Oxide,243.3,0.46,High
419,44,60,Quartzite,Paleozoic,Metamorphic,1,4,88.8,53,4.51,Very Tight,Calcite,182.2,0.58,Very High
420,359,40,Shale,Mesozoic,Sedimentary,3,3,1.7,121,3.9,Open,Calcite,236.2,0.59,Very High
421,445,22,Schist,Cenozoic,Metamorphic,3,3,64.9,68,2.15,Tight,None,98.5,0.09,Very High
422,245,60,Quartzite,Precambrian,Igneous,0,3,83.3,176,1.24,Very Tight,Quartz,43.5,0.18,Low
423,371,53,Schist,Paleozoic,Metamorphic,5,2,15.0,128,8.42,Very Tight,Clay,42.0,0.11,Very High
424,311,5,Quartzite,Paleozoic,Igneous,2,5,12.6,166,3.81,Open,Quartz,234.0,0.95,Very High
425,473,11,Granite,Quaternary,Sedimentary,1,3,89.7,55,5.54,Tight,None,162.8,0.88,Low
426,341,45,Granite,Precambrian,Sedimentary,2,3,14.1,144,5.41,Closed,Quartz,69.8,0.71,Moderate
427,261,20,Shale,Paleozoic,Metamorphic,4,2,15.6,90,2.36,Open,None,43.4,0.55,High
428,227,37,Limestone,Mesozoic,Metamorphic,3,3,21.7,45,5.19,Closed,None,155.6,0.44,High
429,352,17,Quartzite,Mesozoic,Igneous,4,1,57.3,139,3.79,Very Tight,Calcite,204.7,0.39,Low
430,208,34,Basalt,Mesozoic,Sedimentary,3,2,72.9,134,1.98,Very Tight,Iron Oxide,177.8,0.82,Moderate
431,326,3,Basalt,Mesozoic,Sedimentary,2,1,89.6,9,9.91,Open,None,22.7,0.34,High
432,10,27,Basalt,Cenozoic,Metamorphic,3,1,51.7,57,8.56,Open,Iron Oxide,82.4,0.19,Moderate
433,223,44,Quartzite,Cenozoic,Metamorphic,1,4,8.6,7,0.67,Tight,Clay,109.1,0.58,Low
434,233,20,Gneiss,Mesozoic,Igneous,0,2,20.1,81,0.56,Tight,Calcite,235.9,0.84,High
435,439,51,Limestone,Paleozoic,Igneous,1,3,56.7,70,2.45,Very Tight,Clay,164.9,0.16,High
436,360,52,Schist,Precambrian,Igneous,5,3,84.3,22,9.82,Very Tight,Quartz,37.5,0.78,Very High
437,424,17,Schist,Precambrian,Igneous,4,1,41.5,70,7.81,Tight,Clay,71.7,0.2,Very High
438,216,25,Shale,Cenozoic,Metamorphic,5,5,24.6,96,5.09,Very Tight,None,172.0,0.4,Very High
439,231,52,Phyllite,Paleozoic,Metamorphic,5,3,66.2,97,5.24,Open,Quartz,84.6,0.53,Very High
440,159,55,Basalt,Precambrian,Metamorphic,5,5,82.9,180,3.79,Tight,Iron Oxide,221.9,0.45,Low
441,253,56,Quartzite,Paleozoic,Metamorphic,3,1,29.5,77,1.21,Open,Quartz,17.3,0.5,Moderate
442,20,55,Gneiss,Precambrian,Sedimentary,2,2,18.1,61,7.26,Very Tight,None,22.0,0.18,Low
443,359,40,Limestone,Quaternary,Igneous,1,5,56.2,14,7.42,Open,Quartz,195.6,0.79,Very High
444,124,27,Shale,Paleozoic,Metamorphic,1,3,89.3,171,7.55,Closed,None,221.0,0.77,Moderate
445,450,35,Gneiss,Cenozoic,Sedimentary,2,3,88.6,90,7.24,Open,Calcite,57.9,0.98,Very High
446,85,33,Limestone,Paleozoic,Igneous,3,5,76.5,60,2.23,Tight,Clay,22.1,0.82,High
447,257,50,Gneiss,Quaternary,Igneous,5,4,24.8,122,5.73,Very Tight,Iron Oxide,22.0,0.39,Low
448,375,28,Limestone,Cenozoic,Igneous,2,2,23.6,117,5.71,Very Tight,Calcite,143.6,0.88,Low
449,320,23,Granite,Mesozoic,Igneous,0,1,41.6,97,8.46,Very Tight,Calcite,154.4,0.32,Low
450,494,56,Sandstone,Mesozoic,Metamorphic,0,5,35.6,127,4.83,Closed,None,240.3,0.4,Low
451,84,9,Quartzite,Cenozoic,Sedimentary,1,1,24.4,35,3.8,Open,Calcite,35.5,0.04,Moderate
452,70,32,Phyllite,Precambrian,Metamorphic,1,5,84.1,38,1.83,Very Tight,Iron Oxide,243.6,0.04,High
453,40,32,Sandstone,Paleozoic,Igneous,5,4,47.9,140,0.32,Tight,Quartz,226.9,0.58,High
454,52,54,Basalt,Precambrian,Igneous,5,1,41.5,90,7.77,Very Tight,Iron Oxide,228.0,0.59,High
455,36,33,Gneiss,Mesozoic,Metamorphic,2,1,77.0,118,7.49,Open,None,179.7,0.51,Very High
456,312,23,Gneiss,Mesozoic,Sedimentary,2,4,7.3,107,8.99,Tight,Quartz,245.6,0.26,Very High
457,464,31,Basalt,Quaternary,Igneous,2,1,7.7,49,7.93,Open,None,198.9,0.12,High
458,351,12,Granite,Cenozoic,Igneous,5,1,14.7,155,6.9,Tight,Iron Oxide,106.6,0.84,Moderate
459,77,47,Basalt,Precambrian,Metamorphic,2,4,8.6,114,1.07,Open,Clay,82.0,0.26,Moderate
460,155,34,Phyllite,Cenozoic,Sedimentary,1,5,59.6,93,5.35,Open,Clay,88.5,0.12,High
461,295,50,Basalt,Paleozoic,Igneous,3,5,2.3,164,9.11,Closed,None,85.9,0.74,Very High
462,435,55,Quartzite,Quaternary,Sedimentary,5,3,54.2,179,2.04,Tight,None,65.1,0.25,Low
463,441,56,Limestone,Quaternary,Sedimentary,2,5,83.0,121,4.05,Very Tight,Clay,206.1,0.63,Moderate
464,339,14,Gneiss,Cenozoic,Sedimentary,3,2,54.7,117,6.21,Tight,Quartz,127.8,0.61,Low
465,498,11,Basalt,Paleozoic,Metamorphic,2,2,28.3,143,3.19,Closed,Clay,219.9,0.16,Moderate
466,57,1,Limestone,Mesozoic,Sedimentary,4,2,12.0,128,6.69,Open,Clay,115.1,0.47,Very High
467,56,45,Limestone,Mesozoic,Metamorphic,3,5,0.7,64,4.01,Very Tight,Calcite,60.9,0.32,Very High
468,349,15,Granite,Precambrian,Sedimentary,3,4,77.1,39,9.31,Closed,Quartz,95.3,0.03,High
469,180,62,Shale,Quaternary,Metamorphic,2,3,13.3,102,4.09,Very Tight,Clay,201.3,0.24,Low
470,233,20,Shale,Quaternary,Igneous,5,2,34.8,27,6.33,Tight,None,220.9,0.26,Very High
471,472,50,Sandstone,Paleozoic,Sedimentary,0,5,72.5,51,4.16,Very Tight,None,61.3,0.17,Low
