record_id,district_id,state_id,year,total_population,population_density_per_sqkm,landslide_exposed_population,high_risk_zone_population,urbanization_pct,literacy_rate_pct,access_to_roads_pct
407,59,8,2018,117136,124.3,9347,2670,0.5,55.4,51.6
408,59,8,2019,117228,124.4,10202,2602,18.7,62.4,63.3
409,59,8,2020,118621,125.9,6791,2654,35.4,44.7,65.9
410,59,8,2021,118185,125.5,18532,1383,29.2,59.4,35.1
411,59,8,2022,129824,137.8,14445,10668,52.1,74.3,40.2
412,59,8,2023,117579,124.8,14673,9254,14.6,48.4,46.6
413,59,8,2024,118541,125.8,8447,7101,25.2,52.3,67.5
414,60,8,2018,291292,204.8,27379,17915,10.7,55.2,86.9
415,60,8,2019,292249,205.5,55256,15370,80.4,56.5,50.1
416,60,8,2020,304618,214.2,71558,24379,97.4,46.8,49.2
417,60,8,2021,316351,222.5,28980,18859,31.4,88.2,88.1
418,60,8,2022,293228,206.2,60205,23670,49.1,68.8,44.5
419,60,8,2023,298710,210.1,68444,28738,39.3,45.7,63.8
420,60,8,2024,316051,222.3,51560,9055,68.2,67.5,87.2
421,61,8,2018,792225,516.4,94569,65391,79.8,81.6,34.1
422,61,8,2019,811168,528.8,147812,73555,13.9,55.1,45.2
423,61,8,2020,786161,512.5,150228,57273,7.4,89.5,58.8
424,61,8,2021,806648,525.8,173137,62893,54.4,79.5,51.6
425,61,8,2022,877270,571.9,184609,86605,63.8,44.2,76.1
426,61,8,2023,858947,559.9,136010,30391,64.7,42.2,89.0
427,61,8,2024,877056,571.7,148609,52233,96.6,61.5,30.6
428,62,8,2018,82938,34.0,11388,4480,37.4,63.2,70.8
429,62,8,2019,84399,34.6,9158,3668,99.8,64.1,47.7
430,62,8,2020,87446,35.9,7185,1824,83.1,76.5,50.9
431,62,8,2021,83867,34.4,10971,5106,48.3,63.8,56.3
432,62,8,2022,89027,36.5,14901,1440,30.0,80.5,36.9
433,62,8,2023,93364,38.3,8251,3625,93.0,77.0,61.0
434,62,8,2024,89131,36.6,15301,5477,42.6,63.1,77.9
