reading_id,sensor_id,sensor_code,sensor_type,datetime,value,raw_value,alert_level,data_quality_score,rate_of_change,noise_level,temperature_c,transmission_mode
2887,90,SNS0090,Extensometer,2018-09-29 09:42:59,65.118,61.921,Fault,0.919,3.34,1.947,15.6,WiFi
2888,287,SNS0287,Seismograph,2021-12-11 08:16:06,93.894,89.781,Fault,0.971,2.12,1.669,57.6,Satellite
2889,206,SNS0206,Crack Gauge,2018-01-21 10:28:33,11.947,11.935,Warning,0.976,3.8,0.972,-35.1,Satellite
2890,16,SNS0016,Crack Gauge,2023-04-27 18:18:57,29.688,30.543,Warning,0.805,0.38,1.168,16.6,Manual
2891,297,SNS0297,Rain Gauge,2018-10-27 07:25:23,61.406,64.023,Fault,0.882,3.15,1.963,74.3,LoRa
2892,21,SNS0021,Tiltmeter,2021-05-08 08:17:39,97.807,101.334,Normal,0.908,3.45,1.789,-4.0,4G
2893,248,SNS0248,Extensometer,2023-04-22 12:17:06,70.113,70.635,Fault,0.855,3.43,0.595,-34.1,Manual
2894,161,SNS0161,GNSS,2022-06-26 13:13:01,53.048,53.678,Fault,0.962,3.52,1.073,-30.7,Manual
2895,27,SNS0027,Extensometer,2018-09-25 01:01:17,91.627,87.339,Fault,0.926,3.58,0.379,15.8,Satellite
2896,6,SNS0006,Crack Gauge,2021-01-01 19:48:12,20.639,21.225,Critical,0.995,0.7,0.26,46.7,Manual
2897,135,SNS0135,Inclinometer,2021-04-08 08:35:09,21.102,21.29,Critical,0.999,2.07,0.409,-36.7,Manual
2898,99,SNS0099,Crack Gauge,2022-10-20 08:16:02,41.386,42.817,Warning,0.978,4.14,1.092,-20.2,4G
2899,288,SNS0288,Seismograph,2021-10-01 18:37:40,84.364,80.878,Critical,0.823,2.1,0.246,-10.7,4G
2900,108,SNS0108,Rain Gauge,2024-04-27 07:18:19,46.025,47.596,Warning,0.894,2.17,1.004,13.8,Manual
2901,247,SNS0247,Accelerometer,2021-03-04 23:43:10,21.606,21.636,Normal,0.813,1.93,0.421,3.8,Satellite
2902,295,SNS0295,Soil Moisture,2018-01-24 20:22:56,47.866,49.376,Critical,0.983,0.53,0.654,35.0,Manual
2903,147,SNS0147,Rain Gauge,2020-06-30 02:08:00,91.485,90.336,Critical,0.975,0.88,1.444,-38.5,LoRa
2904,276,SNS0276,Crack Gauge,2024-10-08 05:23:34,68.328,67.883,Critical,0.93,3.11,0.019,37.4,Manual
2905,244,SNS0244,Inclinometer,2018-02-28 04:32:59,40.471,39.991,Warning,0.986,4.95,0.036,14.1,Manual
2906,261,SNS0261,Tiltmeter,2018-03-28 10:08:08,59.59,62.166,Normal,0.941,1.28,0.123,3.3,Satellite
2907,277,SNS0277,Tiltmeter,2024-04-18 05:50:29,41.299,39.871,Critical,0.989,0.06,0.373,62.6,LoRa
2908,197,SNS0197,Accelerometer,2018-02-27 03:57:33,54.248,55.219,Warning,0.933,3.08,0.55,-35.5,WiFi
2909,258,SNS0258,GNSS,2023-09-11 02:38:01,73.18,73.317,Warning,0.842,0.67,1.677,27.1,4G
2910,45,SNS0045,GNSS,2019-11-02 19:19:26,93.042,95.65,Critical,0.976,1.69,1.094,-1.7,4G
2911,178,SNS0178,Rain Gauge,2018-03-28 22:10:13,49.844,51.973,Fault,0.804,1.6,1.344,40.8,Satellite
2912,132,SNS0132,Extensometer,2019-01-06 16:06:46,69.165,67.412,Normal,0.996,2.31,0.52,-33.7,Satellite
2913,263,SNS0263,Crack Gauge,2024-09-20 09:02:20,47.003,48.61,Warning,0.955,3.86,0.061,-18.0,4G
2914,289,SNS0289,Crack Gauge,2018-04-28 14:56:43,3.449,3.393,Critical,0.801,1.47,1.109,-20.6,Satellite
2915,228,SNS0228,Inclinometer,2019-01-10 09:37:14,28.064,28.425,Normal,0.901,3.68,1.894,23.4,Satellite
2916,250,SNS0250,Crack Gauge,2022-10-31 15:38:15,95.905,96.194,Critical,0.856,4.91,0.403,2.2,4G
2917,119,SNS0119,Inclinometer,2020-08-25 14:44:41,24.134,23.272,Normal,0.836,3.99,1.636,8.8,Satellite
2918,107,SNS0107,Extensometer,2018-01-02 02:51:51,11.434,11.076,Critical,0.858,4.6,0.248,24.5,Manual
2919,18,SNS0018,Crack Gauge,2024-11-20 00:55:01,29.001,30.17,Warning,0.865,0.81,1.083,-19.6,Satellite
2920,241,SNS0241,Inclinometer,2019-12-02 22:12:36,28.242,28.733,Normal,0.823,1.24,0.975,48.2,4G
2921,242,SNS0242,Seismograph,2022-06-23 11:18:44,70.168,69.047,Warning,0.891,1.36,1.715,-15.2,Satellite
2922,10,SNS0010,Seismograph,2018-11-03 11:13:42,94.65,92.269,Normal,0.801,3.97,0.832,38.8,4G
2923,222,SNS0222,Accelerometer,2018-07-31 14:08:24,37.575,37.282,Warning,0.939,3.79,0.164,-26.8,4G
2924,258,SNS0258,GNSS,2018-04-12 09:55:21,41.543,42.382,Fault,0.844,1.3,1.217,7.6,WiFi
2925,229,SNS0229,Crack Gauge,2024-01-07 21:15:23,53.323,50.833,Normal,0.914,4.08,0.254,-21.6,Satellite
2926,240,SNS0240,Extensometer,2019-11-14 08:14:58,84.764,82.28,Warning,0.899,2.43,1.739,72.7,4G
2927,135,SNS0135,Inclinometer,2022-02-17 01:27:42,74.298,77.752,Fault,0.983,2.33,1.815,21.1,LoRa
2928,286,SNS0286,Soil Moisture,2020-09-22 01:23:38,71.06,72.068,Normal,0.976,1.04,0.694,35.4,WiFi
2929,118,SNS0118,Soil Moisture,2019-06-13 09:33:42,55.768,53.639,Fault,0.859,1.66,0.846,-9.4,Manual
2930,232,SNS0232,Accelerometer,2018-09-21 14:48:42,51.938,51.812,Critical,0.952,3.46,1.861,-7.3,WiFi
2931,94,SNS0094,Piezometer,2020-07-19 06:27:56,37.959,36.113,Warning,0.877,1.06,0.745,-11.7,Manual
2932,141,SNS0141,Crack Gauge,2021-11-11 18:04:37,34.406,34.567,Critical,0.925,2.32,1.131,-6.1,Satellite
2933,138,SNS0138,Crack Gauge,2024-12-06 20:02:29,30.443,29.292,Critical,0.859,2.27,1.974,49.8,4G
2934,81,SNS0081,Tiltmeter,2019-07-17 08:14:45,36.451,35.622,Normal,0.99,1.75,0.832,-22.8,Manual
2935,114,SNS0114,Piezometer,2020-05-01 08:20:51,52.019,53.487,Critical,0.868,2.32,1.569,-26.7,Manual
2936,2,SNS0002,Piezometer,2019-04-26 01:28:46,56.013,57.557,Warning,0.867,2.52,1.528,-2.9,LoRa
2937,271,SNS0271,Extensometer,2019-07-21 08:35:18,40.54,40.164,Critical,0.923,1.77,0.144,-23.2,Satellite
2938,280,SNS0280,Soil Moisture,2020-07-18 21:05:57,92.145,90.244,Warning,0.947,2.73,0.287,50.4,Manual
2939,175,SNS0175,Seismograph,2018-10-27 04:41:51,33.422,34.429,Normal,0.961,0.18,1.304,4.8,4G
2940,284,SNS0284,Rain Gauge,2020-06-30 08:32:17,69.629,69.282,Normal,0.86,0.8,0.181,3.1,Satellite
2941,216,SNS0216,Inclinometer,2023-02-11 20:40:30,52.779,50.99,Normal,0.874,2.05,0.956,36.8,Manual
2942,23,SNS0023,Rain Gauge,2020-11-03 13:52:57,69.548,68.595,Normal,0.814,3.15,0.045,27.0,WiFi
2943,198,SNS0198,Rain Gauge,2020-06-30 10:01:05,98.129,96.704,Critical,0.99,4.56,0.674,44.6,WiFi
2944,144,SNS0144,Extensometer,2021-06-04 07:13:00,84.71,83.633,Critical,0.858,3.25,1.276,40.6,Manual
2945,227,SNS0227,Soil Moisture,2019-04-07 00:29:06,47.05,48.947,Normal,0.971,1.22,1.84,9.7,Manual
2946,244,SNS0244,Inclinometer,2018-11-05 11:55:10,88.317,92.486,Warning,0.93,4.33,0.411,10.5,LoRa
2947,279,SNS0279,Crack Gauge,2022-05-18 00:32:45,9.518,9.368,Normal,0.998,3.49,1.009,8.0,Satellite
2948,21,SNS0021,Tiltmeter,2021-05-07 01:35:18,4.84,5.076,Normal,0.91,0.99,0.464,-5.4,Satellite
2949,230,SNS0230,Extensometer,2020-10-05 04:59:20,82.075,79.259,Fault,0.895,4.63,1.988,50.5,WiFi
2950,295,SNS0295,Soil Moisture,2022-01-18 00:33:18,62.026,62.566,Fault,0.811,1.57,1.271,17.8,Manual
2951,252,SNS0252,Soil Moisture,2021-11-24 11:38:18,57.338,56.949,Warning,0.97,0.72,0.866,-28.2,WiFi
2952,102,SNS0102,Crack Gauge,2024-04-30 08:33:47,88.811,87.905,Fault,0.872,2.32,1.436,33.1,4G
2953,258,SNS0258,GNSS,2018-05-27 06:20:32,95.817,97.577,Normal,0.899,2.86,1.949,-33.5,Manual
2954,77,SNS0077,Rain Gauge,2019-05-28 22:37:27,33.515,34.315,Critical,0.924,0.02,1.063,-20.1,WiFi
2955,83,SNS0083,Tiltmeter,2021-10-24 06:00:09,78.705,80.339,Fault,0.957,2.98,1.84,31.3,Satellite
2956,79,SNS0079,Crack Gauge,2024-01-17 20:51:07,93.508,89.982,Warning,0.987,1.63,1.932,65.2,4G
2957,33,SNS0033,Extensometer,2020-08-08 05:19:41,79.222,79.284,Warning,0.849,1.21,0.57,13.2,WiFi
2958,71,SNS0071,Soil Moisture,2024-11-09 10:33:37,81.457,82.748,Critical,0.973,3.0,0.907,75.3,4G
2959,21,SNS0021,Tiltmeter,2021-08-18 04:02:32,68.823,71.406,Warning,0.912,3.89,0.608,-30.2,LoRa
2960,77,SNS0077,Rain Gauge,2018-01-03 00:15:29,50.141,48.689,Fault,0.969,3.13,0.356,36.4,LoRa
2961,250,SNS0250,Crack Gauge,2023-11-27 02:02:29,6.247,6.041,Critical,0.917,2.09,1.007,-10.1,Satellite
2962,27,SNS0027,Extensometer,2021-11-16 23:55:33,21.6,20.604,Critical,0.911,2.77,0.239,15.4,WiFi
2963,15,SNS0015,Rain Gauge,2024-09-12 19:20:01,59.836,60.793,Warning,0.821,2.23,1.202,52.6,4G
2964,231,SNS0231,Rain Gauge,2021-05-06 16:22:06,38.057,36.54,Warning,0.822,2.6,0.307,65.5,Satellite
2965,191,SNS0191,Crack Gauge,2018-02-15 15:44:07,58.68,60.887,Critical,0.804,2.42,1.219,61.4,Manual
2966,234,SNS0234,GNSS,2019-03-08 11:20:36,9.04,9.439,Critical,0.803,2.75,0.501,40.3,WiFi
2967,2,SNS0002,Piezometer,2018-09-02 05:54:05,53.161,52.739,Normal,0.991,0.29,0.42,19.9,LoRa
2968,41,SNS0041,Crack Gauge,2023-04-25 02:18:01,4.347,4.206,Critical,0.996,4.52,0.111,37.1,WiFi
2969,179,SNS0179,Crack Gauge,2019-11-02 02:54:00,81.032,78.827,Fault,0.844,2.27,1.764,25.0,Manual
2970,84,SNS0084,Rain Gauge,2023-07-18 22:13:16,53.948,55.965,Warning,0.919,4.29,0.435,21.8,LoRa
2971,135,SNS0135,Inclinometer,2024-05-08 08:25:48,66.079,65.595,Fault,0.96,2.29,0.946,69.3,4G
2972,252,SNS0252,Soil Moisture,2018-05-28 19:31:22,75.333,77.904,Fault,0.996,3.42,0.114,-26.3,4G
2973,124,SNS0124,Soil Moisture,2020-10-16 15:59:30,84.907,84.284,Normal,0.948,4.54,0.56,6.2,WiFi
2974,46,SNS0046,Rain Gauge,2024-08-22 11:26:59,13.81,14.407,Normal,0.837,1.84,1.253,-28.3,4G
2975,220,SNS0220,Inclinometer,2022-12-08 01:33:53,98.464,94.872,Warning,0.964,0.32,1.644,-38.7,Manual
2976,185,SNS0185,Extensometer,2024-05-31 13:32:13,16.456,15.681,Warning,0.969,3.71,0.693,-10.8,4G
2977,298,SNS0298,Seismograph,2022-01-09 02:01:32,48.702,47.174,Warning,0.905,4.3,0.24,7.5,LoRa
2978,204,SNS0204,Inclinometer,2018-12-25 06:56:24,44.207,43.591,Fault,0.879,0.72,1.708,-14.7,WiFi
2979,192,SNS0192,Accelerometer,2021-03-01 13:39:03,91.866,87.813,Warning,0.871,2.13,1.877,52.6,LoRa
2980,146,SNS0146,Rain Gauge,2023-12-12 17:29:08,14.436,15.022,Critical,0.864,1.78,0.758,51.5,4G
2981,117,SNS0117,GNSS,2020-03-25 07:45:35,35.172,35.231,Critical,0.939,4.51,0.434,-4.5,4G
2982,201,SNS0201,Soil Moisture,2019-04-30 19:10:40,19.086,18.776,Normal,0.947,0.16,0.205,45.4,LoRa
2983,155,SNS0155,Rain Gauge,2019-09-12 05:31:00,23.107,24.086,Normal,0.816,4.87,1.043,55.6,WiFi
2984,36,SNS0036,GNSS,2018-09-22 23:19:22,75.856,77.741,Fault,0.899,2.55,0.861,71.7,WiFi
2985,263,SNS0263,Crack Gauge,2024-05-23 05:44:37,5.7,5.787,Fault,0.917,1.26,1.111,-35.9,LoRa
2986,9,SNS0009,Rain Gauge,2020-08-19 16:48:56,46.172,46.136,Warning,0.865,1.62,0.232,56.8,Satellite
2987,72,SNS0072,Extensometer,2018-01-14 14:14:47,54.76,56.928,Fault,0.972,1.18,1.085,63.5,WiFi
2988,190,SNS0190,Accelerometer,2024-02-28 13:16:20,71.019,69.217,Critical,0.814,0.47,1.129,-26.1,LoRa
2989,148,SNS0148,Accelerometer,2021-12-29 07:18:49,22.942,24.029,Critical,0.828,0.76,1.416,27.2,Manual
2990,44,SNS0044,Soil Moisture,2018-03-25 01:54:47,36.278,37.543,Fault,0.816,4.77,0.887,-12.8,4G
2991,113,SNS0113,Soil Moisture,2021-03-15 12:48:17,23.304,23.363,Critical,0.894,0.61,0.87,59.2,WiFi
2992,271,SNS0271,Extensometer,2023-06-28 21:45:51,79.448,80.512,Fault,0.814,4.21,1.462,61.6,WiFi
2993,300,SNS0300,Rain Gauge,2022-01-11 17:01:29,49.055,48.716,Critical,0.964,1.09,1.276,-11.5,WiFi
2994,225,SNS0225,Inclinometer,2019-08-12 08:03:34,46.069,44.843,Normal,0.99,3.04,1.783,27.6,WiFi
2995,191,SNS0191,Crack Gauge,2024-03-27 16:05:33,63.281,61.937,Warning,0.896,0.06,0.172,24.5,LoRa
2996,96,SNS0096,GNSS,2021-08-03 13:57:39,48.891,49.75,Normal,0.821,0.78,0.695,48.5,Satellite
2997,251,SNS0251,GNSS,2022-08-05 15:54:29,47.597,48.451,Normal,0.89,1.32,0.288,3.6,Manual
2998,80,SNS0080,Crack Gauge,2018-11-06 12:35:02,85.392,87.639,Critical,0.96,3.66,1.391,3.7,WiFi
2999,89,SNS0089,GNSS,2023-04-06 04:59:44,31.237,30.449,Warning,0.853,1.91,0.411,-7.2,4G
3000,250,SNS0250,Crack Gauge,2021-03-02 14:54:32,21.121,21.017,Fault,0.96,2.51,0.373,-5.6,Manual
3001,219,SNS0219,Piezometer,2019-10-03 17:03:40,72.383,71.6,Critical,0.804,0.8,0.34,18.1,Manual
3002,1,SNS0001,Piezometer,2022-08-29 10:18:42,81.014,77.743,Warning,0.87,0.91,0.518,20.8,4G
3003,84,SNS0084,Rain Gauge,2024-11-02 14:59:40,74.884,78.135,Fault,0.93,4.28,1.238,32.1,Manual
3004,174,SNS0174,Rain Gauge,2022-07-04 11:27:32,66.263,67.253,Warning,0.835,0.65,1.256,46.8,LoRa
3005,152,SNS0152,Soil Moisture,2018-12-19 17:43:45,87.635,83.85,Critical,0.973,3.9,1.431,59.0,Satellite
3006,119,SNS0119,Inclinometer,2022-01-13 06:07:38,60.624,59.018,Normal,0.848,4.82,1.325,55.5,4G
3007,162,SNS0162,Piezometer,2022-07-13 05:16:34,94.714,95.466,Fault,0.962,2.3,1.648,20.5,4G
3008,203,SNS0203,Extensometer,2024-03-09 16:22:36,28.564,29.005,Fault,0.9,0.22,0.471,58.6,4G
3009,222,SNS0222,Accelerometer,2018-10-06 20:43:59,34.958,35.156,Critical,0.877,4.06,0.715,51.9,LoRa
3010,251,SNS0251,GNSS,2022-06-03 13:05:28,30.184,31.312,Warning,0.891,3.63,1.477,66.6,WiFi
3011,16,SNS0016,Crack Gauge,2020-09-02 12:36:13,49.489,49.357,Fault,0.846,4.07,1.925,30.3,Manual
3012,236,SNS0236,Tiltmeter,2019-08-31 07:22:22,44.315,42.777,Fault,0.92,3.64,0.43,-24.4,Manual
3013,28,SNS0028,GNSS,2023-07-28 08:22:03,93.662,94.575,Warning,0.91,1.34,0.019,59.1,Satellite
3014,192,SNS0192,Accelerometer,2022-09-24 16:49:38,42.5,41.489,Critical,0.964,3.32,0.379,37.3,Satellite
3015,158,SNS0158,Inclinometer,2023-03-10 03:12:30,66.37,68.174,Normal,0.868,3.44,0.232,-21.1,WiFi
3016,252,SNS0252,Soil Moisture,2022-05-06 00:24:45,43.833,45.128,Warning,0.896,0.03,0.945,5.6,Manual
3017,267,SNS0267,Accelerometer,2021-10-20 20:57:52,87.11,84.852,Warning,0.808,1.73,1.815,-9.5,Satellite
3018,29,SNS0029,Crack Gauge,2022-05-07 19:24:02,12.377,12.455,Critical,0.989,1.71,1.759,47.6,Manual
3019,152,SNS0152,Soil Moisture,2022-08-11 21:18:02,95.712,95.962,Critical,0.873,4.65,0.264,-18.1,Satellite
3020,69,SNS0069,Extensometer,2022-10-21 09:52:32,49.968,52.012,Critical,0.971,0.67,1.66,1.1,LoRa
3021,127,SNS0127,Inclinometer,2019-04-12 05:11:23,82.662,80.173,Warning,0.848,2.94,0.888,33.3,WiFi
3022,277,SNS0277,Tiltmeter,2021-03-29 11:43:28,6.639,6.52,Fault,0.917,2.59,1.737,48.3,WiFi
3023,286,SNS0286,Soil Moisture,2024-10-18 22:51:52,38.042,36.657,Warning,0.837,1.02,0.201,59.4,Manual
3024,83,SNS0083,Tiltmeter,2021-07-27 10:45:45,55.299,57.77,Normal,0.813,2.21,1.599,39.9,WiFi
3025,235,SNS0235,Inclinometer,2023-11-07 04:06:46,12.195,11.814,Warning,0.817,3.15,1.964,8.6,LoRa
3026,207,SNS0207,Crack Gauge,2019-09-18 13:01:14,29.928,29.914,Fault,0.807,4.84,1.733,27.4,Satellite
3027,185,SNS0185,Extensometer,2021-03-10 21:55:45,32.343,32.161,Fault,0.802,3.89,0.279,79.7,WiFi
3028,17,SNS0017,Accelerometer,2024-09-29 04:51:26,38.333,37.077,Critical,0.987,3.54,1.94,-26.0,4G
3029,243,SNS0243,Soil Moisture,2024-10-23 14:47:49,78.357,82.246,Critical,0.989,1.9,0.867,-17.7,Satellite
3030,55,SNS0055,Piezometer,2021-02-20 00:25:22,22.782,23.758,Normal,0.938,3.06,1.765,5.4,Satellite
3031,22,SNS0022,Piezometer,2024-11-16 09:44:22,29.14,28.328,Normal,0.989,3.65,0.044,-31.6,LoRa
3032,15,SNS0015,Rain Gauge,2019-08-13 16:19:12,65.68,67.512,Fault,0.969,2.53,1.665,-21.4,Satellite
3033,104,SNS0104,GNSS,2024-03-13 03:22:50,15.905,15.486,Critical,0.958,1.68,1.922,25.6,Manual
3034,275,SNS0275,Tiltmeter,2018-01-16 11:52:02,65.967,63.282,Fault,0.81,0.64,1.184,-24.6,Satellite
3035,15,SNS0015,Rain Gauge,2024-10-28 21:39:20,61.273,61.818,Normal,0.911,2.34,1.468,-6.9,Satellite
3036,244,SNS0244,Inclinometer,2022-08-01 11:08:20,27.56,27.947,Normal,0.968,3.36,0.034,-29.1,LoRa
3037,258,SNS0258,GNSS,2023-11-21 14:35:18,37.362,39.103,Warning,0.941,2.03,1.0,44.5,Satellite
3038,298,SNS0298,Seismograph,2018-03-14 14:26:10,30.204,29.758,Warning,0.971,2.29,1.632,63.0,LoRa
3039,294,SNS0294,Piezometer,2023-10-19 17:04:17,7.342,7.41,Fault,0.965,3.77,1.486,-0.5,Manual
3040,266,SNS0266,Soil Moisture,2018-03-30 04:03:38,10.383,10.686,Fault,0.856,0.31,0.814,-20.5,Satellite
3041,135,SNS0135,Inclinometer,2019-08-13 15:52:00,62.12,59.527,Critical,0.892,1.1,1.992,10.0,4G
3042,288,SNS0288,Seismograph,2019-04-02 20:28:19,39.208,38.841,Warning,0.84,2.21,1.622,8.3,4G
3043,93,SNS0093,Seismograph,2021-09-13 02:19:49,17.688,17.653,Fault,0.85,0.32,0.186,-1.5,4G
3044,203,SNS0203,Extensometer,2020-06-15 13:10:11,66.528,66.466,Fault,0.902,2.02,1.804,-13.2,WiFi
3045,296,SNS0296,Accelerometer,2022-07-29 02:29:41,19.532,19.131,Warning,0.944,1.61,0.425,30.9,Satellite
3046,46,SNS0046,Rain Gauge,2023-11-17 14:20:08,42.406,44.16,Warning,0.804,3.84,0.093,48.5,4G
3047,203,SNS0203,Extensometer,2022-01-05 20:44:19,52.701,53.537,Critical,0.973,2.74,1.869,-31.8,4G
3048,1,SNS0001,Piezometer,2024-01-18 21:22:08,5.944,5.813,Warning,0.833,3.02,1.752,24.6,WiFi
3049,176,SNS0176,Extensometer,2024-04-19 16:09:28,2.206,2.243,Warning,0.865,1.79,0.823,29.6,Manual
3050,180,SNS0180,Inclinometer,2020-10-20 12:44:13,14.639,14.53,Warning,0.96,2.79,0.445,54.3,4G
3051,22,SNS0022,Piezometer,2024-07-01 20:00:19,96.417,97.964,Normal,0.818,1.78,0.48,71.6,Manual
3052,91,SNS0091,Tiltmeter,2019-07-13 02:08:07,39.454,40.378,Warning,0.847,4.27,0.981,-15.7,Manual
3053,42,SNS0042,GNSS,2019-06-24 04:59:44,65.36,63.451,Fault,0.983,4.43,0.381,-19.2,WiFi
3054,30,SNS0030,Piezometer,2020-06-07 15:14:54,24.364,24.037,Warning,0.911,1.66,1.472,75.7,4G
3055,239,SNS0239,Rain Gauge,2024-01-31 09:07:52,46.777,46.833,Critical,0.827,2.92,1.672,55.7,Manual
3056,76,SNS0076,Extensometer,2023-05-26 04:38:29,1.323,1.318,Normal,0.821,3.97,0.624,8.1,LoRa
3057,31,SNS0031,Extensometer,2024-09-30 18:11:54,57.933,60.421,Critical,0.814,3.44,0.119,12.1,WiFi
3058,2,SNS0002,Piezometer,2022-03-25 13:07:03,69.237,71.133,Warning,0.908,2.05,0.859,23.1,WiFi
3059,203,SNS0203,Extensometer,2021-01-27 18:59:19,29.891,28.908,Critical,0.856,3.6,1.336,10.5,4G
3060,243,SNS0243,Soil Moisture,2018-07-25 13:28:26,87.174,85.285,Normal,0.861,1.41,1.36,29.8,LoRa
3061,56,SNS0056,Accelerometer,2024-10-11 01:52:44,77.239,78.684,Fault,0.975,1.23,0.407,68.7,WiFi
3062,195,SNS0195,Piezometer,2022-01-21 05:00:50,9.841,9.798,Normal,0.986,3.12,0.075,35.2,WiFi
3063,208,SNS0208,Rain Gauge,2019-11-14 08:36:53,98.048,95.938,Warning,0.993,4.65,1.31,72.7,Manual
3064,101,SNS0101,Tiltmeter,2019-07-19 06:50:33,9.445,9.056,Warning,0.811,2.3,1.576,-4.1,WiFi
3065,147,SNS0147,Rain Gauge,2022-01-10 17:56:35,73.02,69.995,Warning,0.822,1.87,0.806,7.0,Satellite
3066,173,SNS0173,Rain Gauge,2022-07-17 23:23:18,5.73,5.664,Normal,0.8,1.08,1.033,25.7,4G
3067,211,SNS0211,Rain Gauge,2020-11-22 18:16:51,19.246,19.653,Fault,0.956,4.61,1.953,48.6,LoRa
3068,214,SNS0214,Rain Gauge,2021-01-20 16:49:32,91.634,95.928,Normal,0.886,1.01,0.292,45.6,Manual
3069,161,SNS0161,GNSS,2022-03-30 05:03:46,79.112,81.357,Fault,0.844,4.48,1.25,40.2,WiFi
3070,43,SNS0043,Extensometer,2020-05-27 07:53:49,69.395,69.379,Fault,0.971,1.63,0.339,12.3,WiFi
3071,87,SNS0087,Accelerometer,2022-12-23 15:21:53,42.768,41.459,Critical,0.877,0.68,1.622,6.4,WiFi
3072,209,SNS0209,Soil Moisture,2020-04-19 16:14:01,40.247,40.848,Normal,0.921,2.88,0.176,51.1,LoRa
3073,101,SNS0101,Tiltmeter,2021-10-27 06:43:56,82.768,81.987,Fault,0.812,3.54,1.327,20.3,LoRa
3074,27,SNS0027,Extensometer,2021-05-29 03:35:07,40.517,41.276,Normal,0.954,1.79,1.566,38.7,4G
3075,24,SNS0024,Inclinometer,2019-04-04 12:48:32,74.683,76.864,Fault,0.874,3.97,1.075,-33.9,LoRa
3076,219,SNS0219,Piezometer,2023-11-04 04:16:25,85.24,81.379,Fault,0.909,4.95,1.069,22.7,LoRa
3077,233,SNS0233,GNSS,2024-11-29 18:08:24,91.012,93.898,Warning,0.918,1.96,1.239,43.4,LoRa
3078,244,SNS0244,Inclinometer,2021-01-20 11:16:03,25.187,25.993,Critical,0.951,2.95,0.244,-22.6,WiFi
3079,141,SNS0141,Crack Gauge,2018-12-19 14:05:54,14.149,14.36,Warning,0.844,1.62,0.685,-6.2,4G
3080,202,SNS0202,Rain Gauge,2020-06-11 18:24:09,75.053,72.425,Critical,0.814,2.2,1.378,25.5,LoRa
3081,263,SNS0263,Crack Gauge,2018-01-16 16:03:38,44.655,44.254,Fault,0.906,1.37,1.018,-18.4,LoRa
3082,177,SNS0177,Tiltmeter,2024-11-04 10:01:38,37.528,35.922,Critical,0.88,0.81,1.667,53.9,WiFi
3083,47,SNS0047,Piezometer,2019-06-27 22:23:12,53.009,51.789,Normal,0.807,4.8,0.563,-22.0,LoRa
3084,40,SNS0040,Seismograph,2024-08-29 02:54:54,41.466,41.81,Warning,0.801,4.5,0.728,31.9,LoRa
3085,274,SNS0274,Soil Moisture,2023-12-01 17:07:19,44.606,42.39,Warning,0.941,0.09,0.224,-4.7,Manual
3086,294,SNS0294,Piezometer,2020-10-08 11:48:17,90.197,93.321,Warning,0.947,1.37,1.684,-27.6,WiFi
3087,214,SNS0214,Rain Gauge,2019-03-02 20:40:23,38.58,38.027,Warning,0.847,3.03,1.658,62.7,WiFi
3088,184,SNS0184,Rain Gauge,2023-05-25 09:16:34,76.343,79.242,Warning,0.997,2.6,1.261,66.8,WiFi
3089,85,SNS0085,GNSS,2023-11-28 12:32:01,8.797,8.914,Critical,0.891,3.48,0.613,40.5,4G
3090,239,SNS0239,Rain Gauge,2024-05-27 16:53:54,14.188,14.39,Fault,0.927,1.55,0.364,15.2,4G
3091,51,SNS0051,Accelerometer,2018-05-14 00:32:18,39.658,39.382,Normal,0.932,0.28,0.459,-16.2,Satellite
3092,137,SNS0137,Rain Gauge,2021-10-12 09:28:25,92.962,92.072,Critical,0.832,0.77,1.75,37.6,Manual
3093,214,SNS0214,Rain Gauge,2024-08-02 10:47:43,15.938,15.386,Fault,0.93,1.92,1.638,-4.7,4G
3094,62,SNS0062,Piezometer,2022-07-21 04:45:07,94.362,96.473,Fault,0.935,1.4,0.675,-2.7,Manual
3095,32,SNS0032,Extensometer,2019-07-09 01:10:11,59.19,60.91,Critical,0.99,0.6,0.762,-34.1,WiFi
3096,26,SNS0026,Rain Gauge,2023-07-13 20:04:14,55.158,55.583,Warning,0.979,4.69,1.585,32.5,WiFi
3097,2,SNS0002,Piezometer,2018-03-19 07:43:55,4.45,4.502,Normal,0.968,3.4,0.921,78.0,Manual
3098,191,SNS0191,Crack Gauge,2021-07-11 14:19:03,81.703,78.602,Critical,0.875,2.89,0.826,57.9,4G
3099,15,SNS0015,Rain Gauge,2019-04-21 10:35:01,3.472,3.461,Fault,0.864,4.35,0.094,-19.7,Manual
3100,131,SNS0131,Inclinometer,2024-08-23 12:56:02,95.328,95.524,Warning,0.871,2.01,0.77,13.3,4G
3101,87,SNS0087,Accelerometer,2018-02-15 00:46:11,68.976,71.765,Critical,0.904,0.46,0.866,0.7,WiFi
3102,184,SNS0184,Rain Gauge,2018-09-20 06:08:07,46.595,47.757,Fault,0.987,4.78,0.715,20.1,Manual
3103,229,SNS0229,Crack Gauge,2020-11-02 02:26:50,13.955,13.49,Fault,0.924,2.02,1.98,26.2,4G
3104,165,SNS0165,Extensometer,2019-09-07 08:39:25,32.506,33.706,Critical,0.846,1.05,0.145,20.5,4G
