record_id,slope_id,district_id,datetime,stream_flow_cumec,water_table_depth_m,pore_pressure_kpa,seepage_rate_mm_day,groundwater_level_change_m,catchment_area_sq_m,runoff_coefficient,baseflow_index,stream_type,channel_gradient,infiltration_rate
475,199,1,2020-01-23 17:44:06,858.0,3.47,30.1,15.1,7.6,19533.0,28.3,18.48,Perennial,182.8,0.527
476,25,29,2023-11-13 20:31:43,3517.4,5.02,66.1,1.07,6.63,2426.0,3.9,22.74,Perennial,226.5,0.22
477,427,53,2024-04-03 20:40:01,1548.7,4.2,55.4,16.18,-0.43,38523.0,7.2,58.82,Seasonal,75.3,0.482
478,305,51,2019-06-12 03:07:45,2521.3,9.99,83.8,19.38,3.6,2934.0,14.6,79.94,Perennial,49.8,0.503
479,101,61,2023-11-18 04:09:44,1766.1,8.24,30.4,7.46,6.46,15206.0,37.1,67.21,Perennial,393.1,0.93
480,254,49,2021-05-20 02:29:01,1873.1,4.98,24.1,10.48,8.66,23414.0,22.0,93.33,Seasonal,289.0,0.533
481,375,28,2019-05-02 21:16:20,952.6,1.93,33.6,12.57,9.2,13501.0,68.2,92.99,None,286.1,0.058
482,483,39,2020-03-21 11:48:47,644.1,2.09,6.9,8.57,7.96,38684.0,75.0,22.28,Perennial,344.2,0.706
483,373,44,2023-11-17 07:13:29,2510.5,5.47,31.9,16.47,7.41,41023.0,22.2,75.08,None,419.3,0.542
484,292,43,2019-02-23 04:04:41,3387.4,1.89,35.7,9.71,1.78,32609.0,1.3,21.65,None,397.2,0.36
485,199,1,2018-11-07 05:55:54,3562.5,2.01,35.8,6.05,9.89,14829.0,89.3,2.17,Perennial,430.5,0.798
486,58,19,2021-02-18 05:44:20,3635.0,0.44,7.7,8.32,6.92,42452.0,41.2,56.11,Ephemeral,198.6,0.694
487,17,21,2020-04-15 13:04:15,2690.6,8.62,21.7,18.57,2.06,38097.0,93.9,13.22,Perennial,304.6,0.682
488,386,9,2022-03-31 20:56:18,2639.4,3.12,27.1,5.53,0.29,44543.0,44.7,6.34,Ephemeral,473.8,0.493
489,392,54,2021-07-28 08:53:29,4598.4,4.53,10.2,13.44,2.44,31752.0,88.4,31.8,Ephemeral,356.9,0.367
490,355,23,2020-04-29 13:31:18,3293.9,5.88,43.3,3.28,2.68,24189.0,14.3,8.27,Ephemeral,116.8,0.266
491,64,11,2024-02-23 07:15:54,1058.4,0.8,66.9,11.09,1.05,9433.0,61.4,38.42,Ephemeral,177.4,0.302
492,472,50,2020-03-09 12:20:58,2478.9,5.38,1.8,8.97,7.58,45025.0,97.1,88.5,Perennial,298.1,0.997
493,352,17,2022-01-06 14:19:27,914.4,1.1,11.9,8.95,9.49,44699.0,89.8,35.56,None,33.3,0.347
494,50,58,2019-06-10 10:57:39,1116.1,8.12,38.4,2.7,8.62,38799.0,74.6,61.91,Ephemeral,202.9,0.114
495,200,32,2022-01-17 20:21:55,3214.2,9.39,74.2,7.44,3.26,9696.0,81.7,18.3,Seasonal,446.0,0.384
496,2,16,2022-02-01 07:31:44,4101.1,7.29,5.9,18.92,-0.51,41579.0,40.2,13.9,Seasonal,74.6,0.331
497,207,34,2022-09-12 01:40:50,421.0,9.41,38.1,15.37,0.26,38104.0,53.1,64.62,Perennial,104.8,0.959
498,56,45,2018-01-12 01:38:00,910.2,6.16,17.3,13.87,0.42,12519.0,99.9,34.01,Ephemeral,259.4,0.325
499,232,47,2024-08-27 23:01:23,4833.8,6.53,54.4,8.99,7.96,43861.0,61.8,98.12,Perennial,48.7,0.747
500,249,34,2024-09-04 05:16:00,189.6,8.97,33.9,5.06,3.68,14236.0,44.7,61.28,Ephemeral,200.2,0.718
501,368,31,2022-10-31 08:14:02,4552.7,2.45,27.0,18.7,9.82,48553.0,19.2,73.41,Perennial,450.9,0.222
502,441,56,2018-02-18 23:10:40,3144.9,3.88,16.3,18.08,2.59,35269.0,4.0,71.18,None,231.0,0.645
503,363,8,2019-08-30 03:58:32,3656.8,0.29,54.9,16.36,6.32,30779.0,92.1,75.3,Perennial,288.4,0.81
504,417,57,2018-02-22 09:28:30,687.0,0.63,49.5,6.46,9.38,40418.0,5.2,89.98,None,450.5,0.172
505,40,32,2019-07-13 22:22:41,1109.5,4.6,93.9,12.87,1.08,3783.0,30.0,1.63,Ephemeral,139.2,0.424
506,235,36,2019-08-21 18:08:57,326.3,3.85,41.5,1.55,0.33,37126.0,66.7,99.28,Ephemeral,412.7,0.591
507,426,27,2020-09-05 14:10:49,1742.2,3.36,42.6,19.34,1.43,17770.0,81.6,38.37,Perennial,54.9,0.132
508,430,62,2018-09-01 03:09:51,601.4,3.31,61.5,5.12,1.78,1906.0,57.1,44.66,Seasonal,92.9,0.863
509,205,21,2021-09-05 10:50:19,2167.6,5.12,46.7,16.92,2.54,29728.0,44.0,60.45,Perennial,123.2,0.981
510,197,62,2020-03-05 23:48:06,1451.3,2.53,67.9,12.69,-1.58,47216.0,93.1,75.5,Perennial,153.0,0.601
511,446,57,2022-04-19 05:13:06,4831.4,0.53,51.3,14.69,8.26,31237.0,75.0,16.85,Seasonal,268.3,0.831
512,141,24,2018-03-18 21:51:38,767.1,3.32,11.7,4.68,6.2,30103.0,5.1,52.39,None,325.0,0.933
513,177,17,2018-01-13 00:06:02,1225.8,2.15,43.2,19.57,3.55,19731.0,19.0,96.66,Seasonal,80.5,0.512
514,71,21,2019-01-08 00:47:38,3826.5,4.33,98.0,2.28,7.16,46904.0,24.8,95.69,Ephemeral,474.4,0.445
515,10,27,2021-03-06 04:44:17,4641.6,3.39,93.7,14.49,0.85,32817.0,79.5,9.52,Seasonal,236.4,0.141
516,378,36,2022-03-03 05:43:01,961.0,5.88,82.3,13.92,9.78,17405.0,94.4,49.96,Perennial,376.4,0.329
517,497,32,2023-04-09 13:57:53,1489.3,6.54,23.4,10.93,7.59,7460.0,81.7,24.31,None,286.1,0.605
518,204,25,2019-06-15 22:49:22,4949.3,6.89,26.8,19.98,1.48,36887.0,65.4,52.52,Ephemeral,215.3,0.338
519,53,12,2022-03-24 10:01:10,2418.0,4.82,44.4,3.29,7.93,39365.0,30.3,22.95,Perennial,334.1,0.425
520,294,22,2024-08-06 01:23:10,919.7,5.11,56.1,12.53,4.27,40255.0,91.4,8.32,Seasonal,387.9,0.198
521,304,49,2019-01-11 09:38:19,1910.6,3.71,34.3,13.31,0.18,33192.0,44.7,29.01,Perennial,232.7,0.765
522,280,10,2021-08-19 12:43:32,4313.2,3.06,55.4,16.33,9.57,47601.0,49.8,15.53,Perennial,248.7,0.106
523,318,57,2024-12-26 20:26:29,1062.9,8.3,39.6,17.7,0.58,42406.0,3.8,39.67,Perennial,246.8,0.22
524,265,14,2022-08-01 18:14:14,4196.2,6.23,97.1,6.52,-0.16,26697.0,9.4,7.66,Ephemeral,148.1,0.508
525,331,24,2021-07-23 07:15:46,2623.1,0.57,49.3,15.25,1.42,41626.0,41.8,57.5,None,265.8,0.513
526,164,2,2021-08-25 11:18:12,1615.2,7.76,51.0,5.6,6.6,25484.0,59.9,7.34,Perennial,181.2,0.272
527,338,44,2022-12-25 14:34:17,351.8,6.14,53.3,9.61,9.64,28191.0,85.4,85.97,Perennial,125.8,0.324
528,100,35,2018-11-03 09:47:28,3648.6,1.44,86.1,3.32,3.3,36007.0,34.5,80.84,Ephemeral,71.1,0.115
529,144,5,2023-03-08 21:33:26,4686.0,0.17,52.2,6.45,3.3,7795.0,69.9,56.33,Perennial,461.9,0.0
530,140,5,2024-07-20 05:28:10,1570.1,1.6,38.1,6.95,6.68,29461.0,74.1,71.02,Seasonal,71.2,0.888
531,163,6,2019-11-06 20:57:27,1135.5,5.92,55.5,14.7,0.49,30052.0,23.7,82.72,Perennial,337.7,0.342
532,453,58,2018-12-22 22:23:55,893.2,0.31,62.8,0.93,-0.87,29918.0,45.5,62.75,Ephemeral,54.6,0.271
533,48,10,2022-05-14 20:32:34,4353.9,6.53,54.3,17.05,9.64,32025.0,40.7,29.39,Perennial,314.9,0.382
534,115,9,2018-07-11 02:17:50,1640.2,8.21,77.6,11.42,3.63,4530.0,17.0,67.36,Ephemeral,168.0,0.09
535,404,11,2023-07-20 01:56:16,2259.6,5.53,63.1,10.63,9.93,17051.0,54.5,84.25,Ephemeral,264.6,0.196
536,265,14,2023-02-06 15:10:52,4294.6,1.22,94.0,10.1,-0.69,18022.0,47.1,91.18,Ephemeral,287.8,0.219
537,373,44,2019-12-11 05:51:54,3975.9,9.07,75.5,11.79,4.83,26001.0,32.2,30.98,None,63.9,0.457
538,219,16,2021-06-06 10:47:17,311.3,7.55,48.7,14.99,4.76,41560.0,57.8,22.8,Seasonal,50.0,0.859
539,110,13,2022-05-30 14:35:37,2209.5,4.99,93.5,7.04,1.84,40922.0,15.3,17.01,Perennial,65.9,0.91
540,455,18,2021-04-12 14:59:47,1905.5,6.85,35.0,8.36,2.58,8098.0,23.4,61.01,Ephemeral,129.9,0.672
541,11,53,2023-09-05 05:47:36,1114.6,8.04,9.2,0.16,3.26,14282.0,49.0,22.83,Perennial,15.2,0.069
542,443,9,2024-05-01 15:36:18,1705.8,6.1,15.0,14.99,7.22,33402.0,34.6,47.76,None,266.8,0.698
543,230,59,2024-03-16 15:14:11,855.3,3.56,34.7,4.45,8.73,14318.0,17.6,84.85,Perennial,12.2,0.69
544,200,32,2022-05-30 18:11:19,827.6,3.25,57.3,15.07,-0.64,22035.0,19.7,78.21,Ephemeral,70.3,0.145
545,274,38,2024-11-09 20:23:05,661.4,9.04,18.8,2.25,3.39,1188.0,67.5,7.25,None,239.1,0.049
546,14,37,2019-09-28 16:03:25,3212.0,5.5,52.7,4.01,1.27,17233.0,10.3,36.91,Seasonal,101.7,0.514
547,154,46,2018-06-14 20:40:27,1968.8,6.38,7.9,10.56,8.22,17774.0,4.1,83.88,None,287.9,0.374
548,167,44,2018-06-13 22:04:13,1014.3,1.67,7.5,2.01,6.71,22223.0,74.5,0.22,None,338.1,0.596
549,324,43,2020-07-29 14:19:57,336.7,2.51,43.1,19.46,-0.7,35971.0,10.7,55.67,Seasonal,387.1,0.882
550,262,52,2020-12-25 21:00:21,2098.7,3.45,91.3,19.45,1.51,49120.0,0.3,6.41,Seasonal,357.7,0.422
551,36,33,2023-08-17 09:13:39,1852.4,2.9,18.1,19.31,3.22,32678.0,41.8,85.86,Ephemeral,323.1,0.723
552,118,39,2021-10-25 18:14:56,4460.0,1.32,41.3,18.43,7.44,9006.0,25.1,43.11,None,380.1,0.533
553,312,23,2018-04-28 03:48:22,4112.8,2.07,89.7,4.19,-0.21,6314.0,24.3,60.42,Perennial,69.9,0.213
554,399,2,2019-04-23 07:21:32,938.2,0.79,76.9,7.68,0.79,43324.0,40.6,26.25,Seasonal,128.6,0.547
555,149,8,2023-01-24 17:45:15,2053.9,9.35,75.6,8.96,6.92,18830.0,70.1,73.93,Ephemeral,2.4,0.236
556,90,62,2020-02-19 17:49:38,2953.3,1.72,63.2,14.45,1.82,24630.0,19.2,92.35,None,5.2,0.228
557,306,45,2023-05-23 01:18:25,4037.6,7.49,22.5,5.08,9.76,3919.0,43.9,13.79,Ephemeral,112.1,0.785
558,178,33,2023-03-19 10:57:03,4667.9,0.17,64.3,1.88,-1.16,36248.0,61.2,11.93,Ephemeral,14.2,0.529
559,273,23,2018-11-20 21:20:04,1611.0,3.1,95.3,11.92,9.29,22322.0,39.7,71.45,Perennial,20.2,0.959
560,165,26,2019-05-05 03:44:24,200.3,2.02,22.9,11.02,-1.48,24523.0,5.1,48.29,Seasonal,340.7,0.197
561,134,20,2018-12-27 16:45:47,2836.0,2.93,83.4,16.84,1.45,3977.0,23.2,21.38,Ephemeral,62.3,0.436
562,413,7,2022-01-27 20:37:18,666.1,0.78,89.3,13.6,-1.34,42203.0,59.4,63.11,Ephemeral,489.1,0.043
563,197,62,2022-10-07 01:36:14,3791.3,6.51,59.9,6.63,7.86,29326.0,32.1,30.92,Ephemeral,282.9,0.261
564,138,54,2024-02-06 20:23:37,3233.9,2.38,38.0,14.21,6.7,47720.0,75.3,49.9,Seasonal,15.3,0.046
565,229,62,2021-04-12 13:55:54,4693.6,8.99,43.1,15.37,9.57,43188.0,40.5,96.08,None,188.1,0.446
566,401,51,2023-06-29 23:08:14,18.9,6.51,90.4,8.03,8.82,23622.0,31.5,38.86,Perennial,158.6,0.223
567,8,39,2022-03-03 02:49:31,815.7,6.79,24.6,9.44,-1.19,30616.0,92.6,34.29,None,114.1,0.801
568,24,8,2021-07-24 02:42:00,170.1,6.48,94.4,12.91,4.88,17385.0,94.7,75.14,None,377.3,0.489
569,1,54,2018-11-04 13:03:18,4056.6,5.6,13.9,11.1,9.49,6040.0,39.0,97.53,Perennial,488.5,0.784
570,51,20,2018-01-06 14:06:59,4694.9,3.69,72.9,0.39,8.06,40728.0,50.8,75.66,Ephemeral,317.4,0.417
571,78,21,2022-10-11 13:02:12,3344.5,2.08,3.2,4.46,7.51,15636.0,66.1,5.79,Seasonal,192.2,0.219
572,473,11,2018-08-07 13:43:54,2977.4,6.39,60.3,17.48,3.13,24947.0,47.1,6.73,None,167.7,0.954
573,347,36,2024-12-03 09:06:46,3576.0,0.33,97.4,5.53,3.91,41927.0,58.3,75.56,Ephemeral,26.7,0.811
574,467,57,2019-10-08 22:05:46,4322.4,2.39,72.0,2.92,1.5,31803.0,36.1,49.66,Seasonal,328.2,0.915
575,117,50,2021-05-28 07:46:33,2980.9,8.92,7.5,5.22,-0.16,25476.0,67.6,58.48,Perennial,486.0,0.957
576,350,18,2018-12-15 01:58:36,1399.4,4.41,0.5,9.09,2.81,16971.0,98.2,13.54,Perennial,156.1,0.07
577,497,32,2021-02-26 15:34:10,3495.8,7.63,72.7,6.97,4.02,45541.0,52.6,62.47,Ephemeral,114.2,0.986
578,307,27,2024-06-03 14:44:12,4716.8,4.32,18.0,15.99,-1.08,10566.0,22.9,33.58,Seasonal,226.9,0.97
579,23,48,2021-02-06 09:13:31,2257.6,7.76,36.8,5.61,2.39,1656.0,66.0,93.72,Seasonal,85.2,0.115
580,226,5,2023-08-26 07:20:10,1486.0,0.89,31.4,12.32,8.55,10440.0,76.1,65.58,None,116.2,0.624
581,389,28,2021-10-13 00:47:27,1572.8,8.64,63.1,15.71,9.0,3712.0,3.4,80.66,Perennial,323.5,0.047
582,444,1,2021-05-23 03:48:16,2278.4,1.3,86.6,9.38,2.06,23997.0,89.0,45.05,Perennial,169.0,0.23
583,234,19,2022-09-18 09:40:20,1333.2,7.75,3.7,5.19,1.79,17943.0,54.6,84.45,None,173.3,0.441
584,25,29,2021-06-24 01:11:54,2480.6,3.9,78.2,19.41,9.9,8498.0,51.9,80.95,None,15.5,0.309
585,252,46,2024-08-04 05:07:41,2095.9,3.84,13.5,7.11,5.26,47870.0,31.6,55.62,Seasonal,236.9,0.545
586,369,35,2022-10-07 13:21:25,129.3,7.64,44.7,1.41,-0.6,29748.0,36.3,78.02,Ephemeral,164.6,0.275
587,463,56,2024-01-30 04:14:25,4349.7,0.59,68.2,19.61,3.2,16079.0,13.0,28.65,Perennial,117.0,0.237
588,133,25,2019-06-25 16:01:21,3731.9,9.83,47.3,2.76,4.2,42253.0,53.0,85.53,None,22.8,0.177
589,12,46,2018-11-04 03:13:28,1325.1,2.03,62.8,18.2,8.61,48679.0,95.9,53.14,Seasonal,400.1,0.737
590,318,57,2023-07-08 12:47:36,2185.5,1.03,86.7,10.45,1.0,10471.0,8.4,90.08,Seasonal,163.5,0.998
591,39,4,2024-08-13 16:39:28,865.4,6.96,39.9,19.13,8.73,42754.0,3.8,99.97,None,136.6,0.199
592,374,13,2024-07-27 18:26:01,4032.1,6.77,58.1,5.97,6.89,20530.0,89.7,99.54,Ephemeral,257.6,0.719
593,461,25,2018-08-03 18:45:40,3467.2,6.66,42.9,4.57,3.88,40512.0,56.0,13.33,Seasonal,222.4,0.137
594,492,16,2021-11-14 17:37:49,675.7,2.34,5.1,14.63,1.84,22327.0,48.7,22.34,None,103.6,0.457
595,202,36,2023-05-09 14:04:05,1897.0,9.54,99.1,11.01,-0.3,42740.0,15.7,51.12,Perennial,295.7,0.041
596,355,23,2023-07-29 18:21:42,2737.5,0.82,64.5,12.25,7.71,30663.0,35.3,79.89,Ephemeral,240.0,0.218
597,155,34,2020-04-09 19:59:53,3898.6,3.02,59.4,0.27,1.46,32397.0,60.8,25.41,Seasonal,236.0,0.012
598,477,40,2022-09-04 09:46:24,2960.4,6.86,47.0,14.38,-1.84,26179.0,20.2,19.72,Ephemeral,189.1,0.784
599,361,43,2023-04-27 20:02:52,4644.7,0.07,64.2,1.28,0.52,21080.0,43.8,30.03,Perennial,301.6,0.656
600,296,41,2024-09-01 09:16:15,1376.9,1.42,77.5,14.78,4.12,42802.0,71.1,89.93,Perennial,65.7,0.354
601,454,19,2018-12-24 10:51:56,1605.4,0.66,27.9,8.66,-0.27,32504.0,69.6,62.74,Ephemeral,190.0,0.214
602,16,7,2022-07-09 17:57:05,3756.7,2.77,31.6,7.6,-1.9,41779.0,4.8,47.45,Ephemeral,328.0,0.534
603,44,60,2019-02-09 16:42:14,3374.9,2.96,45.1,4.52,8.62,36725.0,92.8,54.57,Ephemeral,62.7,0.59
604,460,49,2018-10-04 20:16:14,4358.0,2.04,97.5,2.77,-1.07,12030.0,57.3,46.22,None,259.1,0.875
605,152,25,2024-08-26 19:34:22,562.2,7.99,64.7,11.05,0.84,11913.0,53.6,12.96,Ephemeral,140.4,0.294
606,94,33,2022-06-03 08:07:31,3828.3,3.03,34.7,2.69,3.88,13137.0,62.5,40.48,None,301.2,0.906
607,91,53,2024-02-03 00:30:12,3938.7,7.31,44.9,4.34,2.67,33769.0,17.0,84.64,Seasonal,148.5,0.647
608,500,17,2024-01-19 00:04:04,2187.6,5.59,38.2,10.78,2.81,23114.0,41.2,27.65,Seasonal,309.2,0.792
609,97,59,2020-09-09 22:11:05,1727.0,9.69,36.0,5.69,7.8,2590.0,84.3,26.91,Seasonal,47.5,0.645
610,177,17,2021-04-17 20:57:38,380.4,8.16,29.2,5.87,-1.48,47069.0,48.3,37.05,Seasonal,218.9,0.374
611,251,21,2024-06-23 11:43:58,2941.7,8.33,4.4,17.71,5.34,32800.0,86.1,81.15,Ephemeral,485.3,0.301
612,465,39,2021-04-29 01:48:06,4971.0,8.43,65.9,1.65,5.53,43086.0,74.8,24.14,Ephemeral,476.8,0.226
613,96,6,2024-09-18 13:13:39,3310.6,7.49,74.7,11.96,9.79,12615.0,30.5,89.52,Perennial,73.2,0.964
614,477,40,2022-03-14 15:53:00,2753.8,9.82,53.3,8.35,1.78,28964.0,52.8,97.17,Ephemeral,260.0,0.57
615,181,10,2023-11-05 11:24:25,4005.9,2.05,49.0,6.21,-0.78,4707.0,88.8,73.05,Perennial,395.6,0.364
616,193,62,2020-12-16 17:18:50,4065.2,4.66,81.0,7.25,1.76,35005.0,74.8,95.9,Perennial,295.7,0.975
617,116,34,2020-11-04 17:04:45,2975.9,9.99,73.6,10.71,3.78,40896.0,16.0,10.88,Perennial,246.7,0.526
618,388,43,2020-04-20 18:02:24,3129.2,9.28,74.5,7.38,1.51,28928.0,46.0,89.55,Perennial,373.2,0.678
619,85,33,2019-11-12 10:28:45,199.5,1.71,82.4,1.38,9.82,9333.0,45.2,22.86,Perennial,452.8,0.464
620,430,62,2024-07-09 02:06:46,2965.1,0.01,48.1,5.84,2.63,47878.0,82.1,36.26,Perennial,491.4,0.041
621,269,36,2022-12-07 14:58:45,2405.7,0.84,39.7,12.5,7.65,7172.0,33.4,65.87,Perennial,440.7,0.503
622,495,40,2023-04-28 16:16:50,2071.0,9.49,3.6,19.09,7.3,3785.0,55.9,33.54,Seasonal,74.0,0.064
623,271,46,2023-12-31 17:26:17,2208.3,0.46,38.6,13.04,-0.99,46156.0,35.8,47.64,Ephemeral,420.4,0.076
624,377,24,2020-11-17 08:53:41,300.8,0.78,90.7,3.3,-0.67,36137.0,33.5,29.17,Seasonal,433.6,0.653
625,494,56,2019-08-17 06:37:49,2180.6,9.09,83.3,4.28,8.48,8554.0,51.0,48.87,Ephemeral,425.9,0.91
626,192,15,2021-12-01 03:39:26,2022.9,2.44,57.7,2.08,1.04,37335.0,47.6,18.43,None,26.0,0.922
627,355,23,2024-01-09 15:11:40,753.5,9.0,64.1,7.41,0.48,27112.0,64.4,3.25,Perennial,187.6,0.432
628,64,11,2022-07-21 22:47:58,1811.6,3.81,59.1,18.25,9.6,13852.0,55.8,27.1,Perennial,118.5,0.406
629,15,17,2023-02-09 12:10:10,785.4,1.64,75.8,3.52,0.4,48501.0,22.0,40.28,Seasonal,450.5,0.633
630,232,47,2022-08-26 12:00:47,2715.3,2.98,46.5,4.58,2.14,5879.0,1.6,54.6,Perennial,376.5,0.024
631,448,12,2020-11-02 03:16:54,1667.6,2.11,74.4,2.9,8.79,13806.0,45.2,0.92,Perennial,334.5,0.928
632,120,14,2024-05-24 08:50:34,743.1,1.26,47.2,11.27,2.67,3514.0,95.7,40.01,Ephemeral,2.7,0.743
633,388,43,2020-01-11 20:21:32,1972.5,9.95,46.3,4.93,0.36,44975.0,27.9,68.5,Ephemeral,230.1,0.406
634,258,27,2020-11-15 06:07:01,1586.8,7.82,59.4,6.25,3.55,36174.0,72.3,6.44,None,305.5,0.221
635,477,40,2021-03-28 15:48:12,2182.6,5.7,77.8,19.98,2.78,7969.0,43.7,83.16,Seasonal,23.1,0.597
636,22,26,2021-09-05 23:27:00,77.8,2.06,66.1,9.33,3.44,4674.0,99.3,89.24,Seasonal,494.5,0.515
637,433,62,2023-07-07 09:38:29,4172.0,5.97,6.4,3.83,10.0,41176.0,28.4,48.74,Ephemeral,303.4,0.009
638,398,46,2018-04-07 21:15:28,4112.6,4.16,46.6,19.62,0.14,16669.0,91.9,0.11,Ephemeral,7.0,0.988
639,474,23,2021-12-27 05:01:12,3600.7,5.35,36.1,6.31,5.94,4767.0,8.9,26.95,Perennial,237.1,0.434
640,366,16,2023-03-09 17:57:08,284.5,8.85,79.7,7.25,-0.18,2013.0,48.8,83.89,Perennial,344.3,0.81
641,25,29,2020-03-30 06:32:09,2912.3,1.17,98.8,11.52,1.42,9389.0,17.4,59.47,Ephemeral,5.7,0.5
642,13,31,2022-09-23 12:09:05,2070.2,3.22,83.1,4.42,1.84,36228.0,41.0,14.08,Ephemeral,221.2,0.765
643,48,10,2022-09-25 11:27:53,4292.0,6.49,15.0,8.98,4.54,34085.0,74.7,12.99,Perennial,309.7,0.576
644,418,51,2021-05-22 11:49:58,2119.5,9.85,65.4,18.77,4.31,49639.0,6.1,2.01,Ephemeral,348.0,0.155
645,362,55,2020-04-25 04:21:21,4391.3,0.29,5.2,12.62,9.89,6330.0,29.6,48.14,None,141.3,0.967
646,401,51,2023-01-26 16:04:10,3386.4,7.35,32.9,12.55,6.52,45238.0,97.0,29.87,Seasonal,201.2,0.616
647,418,51,2024-08-22 07:37:47,1240.3,2.55,68.9,6.82,3.18,44155.0,43.9,19.76,Ephemeral,271.5,0.151
648,7,33,2023-09-22 14:59:07,570.8,9.63,73.7,8.9,9.0,32125.0,39.3,53.11,Ephemeral,299.4,0.639
649,111,24,2024-12-02 06:20:16,2577.2,6.82,61.0,12.53,1.71,10204.0,53.0,54.09,Ephemeral,75.3,0.161
650,83,6,2024-03-20 06:57:18,3393.7,7.86,51.0,17.75,-0.47,47535.0,31.7,41.87,None,491.1,0.91
651,333,36,2018-12-08 05:55:24,3500.4,1.92,98.4,18.74,7.72,46495.0,67.1,92.02,Ephemeral,25.3,0.661
652,361,43,2019-11-26 10:52:55,3827.4,0.83,32.1,6.47,2.08,11.0,16.9,79.88,Seasonal,25.4,0.344
653,196,48,2020-05-11 07:29:50,935.7,3.78,30.8,12.06,3.55,12152.0,27.0,13.97,Perennial,460.2,0.081
654,471,58,2018-04-11 05:54:09,4136.3,9.55,34.0,0.68,7.56,4177.0,34.4,98.56,Perennial,123.5,0.499
655,14,37,2022-02-10 09:57:32,4142.9,9.42,43.4,13.67,6.75,40826.0,46.5,44.2,Ephemeral,2.3,0.225
656,265,14,2021-03-04 18:27:15,2302.1,6.06,7.1,4.25,4.31,7038.0,95.9,75.81,Perennial,401.7,0.085
657,183,43,2021-07-28 07:31:56,864.2,0.38,0.1,8.87,7.62,360.0,31.0,28.5,Seasonal,139.2,0.481
658,278,33,2020-09-13 15:35:21,3193.5,6.6,19.3,3.52,-0.97,36947.0,15.7,16.25,None,63.7,0.646
659,156,3,2022-08-28 00:15:43,1458.2,8.23,77.1,9.32,0.33,9093.0,64.0,40.02,None,311.1,0.733
660,458,31,2023-02-04 15:59:37,3210.0,6.52,44.0,5.98,-1.01,31201.0,76.0,58.37,Ephemeral,439.1,0.71
661,299,45,2022-11-29 10:03:15,2363.6,0.2,34.9,1.28,9.75,22287.0,42.3,47.63,Perennial,443.9,0.832
662,164,2,2018-01-13 11:33:46,1913.4,8.47,17.6,9.4,5.07,44618.0,84.5,39.72,Seasonal,58.0,0.408
663,207,34,2023-02-26 02:00:12,1569.7,5.79,58.5,6.65,1.68,196.0,21.0,61.26,Perennial,497.0,0.708
664,306,45,2021-12-30 23:17:01,2035.9,5.65,95.6,18.54,2.9,28354.0,9.9,83.17,Ephemeral,451.9,0.553
665,81,61,2021-04-03 02:40:16,2075.2,6.74,56.3,0.84,8.45,26997.0,21.1,40.4,Ephemeral,381.6,0.463
666,252,46,2020-08-22 02:36:16,3549.9,6.25,10.4,2.53,9.08,3913.0,53.8,85.55,Ephemeral,9.0,0.671
667,375,28,2022-12-18 02:29:54,1167.1,4.77,78.2,16.32,0.58,4190.0,8.9,84.14,Seasonal,109.1,0.997
668,365,43,2023-05-20 13:53:46,2546.8,4.7,69.8,12.85,9.12,19519.0,31.9,38.86,None,126.6,0.041
669,327,20,2018-08-26 17:19:34,1599.6,7.13,99.1,10.29,0.65,9624.0,96.7,95.48,Ephemeral,226.0,0.522
670,62,43,2024-03-10 04:22:53,19.4,5.4,17.6,7.69,8.0,29875.0,2.3,78.32,Ephemeral,61.6,0.21
671,139,3,2024-08-21 03:46:09,1631.1,1.89,14.6,7.41,1.59,18664.0,38.1,59.12,None,137.9,0.843
672,176,21,2021-06-24 11:30:03,965.1,1.84,36.4,2.36,8.23,21077.0,44.4,96.96,Perennial,27.0,0.979
673,346,34,2019-01-29 13:00:19,3782.5,8.01,49.6,17.11,1.59,20305.0,0.2,19.85,Seasonal,193.3,0.789
674,375,28,2018-06-04 12:53:34,1780.7,0.26,62.1,14.11,-0.64,1544.0,55.2,98.39,None,282.9,0.735
675,130,31,2020-07-22 15:51:45,81.6,9.39,53.3,18.23,8.05,22009.0,21.8,30.03,Perennial,12.9,0.826
676,63,21,2022-09-17 09:31:38,1679.6,1.48,26.8,19.99,7.76,4257.0,90.4,87.88,Perennial,478.9,0.477
677,92,15,2019-03-29 08:35:49,1785.9,7.4,60.8,10.27,6.16,37881.0,24.4,80.31,Perennial,5.4,0.971
678,401,51,2020-12-28 05:24:50,992.4,3.62,81.9,7.18,7.13,905.0,16.9,15.93,Ephemeral,422.4,0.502
679,92,15,2019-08-02 08:19:34,1519.0,1.0,89.5,11.88,0.72,46189.0,53.1,70.81,Ephemeral,19.3,0.32
680,187,36,2019-07-25 17:18:51,2057.0,3.17,45.6,19.96,-1.53,31207.0,52.6,74.65,Seasonal,379.2,0.771
681,76,7,2023-10-14 03:44:37,3412.3,4.7,41.4,19.25,-0.47,26225.0,0.8,62.09,Ephemeral,339.1,0.57
682,442,7,2021-03-16 14:23:12,1652.6,0.64,73.5,17.13,7.75,26164.0,93.1,74.93,None,262.2,0.379
683,259,40,2019-08-09 04:57:17,1066.2,7.67,86.8,1.31,7.48,12669.0,44.2,49.66,Perennial,442.3,0.146
