road_id,state_id,district_id,road_code,road_type,road_name,start_lat,start_lon,end_lat,end_lon,length_km,width_m,surface_type,condition,historical_blockages,landslide_vulnerability,daily_traffic_vehicles
210,38,4,RD00210,SH,SH-17,29.65329,98.54058,29.70329,98.59058,41.4,4.7,Gravel,Poor,13,High,111.4
211,8,1,RD00211,Forest Road,SH-90,24.28075,98.68951,24.33075,98.73951,41.5,9.4,Earthen,Fair,16,Low,348.2
212,26,3,RD00212,MDR,NH-170,23.79707,90.40546,23.84707,90.45546,18.4,11.8,Bituminous,Poor,20,High,429.5
213,47,6,RD00213,NH,NH-16,29.81197,99.37009,29.86197,99.42009,36.3,9.0,Concrete,Fair,19,High,35.6
214,52,6,RD00214,SH,NH-192,28.37506,99.82464,28.42506,99.87464,31.4,10.8,Concrete,Fair,5,High,31.7
215,40,5,RD00215,Forest Road,SH-87,28.14105,97.53273,28.19105,97.58273,24.9,11.5,Bituminous,Poor,0,High,330.7
216,15,2,RD00216,Forest Road,SH-85,27.14149,98.60155,27.19149,98.65155,13.4,3.1,Gravel,Fair,20,High,400.1
217,30,3,RD00217,MDR,NH-50,25.66298,92.81287,25.71298,92.86287,14.8,8.1,Concrete,Fair,12,Medium,433.2
218,51,6,RD00218,Village Road,NH-418,29.40121,90.8094,29.45121,90.8594,25.5,9.7,Bituminous,Fair,16,Low,32.3
219,3,1,RD00219,Forest Road,SH-85,27.31641,98.95527,27.36641,99.00527,45.4,9.3,Earthen,Fair,1,Medium,323.1
220,27,3,RD00220,MDR,NH-293,25.25244,90.73855,25.30244,90.78855,47.7,5.0,Gravel,Good,17,Low,37.7
221,31,3,RD00221,MDR,NH-173,28.01344,95.46483,28.06344,95.51483,13.5,3.7,Earthen,Fair,9,High,227.8
222,17,2,RD00222,MDR,SH-20,23.98586,93.00156,24.03586,93.05156,13.7,5.1,Concrete,Poor,19,Low,242.6
223,20,2,RD00223,NH,NH-263,23.38712,93.4393,23.43712,93.4893,39.0,5.8,Gravel,Poor,16,Low,247.1
224,10,1,RD00224,Forest Road,SH-1,23.89428,97.49591,23.94428,97.54591,26.9,10.5,Concrete,Fair,3,High,416.4
225,8,1,RD00225,NH,NH-105,24.20006,98.81,24.25006,98.86,40.8,9.1,Bituminous,Fair,12,Low,467.7
226,51,6,RD00226,ODR,NH-444,29.38045,90.97295,29.43045,91.02295,33.1,3.8,Gravel,Poor,0,Low,419.0
227,23,3,RD00227,SH,NH-114,27.89537,91.58037,27.94537,91.63037,18.3,7.2,Concrete,Fair,6,High,238.0
228,6,1,RD00228,ODR,SH-74,26.64596,97.19036,26.69596,97.24036,38.0,8.7,Gravel,Good,5,Low,258.5
229,38,4,RD00229,SH,NH-294,29.6391,98.68348,29.6891,98.73348,39.7,8.4,Concrete,Fair,14,Medium,80.2
230,61,8,RD00230,NH,NH-365,26.57729,89.91615,26.62729,89.96615,37.4,8.2,Gravel,Poor,1,High,351.1
231,45,5,RD00231,Forest Road,SH-94,28.63289,95.25567,28.68289,95.30567,4.6,4.5,Bituminous,Fair,2,Medium,256.2
232,5,1,RD00232,NH,NH-291,23.81838,95.03829,23.86838,95.08829,3.3,4.8,Bituminous,Fair,0,Low,429.4
233,37,4,RD00233,NH,NH-207,26.73779,94.76574,26.78779,94.81574,1.0,7.6,Concrete,Fair,15,High,152.8
234,47,6,RD00234,Forest Road,SH-75,29.44255,99.0452,29.49255,99.0952,2.0,9.4,Concrete,Fair,5,Medium,97.0
235,60,8,RD00235,NH,NH-65,24.68915,95.73294,24.73915,95.78294,39.4,5.5,Gravel,Poor,12,High,132.8
236,26,3,RD00236,Village Road,NH-404,23.79199,90.38806,23.84199,90.43806,49.5,7.9,Concrete,Good,20,High,497.1
237,33,4,RD00237,Forest Road,SH-70,23.91335,100.15254,23.96335,100.20254,32.3,11.8,Bituminous,Good,9,Low,97.3
238,17,2,RD00238,Village Road,SH-10,23.78691,92.92429,23.83691,92.97429,6.3,4.8,Earthen,Poor,14,Medium,7.1
239,38,4,RD00239,Forest Road,SH-11,29.63195,98.50878,29.68195,98.55878,10.2,7.8,Bituminous,Good,13,High,31.0
240,19,2,RD00240,Village Road,NH-37,24.36837,96.31967,24.41837,96.36967,0.6,8.2,Bituminous,Poor,12,High,414.6
241,5,1,RD00241,NH,SH-91,23.75099,95.15625,23.80099,95.20625,49.5,5.3,Bituminous,Poor,18,Low,222.1
242,59,8,RD00242,Forest Road,NH-452,25.67744,92.28274,25.72744,92.33274,14.6,3.3,Gravel,Fair,16,Medium,102.8
243,12,1,RD00243,SH,SH-80,26.85819,98.17439,26.90819,98.22439,12.5,10.1,Earthen,Fair,20,High,469.8
244,39,4,RD00244,Forest Road,SH-87,27.2632,91.11115,27.3132,91.16115,49.9,8.5,Earthen,Poor,2,Medium,261.6
245,13,2,RD00245,MDR,SH-16,26.1203,99.80933,26.1703,99.85933,21.3,5.3,Bituminous,Fair,0,Low,2.4
246,26,3,RD00246,SH,SH-41,23.78257,90.17662,23.83257,90.22662,32.1,11.3,Earthen,Fair,19,Low,88.3
247,2,1,RD00247,ODR,NH-182,24.09615,91.26935,24.14615,91.31935,11.6,11.6,Gravel,Fair,15,Low,403.0
248,15,2,RD00248,Village Road,SH-85,26.88488,98.41936,26.93488,98.46936,23.2,9.8,Gravel,Fair,5,High,355.9
249,38,4,RD00249,NH,NH-83,29.75645,98.50983,29.80645,98.55983,21.6,9.7,Gravel,Poor,8,Medium,495.9
250,59,8,RD00250,ODR,NH-489,25.62364,92.29814,25.67364,92.34814,38.7,8.4,Gravel,Poor,0,Low,277.1
251,9,1,RD00251,NH,SH-69,27.53745,93.44662,27.58745,93.49662,34.4,3.7,Concrete,Poor,20,Low,51.2
252,61,8,RD00252,ODR,NH-168,26.87963,89.97083,26.92963,90.02083,12.2,3.1,Gravel,Good,2,High,199.2
253,11,1,RD00253,Village Road,NH-350,22.76119,90.86242,22.81119,90.91242,38.7,9.4,Concrete,Fair,14,Low,54.1
254,40,5,RD00254,Village Road,NH-285,28.14244,97.51662,28.19244,97.56662,17.7,6.0,Bituminous,Poor,12,Low,4.2
255,14,2,RD00255,NH,NH-374,22.59026,92.97899,22.64026,93.02899,47.9,9.4,Gravel,Good,7,High,165.7
256,54,6,RD00256,MDR,NH-208,29.39233,91.57702,29.44233,91.62702,17.6,10.3,Bituminous,Good,18,High,195.5
257,16,2,RD00257,ODR,SH-19,23.46068,90.8426,23.51068,90.8926,9.4,9.7,Earthen,Fair,15,High,106.4
258,17,2,RD00258,ODR,NH-375,23.97541,93.04419,24.02541,93.09419,33.7,8.9,Bituminous,Good,17,Low,439.9
259,38,4,RD00259,ODR,NH-86,29.90081,98.71683,29.95081,98.76683,39.3,9.7,Gravel,Poor,18,Medium,105.9
260,27,3,RD00260,Village Road,NH-213,25.36313,90.75451,25.41313,90.80451,4.1,4.2,Gravel,Poor,2,Medium,96.6
261,3,1,RD00261,SH,SH-86,27.45998,98.845,27.50998,98.895,16.3,11.9,Bituminous,Good,2,Medium,390.0
262,32,3,RD00262,SH,NH-269,25.23315,95.81939,25.28315,95.86939,8.4,10.4,Gravel,Fair,10,Medium,297.0
263,10,1,RD00263,Forest Road,SH-53,23.80554,97.79674,23.85554,97.84674,27.0,7.4,Bituminous,Good,7,Medium,43.7
264,29,3,RD00264,SH,SH-14,25.94004,98.92103,25.99004,98.97103,22.2,4.7,Gravel,Fair,5,Medium,160.8
265,50,6,RD00265,MDR,SH-89,23.95063,92.22658,24.00063,92.27658,38.1,7.1,Earthen,Good,3,Low,213.4
266,24,3,RD00266,Forest Road,SH-70,24.19951,99.43602,24.24951,99.48602,24.0,3.1,Concrete,Fair,0,High,485.2
267,27,3,RD00267,ODR,NH-253,25.10579,90.83516,25.15579,90.88516,16.0,6.7,Bituminous,Good,1,High,322.7
268,35,4,RD00268,NH,NH-140,23.17514,91.60247,23.22514,91.65247,20.6,3.6,Earthen,Good,18,High,434.2
269,36,4,RD00269,MDR,SH-6,25.28382,90.59038,25.33382,90.64038,37.4,6.2,Earthen,Poor,17,Low,385.6
270,47,6,RD00270,NH,NH-473,29.71231,99.10948,29.76231,99.15948,5.7,10.0,Gravel,Good,4,High,480.8
271,1,1,RD00271,ODR,NH-88,27.23185,90.42141,27.28185,90.47141,32.0,11.9,Earthen,Poor,17,Medium,55.0
272,8,1,RD00272,MDR,SH-76,24.02946,98.75103,24.07946,98.80103,18.7,11.7,Gravel,Fair,5,High,85.4
273,35,4,RD00273,Forest Road,NH-420,23.29881,91.53328,23.34881,91.58328,19.6,4.5,Gravel,Poor,14,Medium,297.0
274,38,4,RD00274,ODR,SH-27,29.88514,98.55213,29.93514,98.60213,26.9,8.1,Gravel,Fair,4,Low,326.0
275,48,6,RD00275,NH,SH-88,26.75188,95.08529,26.80188,95.13529,22.3,11.3,Gravel,Good,15,High,138.4
276,46,5,RD00276,ODR,NH-206,23.26026,97.63113,23.31026,97.68113,13.7,6.7,Gravel,Good,8,High,471.1
277,34,4,RD00277,Village Road,SH-7,26.14467,97.44958,26.19467,97.49958,30.5,8.9,Bituminous,Poor,9,Low,276.8
278,32,3,RD00278,Village Road,NH-247,25.38207,96.02996,25.43207,96.07996,3.5,8.8,Concrete,Poor,5,High,381.4
279,50,6,RD00279,SH,NH-172,24.03877,92.50635,24.08877,92.55635,14.9,7.6,Concrete,Good,4,Low,357.8
280,19,2,RD00280,ODR,NH-66,24.19332,96.2566,24.24332,96.3066,15.7,7.9,Concrete,Poor,11,Low,245.8
281,32,3,RD00281,MDR,NH-498,25.30765,95.99298,25.35765,96.04298,44.4,11.7,Gravel,Good,0,Medium,240.0
282,27,3,RD00282,Village Road,NH-497,25.10791,90.8321,25.15791,90.8821,9.2,5.1,Gravel,Good,19,Low,328.7
283,8,1,RD00283,NH,SH-92,24.1161,98.7036,24.1661,98.7536,35.6,6.8,Earthen,Poor,9,Low,447.7
284,50,6,RD00284,NH,SH-26,24.06167,92.5102,24.11167,92.5602,43.8,3.8,Earthen,Poor,10,Medium,155.4
285,14,2,RD00285,SH,NH-95,22.74057,92.95291,22.79057,93.00291,13.8,9.4,Earthen,Fair,20,Low,254.0
286,16,2,RD00286,Forest Road,SH-45,23.66833,90.86777,23.71833,90.91777,16.1,6.5,Earthen,Fair,20,Low,141.6
287,37,4,RD00287,MDR,SH-93,26.69822,94.50989,26.74822,94.55989,10.8,8.2,Gravel,Poor,12,High,299.7
288,40,5,RD00288,ODR,NH-147,28.17137,97.54457,28.22137,97.59457,11.7,4.9,Bituminous,Good,12,Medium,122.2
289,19,2,RD00289,Forest Road,NH-2,24.04963,96.42144,24.09963,96.47144,22.4,4.6,Bituminous,Good,1,High,320.2
290,13,2,RD00290,SH,SH-56,26.28641,99.77267,26.33641,99.82267,41.8,6.4,Gravel,Good,4,Medium,97.9
291,62,8,RD00291,MDR,SH-78,26.9662,92.19695,27.0162,92.24695,21.0,7.6,Earthen,Poor,19,High,434.5
292,22,2,RD00292,Village Road,NH-76,22.72605,96.28997,22.77605,96.33997,10.8,9.3,Bituminous,Poor,8,Low,330.6
293,46,5,RD00293,NH,NH-302,23.19429,97.51147,23.24429,97.56147,5.6,11.8,Gravel,Poor,19,Medium,372.8
294,22,2,RD00294,NH,SH-49,22.57013,96.52625,22.62013,96.57625,16.7,9.3,Concrete,Fair,1,Low,337.1
295,17,2,RD00295,ODR,NH-283,24.00433,92.70309,24.05433,92.75309,33.1,10.5,Concrete,Good,4,Medium,90.7
296,55,7,RD00296,NH,NH-51,28.89003,94.28255,28.94003,94.33255,38.9,6.9,Concrete,Good,10,Medium,157.2
297,42,5,RD00297,NH,SH-44,21.97285,97.25797,22.02285,97.30797,25.3,9.6,Earthen,Fair,7,Medium,113.7
298,27,3,RD00298,SH,SH-82,25.31521,90.55512,25.36521,90.60512,24.8,8.6,Bituminous,Good,6,Medium,369.1
299,17,2,RD00299,SH,NH-274,23.70058,92.91865,23.75058,92.96865,46.1,8.2,Gravel,Poor,10,High,42.3
300,42,5,RD00300,SH,SH-82,21.94277,97.29763,21.99277,97.34763,41.6,7.4,Concrete,Fair,3,Medium,100.1
301,4,1,RD00301,MDR,SH-54,26.73701,90.50863,26.78701,90.55863,27.2,10.5,Concrete,Good,2,Medium,372.3
302,20,2,RD00302,Forest Road,NH-484,23.29905,93.43104,23.34905,93.48104,47.8,6.0,Bituminous,Good,14,Medium,221.1
303,25,3,RD00303,SH,SH-82,26.35103,96.80647,26.40103,96.85647,5.1,8.3,Bituminous,Fair,18,Medium,348.9
304,41,5,RD00304,NH,SH-56,22.91908,94.52057,22.96908,94.57057,34.7,11.0,Concrete,Fair,20,Medium,331.5
305,16,2,RD00305,MDR,SH-70,23.68759,90.8051,23.73759,90.8551,49.2,6.4,Earthen,Good,2,Medium,37.6
306,17,2,RD00306,NH,SH-5,23.93805,92.93135,23.98805,92.98135,48.1,4.8,Gravel,Good,3,Low,271.2
307,57,7,RD00307,ODR,NH-356,23.80278,93.03059,23.85278,93.08059,1.5,10.2,Bituminous,Poor,18,High,196.2
308,27,3,RD00308,Forest Road,NH-331,25.07032,90.51417,25.12032,90.56417,19.8,7.4,Bituminous,Fair,15,Low,28.9
309,27,3,RD00309,Village Road,SH-76,25.10018,90.7061,25.15018,90.7561,8.7,11.6,Bituminous,Poor,8,Medium,367.6
310,26,3,RD00310,ODR,NH-190,24.02537,90.49789,24.07537,90.54789,32.8,8.3,Bituminous,Good,14,Medium,433.1
311,59,8,RD00311,SH,NH-263,25.68173,92.51666,25.73173,92.56666,21.8,8.1,Earthen,Poor,7,Medium,194.6
312,42,5,RD00312,NH,SH-37,22.17972,97.17168,22.22972,97.22168,35.7,9.7,Concrete,Fair,5,High,182.8
313,31,3,RD00313,Forest Road,SH-62,28.04844,95.42837,28.09844,95.47837,29.2,4.2,Gravel,Poor,12,High,492.0
314,35,4,RD00314,ODR,SH-39,23.30247,91.72617,23.35247,91.77617,30.5,4.8,Concrete,Poor,6,Medium,8.0
315,54,6,RD00315,NH,NH-26,29.65141,91.56131,29.70141,91.61131,11.0,8.7,Concrete,Fair,20,Medium,279.7
316,42,5,RD00316,SH,NH-187,22.12338,97.19923,22.17338,97.24923,34.4,11.5,Concrete,Poor,13,Medium,272.0
317,46,5,RD00317,ODR,SH-5,23.23585,97.61451,23.28585,97.66451,1.5,4.0,Earthen,Poor,16,High,149.3
318,39,4,RD00318,SH,SH-4,27.36709,91.00822,27.41709,91.05822,19.0,6.0,Gravel,Fair,11,Low,474.3
319,32,3,RD00319,Village Road,NH-162,25.473,95.775,25.523,95.825,12.9,3.5,Concrete,Fair,20,Low,349.8
320,45,5,RD00320,Village Road,NH-253,28.55342,95.21196,28.60342,95.26196,38.9,4.2,Gravel,Fair,9,Low,397.7
321,58,7,RD00321,MDR,SH-45,27.0867,94.1969,27.1367,94.2469,10.8,3.6,Bituminous,Fair,10,Low,458.9
322,38,4,RD00322,Village Road,NH-493,29.72657,98.50407,29.77657,98.55407,2.9,4.3,Concrete,Poor,17,High,201.6
323,22,2,RD00323,ODR,SH-13,22.49698,96.32581,22.54698,96.37581,1.0,6.4,Gravel,Good,14,High,280.6
324,61,8,RD00324,NH,NH-428,26.80351,90.25218,26.85351,90.30218,34.8,3.2,Concrete,Fair,20,Medium,288.7
325,37,4,RD00325,SH,SH-18,26.84131,94.49031,26.89131,94.54031,11.5,11.8,Bituminous,Good,3,Low,254.5
326,4,1,RD00326,Forest Road,NH-299,26.63582,90.43866,26.68582,90.48866,35.7,5.4,Gravel,Good,8,Medium,275.4
327,18,2,RD00327,ODR,NH-61,28.96773,98.52225,29.01773,98.57225,7.1,6.1,Gravel,Fair,1,High,72.7
328,14,2,RD00328,NH,NH-375,22.6577,92.74956,22.7077,92.79956,19.5,10.0,Concrete,Good,19,Low,446.4
329,21,2,RD00329,Forest Road,SH-10,24.06017,99.513,24.11017,99.563,16.5,7.8,Bituminous,Fair,5,High,380.2
330,18,2,RD00330,NH,SH-85,28.85063,98.62077,28.90063,98.67077,26.1,9.1,Gravel,Good,8,High,105.4
331,12,1,RD00331,MDR,SH-89,26.98828,98.25072,27.03828,98.30072,20.7,4.6,Concrete,Fair,3,High,7.9
332,48,6,RD00332,NH,SH-25,26.715,94.73085,26.765,94.78085,40.5,6.2,Gravel,Good,6,Low,158.9
333,20,2,RD00333,SH,NH-214,23.29836,93.41142,23.34836,93.46142,32.0,7.8,Bituminous,Good,2,High,455.6
334,27,3,RD00334,SH,SH-26,25.0211,90.70567,25.0711,90.75567,31.6,7.0,Concrete,Good,4,Medium,330.2
335,43,5,RD00335,Village Road,NH-68,29.86602,97.66032,29.91602,97.71032,5.1,7.3,Gravel,Fair,18,Low,174.1
336,32,3,RD00336,Forest Road,SH-55,25.48934,95.8234,25.53934,95.8734,6.6,8.4,Concrete,Good,0,High,184.7
337,10,1,RD00337,ODR,SH-9,23.68336,97.6402,23.73336,97.6902,9.7,10.3,Gravel,Fair,15,Medium,285.1
338,7,1,RD00338,NH,NH-423,26.29779,92.13405,26.34779,92.18405,0.8,10.2,Concrete,Good,10,Low,124.9
339,21,2,RD00339,Forest Road,NH-89,24.217,99.37234,24.267,99.42234,8.0,9.3,Earthen,Good,20,Medium,278.6
340,48,6,RD00340,MDR,SH-87,26.85286,94.99356,26.90286,95.04356,21.9,5.7,Gravel,Good,3,High,308.7
341,37,4,RD00341,Forest Road,SH-21,26.80278,94.54614,26.85278,94.59614,4.5,11.4,Concrete,Good,3,High,489.7
342,12,1,RD00342,MDR,SH-36,26.73578,98.22836,26.78578,98.27836,0.7,5.3,Concrete,Good,3,Low,81.4
343,38,4,RD00343,NH,SH-51,29.63463,98.67803,29.68463,98.72803,17.0,7.4,Gravel,Poor,7,High,122.3
344,54,6,RD00344,MDR,SH-5,29.59525,91.6979,29.64525,91.7479,39.1,10.9,Earthen,Poor,16,Medium,287.7
345,40,5,RD00345,ODR,NH-62,27.90915,97.86974,27.95915,97.91974,15.3,3.9,Bituminous,Good,0,Low,379.5
346,42,5,RD00346,ODR,NH-475,22.06012,97.13689,22.11012,97.18689,45.3,6.1,Gravel,Poor,20,Low,445.0
347,40,5,RD00347,Forest Road,SH-28,27.96044,97.65452,28.01044,97.70452,30.6,10.2,Concrete,Good,8,Medium,355.6
348,28,3,RD00348,ODR,SH-64,28.93487,93.32019,28.98487,93.37019,29.6,10.7,Concrete,Good,1,High,437.0
349,55,7,RD00349,MDR,SH-83,29.01156,94.2476,29.06156,94.2976,7.1,6.7,Bituminous,Fair,16,Medium,397.4
350,17,2,RD00350,Forest Road,SH-96,23.9411,93.00501,23.9911,93.05501,33.8,3.3,Gravel,Poor,19,Medium,362.2
351,35,4,RD00351,NH,SH-56,23.21473,91.62191,23.26473,91.67191,23.5,10.7,Earthen,Poor,7,High,257.4
352,29,3,RD00352,SH,NH-250,25.95587,98.97647,26.00587,99.02647,1.1,8.8,Gravel,Poor,4,Medium,188.7
353,9,1,RD00353,Forest Road,SH-57,27.52205,93.49813,27.57205,93.54813,42.0,3.6,Concrete,Good,4,Medium,462.8
354,11,1,RD00354,Village Road,NH-473,22.88196,90.87038,22.93196,90.92038,14.8,9.8,Bituminous,Good,20,Low,418.6
355,41,5,RD00355,MDR,SH-39,22.83796,94.47343,22.88796,94.52343,29.4,9.8,Earthen,Fair,6,Medium,127.6
356,43,5,RD00356,MDR,NH-253,29.71684,97.72049,29.76684,97.77049,16.0,11.5,Earthen,Fair,18,Low,497.7
357,57,7,RD00357,SH,SH-58,23.46589,93.06962,23.51589,93.11962,26.0,7.7,Concrete,Good,4,Low,75.5
358,56,7,RD00358,NH,SH-93,29.28963,97.56275,29.33963,97.61275,39.5,7.6,Earthen,Fair,14,Medium,474.7
359,23,3,RD00359,Village Road,SH-14,27.66836,91.8217,27.71836,91.8717,22.0,8.5,Concrete,Fair,10,Low,164.0
360,36,4,RD00360,SH,NH-369,25.29979,90.63603,25.34979,90.68603,41.6,10.4,Earthen,Poor,14,High,178.5
361,46,5,RD00361,NH,SH-38,23.06021,97.66922,23.11021,97.71922,8.8,7.5,Earthen,Fair,1,Medium,140.9
362,39,4,RD00362,MDR,SH-3,27.57936,91.07259,27.62936,91.12259,23.9,9.5,Bituminous,Poor,0,Medium,266.1
363,52,6,RD00363,SH,SH-70,28.44706,99.59492,28.49706,99.64492,4.1,3.4,Earthen,Poor,5,Low,95.0
364,56,7,RD00364,Forest Road,NH-226,29.61806,97.56749,29.66806,97.61749,19.6,6.0,Bituminous,Fair,11,High,384.2
365,54,6,RD00365,NH,SH-9,29.72419,91.67221,29.77419,91.72221,46.1,9.4,Bituminous,Fair,4,Low,312.5
366,44,5,RD00366,ODR,SH-75,29.3476,98.55995,29.3976,98.60995,49.3,7.1,Gravel,Good,6,High,78.0
367,17,2,RD00367,MDR,SH-54,23.90025,93.00686,23.95025,93.05686,2.4,10.3,Earthen,Good,1,High,256.2
368,32,3,RD00368,MDR,SH-76,25.45461,95.82973,25.50461,95.87973,18.1,4.6,Bituminous,Fair,8,Low,121.2
369,37,4,RD00369,ODR,SH-34,26.67219,94.83522,26.72219,94.88522,1.5,8.9,Bituminous,Poor,12,Low,349.6
370,53,6,RD00370,Forest Road,NH-158,27.99508,91.14803,28.04508,91.19803,12.0,4.5,Gravel,Fair,4,High,357.5
371,57,7,RD00371,NH,NH-66,23.70982,93.20013,23.75982,93.25013,5.4,11.6,Bituminous,Fair,20,High,384.0
372,49,6,RD00372,ODR,NH-500,29.47786,98.69736,29.52786,98.74736,18.9,10.3,Concrete,Good,5,Medium,353.5
373,4,1,RD00373,Forest Road,NH-178,26.56437,90.37216,26.61437,90.42216,35.2,6.8,Gravel,Poor,11,High,290.5
374,37,4,RD00374,ODR,NH-107,26.67614,94.76149,26.72614,94.81149,1.5,6.8,Gravel,Fair,1,Low,6.0
375,33,4,RD00375,Village Road,SH-73,23.8318,99.89844,23.8818,99.94844,28.0,11.9,Gravel,Poor,17,Medium,144.8
376,53,6,RD00376,Village Road,NH-349,28.04238,91.26064,28.09238,91.31064,29.3,3.8,Concrete,Good,14,Low,67.8
377,59,8,RD00377,MDR,SH-57,25.46884,92.30414,25.51884,92.35414,7.9,5.3,Gravel,Good,9,Medium,295.5
378,20,2,RD00378,MDR,SH-61,23.2615,93.65268,23.3115,93.70268,37.3,4.4,Gravel,Fair,0,High,339.9
379,60,8,RD00379,SH,NH-450,24.79341,95.77644,24.84341,95.82644,12.1,10.3,Bituminous,Good,7,Low,278.7
380,3,1,RD00380,SH,NH-289,27.23688,99.11561,27.28688,99.16561,3.1,4.6,Bituminous,Fair,2,Medium,231.0
381,13,2,RD00381,Village Road,NH-408,26.36057,99.84058,26.41057,99.89058,3.3,8.0,Earthen,Good,2,Low,371.6
382,38,4,RD00382,Forest Road,NH-167,29.68402,98.76416,29.73402,98.81416,28.9,9.2,Earthen,Poor,1,Low,264.7
383,14,2,RD00383,ODR,NH-452,22.62341,92.78513,22.67341,92.83513,44.0,6.6,Concrete,Fair,5,Low,8.4
384,8,1,RD00384,Forest Road,NH-151,24.25525,98.73956,24.30525,98.78956,24.3,7.4,Bituminous,Fair,12,Medium,459.1
385,55,7,RD00385,MDR,NH-417,29.12093,94.08186,29.17093,94.13186,34.5,5.9,Gravel,Good,1,Medium,113.7
386,5,1,RD00386,ODR,SH-26,23.73669,94.96,23.78669,95.01,22.5,9.6,Bituminous,Good,18,High,359.8
387,54,6,RD00387,Forest Road,SH-1,29.73775,91.65731,29.78775,91.70731,49.3,7.5,Bituminous,Good,11,Medium,51.7
388,48,6,RD00388,NH,NH-39,26.73405,94.92362,26.78405,94.97362,42.5,10.3,Earthen,Fair,13,Medium,290.0
389,26,3,RD00389,Village Road,SH-65,23.70176,90.15928,23.75176,90.20928,42.3,4.4,Gravel,Poor,8,Low,164.0
390,55,7,RD00390,Forest Road,SH-68,28.90322,94.38979,28.95322,94.43979,21.2,3.3,Gravel,Poor,0,Low,11.5
391,29,3,RD00391,Village Road,NH-254,25.83056,98.75239,25.88056,98.80239,45.9,10.4,Gravel,Fair,18,Medium,493.4
392,43,5,RD00392,ODR,SH-18,29.60055,97.77458,29.65055,97.82458,45.1,5.2,Earthen,Fair,17,Medium,149.4
393,28,3,RD00393,ODR,SH-13,28.8146,93.07252,28.8646,93.12252,30.5,7.0,Earthen,Poor,20,Medium,205.9
394,35,4,RD00394,Forest Road,NH-128,23.33342,91.42645,23.38342,91.47645,31.5,3.8,Gravel,Good,4,High,75.8
395,31,3,RD00395,ODR,NH-33,27.83426,95.2564,27.88426,95.3064,38.1,6.0,Earthen,Good,10,Low,373.6
396,2,1,RD00396,Forest Road,SH-39,24.12232,91.37872,24.17232,91.42872,11.0,4.6,Concrete,Poor,12,High,455.9
397,38,4,RD00397,SH,NH-227,29.7422,98.63888,29.7922,98.68888,41.8,11.9,Bituminous,Poor,4,Low,277.2
398,40,5,RD00398,MDR,NH-260,28.19517,97.69578,28.24517,97.74578,22.0,10.4,Earthen,Good,1,Low,297.4
399,56,7,RD00399,Forest Road,SH-58,29.38047,97.58302,29.43047,97.63302,25.6,11.4,Concrete,Good,14,Low,336.8
400,11,1,RD00400,Village Road,NH-266,22.60684,90.8759,22.65684,90.9259,29.0,11.8,Earthen,Good,13,Medium,148.0
401,45,5,RD00401,Forest Road,NH-183,28.7869,94.90826,28.8369,94.95826,5.8,11.8,Concrete,Fair,1,Medium,10.5
402,28,3,RD00402,Village Road,SH-49,29.04169,93.13182,29.09169,93.18182,24.8,7.0,Concrete,Poor,17,High,337.5
403,57,7,RD00403,ODR,NH-168,23.76409,93.13628,23.81409,93.18628,43.8,7.1,Bituminous,Poor,13,High,174.2
404,40,5,RD00404,NH,SH-86,28.15104,97.51652,28.20104,97.56652,12.7,6.3,Gravel,Good,2,High,183.7
405,2,1,RD00405,MDR,NH-396,23.90717,91.46375,23.95717,91.51375,23.1,4.7,Gravel,Fair,11,Low,416.3
406,3,1,RD00406,Forest Road,SH-93,27.4821,98.9513,27.5321,99.0013,39.3,7.7,Bituminous,Fair,9,Low,264.2
407,11,1,RD00407,Forest Road,SH-84,22.6453,90.96312,22.6953,91.01312,24.3,7.2,Concrete,Good,19,Medium,381.9
408,24,3,RD00408,MDR,NH-447,24.00488,99.21712,24.05488,99.26712,47.3,3.9,Earthen,Poor,5,Low,5.3
409,23,3,RD00409,MDR,SH-19,27.87591,91.73954,27.92591,91.78954,9.1,10.1,Bituminous,Fair,16,Low,100.1
410,56,7,RD00410,SH,SH-25,29.48014,97.71843,29.53014,97.76843,31.8,3.0,Concrete,Poor,6,High,317.4
411,57,7,RD00411,ODR,SH-42,23.615,93.23406,23.665,93.28406,48.2,3.2,Bituminous,Poor,2,Medium,46.9
412,46,5,RD00412,Village Road,NH-205,23.38077,97.45285,23.43077,97.50285,35.9,10.9,Earthen,Good,3,Medium,240.5
413,47,6,RD00413,NH,NH-354,29.73558,99.3373,29.78558,99.3873,9.9,7.4,Concrete,Fair,1,High,437.5
414,7,1,RD00414,ODR,NH-53,26.4466,92.26032,26.4966,92.31032,50.0,11.4,Bituminous,Fair,17,Medium,141.0
415,34,4,RD00415,MDR,NH-402,25.84983,97.38009,25.89983,97.43009,14.1,4.5,Gravel,Poor,1,High,316.9
416,31,3,RD00416,SH,SH-46,27.84893,95.24391,27.89893,95.29391,36.2,5.2,Bituminous,Poor,11,Medium,44.0
417,57,7,RD00417,NH,NH-347,23.43519,92.95593,23.48519,93.00593,41.2,7.9,Bituminous,Fair,6,Low,190.8
418,58,7,RD00418,Forest Road,SH-81,27.31191,94.4721,27.36191,94.5221,25.0,7.6,Gravel,Fair,5,Medium,431.4
419,18,2,RD00419,Village Road,SH-42,28.86687,98.79203,28.91687,98.84203,13.8,7.4,Concrete,Poor,18,Medium,210.2
