record_id,slope_id,district_id,slope_angle_deg,slope_aspect_sin,slope_aspect_cos,flow_accumulation,topographic_wetness_index,plan_curvature,profile_curvature,elevation_m,relative_relief_m,valley_depth_m,terrain_form,roughness_index,normalized_height,slope_position_index
200,370,41,59.74,-2.0297,-2.2065,49661.0,88.18,-0.8712,-0.3256,7562,30.6,1951.6,Convex,400.3,0.893,3.99
201,315,31,21.5,3.407,0.6296,48162.0,92.79,0.602,-0.752,4493,44.0,799.6,Planar,440.8,0.5762,18.51
202,450,35,9.03,-1.4828,3.9946,22645.0,5.23,-1.4272,0.9581,6162,10.8,1637.8,Complex,487.0,0.8606,69.45
203,246,9,37.08,-0.3725,-2.8815,13277.0,52.41,-1.7338,-0.1589,7811,35.7,16.6,Convex,65.6,0.3456,4.04
204,28,54,17.17,0.2757,-3.2885,38139.0,31.76,-1.2712,-1.9072,6760,1.8,1026.9,Planar,206.1,0.8725,66.02
205,437,26,7.77,-3.8032,3.5956,11112.0,90.45,-0.9514,-0.4697,1324,38.6,842.1,Concave,215.3,0.3863,12.47
206,114,44,47.99,1.7177,3.9199,45200.0,89.53,-1.261,1.2274,635,67.8,1907.4,Planar,36.0,0.3134,3.14
207,482,6,75.48,4.806,-2.6246,33642.0,74.54,-1.4449,-1.9548,6011,11.6,1346.3,Convex,101.6,0.2364,96.31
208,198,52,62.95,-4.6093,-2.0657,18477.0,91.44,-0.8364,0.8171,1466,69.1,386.3,Planar,231.9,0.4405,71.37
209,115,9,29.68,4.3712,-3.9076,19614.0,67.5,-1.8026,-0.8286,2073,19.1,760.5,Complex,57.4,0.9605,67.49
210,51,20,56.21,-2.8725,-2.7731,49078.0,71.71,1.9082,1.9221,7338,35.3,1962.3,Complex,389.5,0.0618,35.98
211,177,17,59.58,-2.585,2.4565,24592.0,25.44,-0.1222,-0.0175,5629,57.1,347.1,Concave,433.3,0.2018,61.22
212,395,53,33.54,4.193,3.7054,7048.0,52.71,-0.092,-0.5977,5214,41.7,470.2,Planar,464.9,0.0724,72.31
213,154,46,48.25,3.8311,2.6745,27520.0,7.37,-1.6276,0.5423,6367,9.1,1595.2,Convex,49.7,0.5296,25.96
214,334,48,7.27,-0.9016,4.3777,42018.0,81.58,1.0484,1.7389,1450,70.6,496.3,Planar,273.8,0.0303,23.53
215,179,11,55.06,-4.0728,2.9441,11814.0,92.09,0.0714,0.1018,132,34.9,1560.1,Planar,430.5,0.8854,5.4
216,187,36,17.69,4.4466,-2.4481,3214.0,38.95,-0.7972,0.4434,356,21.5,1627.5,Convex,156.8,0.9825,11.69
217,267,8,71.98,-0.7002,1.9975,1057.0,28.61,-1.393,-1.5086,1703,35.4,1477.8,Convex,339.3,0.4859,80.1
218,209,48,82.02,-1.5739,-2.9177,31232.0,86.44,-1.3503,-1.9239,4442,23.7,67.7,Complex,323.3,0.5428,8.61
219,275,43,27.06,0.6848,0.8235,34868.0,59.99,-1.655,1.3561,7901,82.5,1161.9,Convex,321.2,0.2038,30.43
220,57,1,62.32,-0.6754,-2.7232,16647.0,45.65,-1.9064,0.3377,3907,74.9,896.3,Complex,121.1,0.2441,22.94
221,346,34,89.8,4.7498,-3.6811,10800.0,82.05,0.581,-0.4312,6247,15.3,1186.7,Complex,210.4,0.6497,16.61
222,39,4,12.54,-1.9889,-1.0665,1169.0,58.95,-1.7055,1.169,1615,3.6,1093.6,Concave,441.6,0.3378,35.98
223,63,21,63.44,-4.8125,-2.7439,11340.0,80.46,-0.6823,1.8746,654,56.0,953.6,Planar,142.2,0.1097,38.92
224,120,14,76.93,2.8097,-2.073,46774.0,63.18,-1.4134,0.3574,403,63.2,700.0,Convex,173.6,0.838,23.08
225,285,41,65.13,-0.8191,-0.0365,21000.0,26.26,0.9212,-0.5159,7388,14.2,1407.8,Planar,176.5,0.1959,57.79
226,469,21,49.8,1.2953,3.8287,28374.0,20.54,0.3013,1.4298,2138,62.5,617.5,Concave,80.5,0.17,68.54
227,252,46,25.81,0.8745,3.0624,14585.0,21.08,1.9454,0.4627,190,63.2,104.5,Concave,377.5,0.7544,23.27
228,134,20,66.62,-2.0556,-3.0144,49087.0,40.0,1.9411,-0.4862,774,10.6,283.4,Convex,43.3,0.553,62.36
229,144,5,27.73,4.0508,-1.4095,30879.0,79.04,1.6676,-0.7748,3888,56.4,233.9,Convex,496.1,0.8399,16.6
230,275,43,7.62,4.4744,-0.7799,34131.0,32.09,0.1368,-0.9364,101,40.0,719.7,Complex,247.4,0.8461,36.36
231,472,50,75.98,4.7349,-2.0407,26529.0,57.13,0.4373,1.7044,3107,24.2,506.8,Complex,42.5,0.6794,25.95
232,217,47,67.14,2.8411,2.9526,37.0,75.47,0.415,1.0745,1927,87.2,344.8,Concave,86.8,0.9071,71.2
233,222,50,72.18,-0.5908,-0.5278,18926.0,15.48,-1.6195,0.5721,2932,54.5,678.2,Complex,350.9,0.5535,60.14
234,277,10,77.91,2.1366,-4.5385,49798.0,32.6,-1.2535,1.6679,3719,22.4,1314.2,Concave,365.7,0.8447,10.24
235,466,40,54.24,-1.8482,-2.1384,17276.0,50.52,1.5254,-1.9137,415,35.1,387.1,Complex,461.0,0.7699,27.84
236,267,8,67.34,-1.0526,1.7512,7371.0,76.42,1.573,-0.1398,4684,58.4,754.3,Convex,92.6,0.8859,33.66
237,58,19,20.39,-0.762,3.9749,26917.0,76.89,-0.913,0.418,7977,10.2,334.0,Complex,204.8,0.3722,13.74
238,475,57,10.8,1.1448,-3.2403,26913.0,13.49,0.626,-0.3576,6355,8.6,1202.9,Convex,153.7,0.7494,69.78
239,395,53,77.96,2.4188,-4.5417,47127.0,84.56,-1.5382,1.4487,5413,60.3,1940.2,Concave,207.3,0.9484,38.9
240,120,14,88.67,2.9025,1.3566,16758.0,37.06,0.5705,-1.7421,2590,88.2,900.9,Planar,307.8,0.2758,1.86
241,183,43,6.72,1.6425,4.8613,32869.0,46.08,-1.7292,-0.0565,3560,71.2,1359.2,Complex,290.8,0.8251,33.88
242,357,2,47.64,-3.3217,-2.6376,20645.0,20.61,-0.5713,-0.7473,4168,9.6,1603.2,Convex,396.9,0.0071,60.11
243,41,34,31.91,-0.4722,-4.8889,28959.0,61.77,0.3172,0.8261,5226,76.2,619.8,Planar,125.1,0.2207,62.7
244,472,50,39.93,2.4118,2.6503,15060.0,17.97,1.0946,1.1189,7602,6.8,1121.7,Planar,74.9,0.149,52.42
245,23,48,34.89,-1.4952,-1.7396,26275.0,44.99,-1.0279,1.1488,5805,17.4,1683.2,Convex,216.5,0.6664,29.38
246,186,38,82.5,-2.4867,-2.3219,26953.0,9.84,-0.9819,-0.951,2595,49.6,665.5,Concave,72.2,0.6191,76.12
247,72,18,20.5,3.1195,-1.0174,6858.0,61.4,-0.2729,1.8489,124,29.4,1519.4,Planar,167.1,0.8489,39.19
248,275,43,64.95,-2.0453,1.9996,33994.0,29.31,1.646,-0.1273,7998,49.2,1769.7,Planar,185.6,0.6532,25.03
249,188,26,60.02,-0.9866,-4.2726,18042.0,42.03,-1.2866,1.3101,5135,38.3,1145.0,Convex,53.9,0.0531,57.13
250,281,58,26.81,-0.7634,2.8915,35263.0,4.93,-0.9859,-0.5947,932,23.7,1563.1,Planar,489.3,0.4589,43.54
251,143,27,27.76,-3.6213,2.8462,28107.0,72.67,1.8495,0.232,4974,32.4,1320.6,Concave,130.5,0.5975,20.89
252,178,33,10.8,0.4818,-3.1882,21153.0,72.79,-0.9757,-1.6076,6571,79.6,1232.3,Planar,432.7,0.31,61.24
253,130,31,55.53,2.1009,1.7913,8046.0,75.4,-1.9593,-0.1119,3371,75.3,160.2,Concave,296.2,0.5291,35.07
254,468,11,2.76,-0.8378,3.4045,49424.0,10.93,-1.4139,-1.8572,2622,46.7,1057.3,Convex,486.1,0.5769,47.71
255,349,15,82.62,2.9787,3.7525,7933.0,40.54,-0.6829,-1.0935,1510,67.0,1423.9,Convex,262.5,0.8333,10.29
256,341,45,66.57,-2.9288,1.8981,23780.0,69.83,0.2433,0.9852,7077,46.9,137.7,Convex,182.6,0.2904,96.03
257,444,1,52.25,-1.1929,-1.9428,21259.0,96.98,-1.5101,-0.4333,3621,2.0,172.4,Complex,304.9,0.0195,42.97
258,119,18,82.22,-2.3973,0.5185,41241.0,94.75,-0.7821,-1.5435,6893,88.5,1320.7,Concave,371.9,0.4297,87.35
259,172,39,82.72,2.5484,-4.4339,32235.0,53.5,0.9578,-0.7499,1851,62.2,603.0,Planar,333.1,0.2957,47.94
260,335,8,38.49,3.6691,-1.2761,12979.0,82.41,-1.9825,1.8205,6696,18.3,489.1,Concave,492.3,0.315,96.81
261,51,20,14.3,2.5102,2.8311,15090.0,93.56,1.177,-1.4799,5617,1.6,796.8,Concave,307.3,0.4706,59.87
262,64,11,39.7,3.4708,-3.1954,8344.0,83.03,-0.5506,1.6048,4275,16.6,675.7,Complex,161.7,0.3778,91.08
263,306,45,57.14,-3.8136,4.7526,48963.0,52.73,0.7292,1.9854,4549,74.7,196.6,Concave,43.5,0.518,91.46
264,8,39,28.63,4.4223,-0.9242,17944.0,37.12,-0.9161,0.3982,5800,2.0,1176.4,Complex,141.0,0.0908,76.98
265,198,52,59.28,0.955,-4.3611,26391.0,45.78,-1.9378,0.2605,5961,80.9,1128.9,Concave,204.2,0.742,14.04
266,422,28,13.94,3.575,-0.6939,43789.0,43.24,1.2093,1.4939,4101,74.2,1248.0,Convex,189.1,0.8171,4.81
267,26,28,32.2,3.4305,2.8985,18143.0,64.06,1.1226,0.7097,1801,27.5,1126.1,Convex,35.0,0.6922,3.71
268,152,25,61.73,3.3615,0.9269,27604.0,60.73,0.6914,-1.4447,4636,51.7,1254.3,Complex,177.7,0.0904,38.58
269,96,6,25.9,0.7708,-4.0896,14055.0,51.11,-1.6882,0.698,1565,35.8,1735.1,Complex,121.8,0.8072,92.42
270,332,54,31.83,2.8644,3.1689,35483.0,24.99,0.2238,1.4306,665,44.9,804.0,Planar,362.3,0.0902,40.94
271,84,9,8.75,-0.6301,1.1949,25909.0,13.32,-1.4242,1.6576,5544,51.0,1219.6,Concave,127.2,0.061,8.67
272,424,17,89.98,1.8783,-0.3743,44387.0,62.52,0.3868,-0.3479,3705,13.8,80.2,Complex,500.0,0.4388,0.94
273,340,31,82.3,2.1898,-1.0183,21199.0,34.07,-1.2152,0.7271,6871,67.1,1191.4,Planar,134.7,0.6017,72.38
274,23,48,16.84,-0.1671,-2.0711,19665.0,42.38,-1.5883,0.0876,6252,16.8,1034.4,Complex,263.0,0.5834,71.07
275,289,31,76.97,-1.115,-4.7717,48696.0,32.98,-1.1368,-0.2201,2487,69.8,427.0,Planar,305.8,0.0001,11.42
276,292,43,57.62,3.2503,-4.2455,24489.0,84.06,1.9541,-0.5782,6527,6.4,756.2,Complex,109.9,0.1936,32.17
277,145,47,0.49,2.3383,0.0055,46464.0,14.38,-1.2199,-1.8746,3192,75.0,498.6,Complex,80.5,0.6644,24.86
278,396,28,61.95,2.9393,-3.6824,6054.0,57.24,1.6078,-1.4635,6818,5.1,905.8,Complex,270.3,0.3408,91.21
279,236,28,7.21,-1.7712,1.1879,37241.0,41.67,-1.2761,1.3881,464,71.1,505.2,Planar,202.8,0.9182,28.01
280,361,43,6.6,4.2294,-2.4788,46161.0,50.23,0.0999,-1.5701,5363,55.5,1023.0,Complex,250.5,0.1614,70.0
281,93,29,77.15,-0.1912,-3.3965,754.0,8.13,0.7825,0.2727,4880,70.3,1260.1,Complex,463.3,0.9582,66.21
282,280,10,86.84,2.4149,-4.2113,28484.0,49.87,-0.3114,1.6997,4067,59.2,882.1,Complex,129.6,0.6024,61.8
283,458,31,45.75,-3.4257,3.6876,25130.0,4.65,-0.073,0.4041,1155,42.8,988.0,Planar,479.2,0.5018,24.91
284,261,20,11.17,-0.2482,-1.0145,45528.0,93.79,-0.6233,0.0717,5306,25.7,168.7,Convex,95.1,0.9672,87.95
285,83,6,20.93,1.2316,-3.0766,49185.0,36.04,-1.3415,-0.0815,3902,52.4,1011.6,Planar,11.9,0.0985,40.97
286,225,42,17.18,1.1747,2.7817,42926.0,78.44,1.601,0.0775,5670,7.5,1345.6,Planar,451.8,0.7969,14.68
287,388,43,15.08,-4.5998,4.076,33801.0,76.87,0.4923,1.1299,3495,83.4,1081.6,Convex,86.9,0.9822,39.57
288,111,24,6.26,-4.4204,0.2725,21313.0,24.52,-0.8693,1.5489,7037,5.3,189.4,Concave,33.2,0.7666,64.87
289,130,31,19.55,-0.8945,4.7146,13450.0,48.53,-1.9221,-0.6474,7650,46.4,722.3,Convex,266.8,0.8714,16.49
290,186,38,26.74,1.7925,-3.8632,18787.0,99.78,1.1058,-1.1376,2277,30.9,909.2,Complex,223.7,0.9379,59.24
291,286,9,13.34,-3.413,4.6588,25186.0,78.79,1.3823,1.2319,1731,41.0,1081.0,Complex,167.6,0.9625,34.24
292,452,34,56.52,-0.4925,2.7011,16854.0,3.31,-0.469,-1.7228,7256,31.0,480.9,Complex,318.1,0.9673,74.23
293,440,51,10.37,-3.1955,1.5147,223.0,30.21,-1.341,-0.6547,4114,44.4,1588.8,Planar,27.5,0.7011,78.2
294,392,54,20.4,3.5856,0.3835,14372.0,41.35,-1.2261,-1.4724,7502,63.6,1527.7,Planar,453.0,0.0031,86.53
295,44,60,82.38,-4.6953,0.3215,35986.0,63.76,-0.7438,-0.773,2818,0.3,1588.1,Complex,256.4,0.3226,93.87
296,162,25,19.91,0.3211,1.2666,49806.0,60.03,-1.797,-1.657,2195,87.9,1148.5,Planar,82.2,0.8173,0.13
297,255,6,47.15,-4.7504,0.9964,39554.0,85.8,1.3716,-0.0674,3073,61.6,511.4,Convex,485.0,0.1154,5.22
298,223,44,25.06,-1.0815,2.2472,23012.0,70.27,-1.4569,-1.8647,4202,27.3,1900.6,Concave,129.1,0.8457,32.48
299,435,55,83.38,2.7424,-4.6469,9085.0,82.28,1.1525,0.0957,183,14.1,730.2,Complex,464.1,0.985,20.02
300,116,34,23.28,-4.5123,-2.0356,13811.0,76.95,-1.7128,-1.9931,1535,13.3,745.7,Convex,20.9,0.2487,48.74
301,179,11,66.17,4.7208,4.7076,14029.0,5.22,-0.2534,0.2265,5193,9.0,1779.9,Concave,337.2,0.7483,85.12
302,436,18,17.73,0.5988,-0.3689,37456.0,92.12,1.7233,-1.8452,6962,31.1,392.0,Convex,322.1,0.0868,32.9
303,135,22,69.95,-4.5319,-2.1062,49797.0,21.47,-1.9734,0.9649,5844,86.8,934.9,Complex,68.3,0.0021,89.01
304,220,47,27.02,0.7973,1.2152,24674.0,58.67,1.1841,0.5702,971,14.3,1369.1,Convex,144.3,0.7488,31.53
305,435,55,58.19,3.857,4.3399,40614.0,27.11,1.2403,-1.9322,7439,42.0,296.0,Planar,123.4,0.0033,86.69
306,476,22,36.29,-2.3313,-0.4293,31855.0,35.84,-0.7571,-0.1722,6767,63.1,887.9,Convex,24.6,0.1697,60.75
307,395,53,72.17,3.5037,0.887,48851.0,91.1,0.6829,1.7032,7048,72.0,1674.2,Planar,443.0,0.0106,31.91
308,443,9,33.29,-1.8272,-2.2328,37509.0,37.55,-0.3606,-1.7011,3912,83.6,11.3,Convex,63.2,0.5565,10.6
309,249,34,79.7,-2.1719,3.2178,23254.0,63.89,-1.657,1.3468,373,6.8,154.3,Concave,298.1,0.689,84.32
310,278,33,27.2,2.4056,1.5196,9567.0,69.93,0.8208,1.4803,692,17.8,741.4,Convex,6.6,0.0658,40.13
311,455,18,59.72,0.8792,4.918,5180.0,65.33,1.0635,-1.9989,5622,22.9,840.8,Planar,283.4,0.9079,54.85
312,310,38,69.38,0.6077,0.2323,24581.0,4.57,-0.2425,-0.101,2930,42.8,776.6,Convex,288.2,0.7786,17.5
313,422,28,54.88,4.9957,-3.8515,26795.0,39.14,-0.6257,-0.823,7259,2.7,1276.1,Convex,286.3,0.5334,89.87
314,453,58,86.65,-1.8665,-0.3057,29188.0,30.2,0.0867,-0.1021,3441,78.1,392.0,Concave,100.0,0.3882,8.71
315,61,28,60.88,-1.0681,-0.8927,36821.0,14.39,1.6337,0.8126,285,89.8,774.6,Concave,438.8,0.3627,48.11
316,245,60,67.36,-3.1873,-0.7215,18634.0,37.95,-0.3596,1.3356,2903,75.2,1076.4,Concave,95.7,0.0534,32.64
317,228,36,88.85,-1.9884,-3.9647,34520.0,6.14,-0.1581,-1.9454,5391,80.4,1447.0,Planar,262.7,0.2069,52.77
318,472,50,75.33,1.8202,4.3207,26976.0,31.84,-1.3415,1.7057,6577,27.0,344.0,Planar,475.1,0.9325,97.59
319,186,38,63.04,1.941,-4.839,10287.0,61.53,-0.986,0.679,2219,30.8,623.6,Planar,245.2,0.5624,76.95
320,195,6,61.56,-3.767,-0.7357,49695.0,75.68,0.6234,-0.1551,7424,38.9,921.0,Planar,322.0,0.9871,89.88
321,440,51,52.58,-2.0668,1.7031,17076.0,70.25,1.5286,1.7916,3698,32.1,130.6,Convex,371.1,0.1466,47.93
322,500,17,26.17,-3.3073,-4.4549,45615.0,69.84,0.1632,1.945,998,71.1,379.4,Concave,105.7,0.5969,82.14
323,68,40,33.02,-3.6106,-4.9046,34229.0,56.16,1.7841,-0.6738,6399,3.8,577.3,Planar,227.3,0.3569,34.64
324,189,17,69.13,-2.889,0.5144,22433.0,30.68,1.997,0.0922,4662,63.7,899.8,Complex,186.0,0.1262,68.31
325,403,60,7.98,-2.6259,-3.4396,2852.0,62.01,1.3927,-0.7964,7277,67.0,729.2,Concave,428.6,0.3219,70.36
326,441,56,6.4,-1.2309,0.2268,13371.0,34.51,-1.29,-0.8861,7888,61.6,445.0,Planar,41.2,0.7278,18.56
327,58,19,47.76,2.1027,-4.3889,33736.0,99.35,1.4559,-0.4448,4407,11.9,598.8,Convex,103.2,0.2063,94.96
328,52,54,32.51,-1.942,0.9761,32418.0,29.25,-1.1098,-1.7203,4856,57.0,1067.1,Complex,466.6,0.9174,0.93
329,381,58,28.59,-4.6281,-2.4565,43210.0,73.48,-1.8757,-1.57,4750,39.2,36.4,Complex,489.6,0.0101,73.73
330,55,41,46.87,-1.2542,2.0342,12700.0,62.82,-0.7433,1.8254,5527,33.6,1093.5,Convex,385.9,0.6574,90.39
331,58,19,56.0,-2.0833,-0.4527,17875.0,78.08,0.0761,-1.7443,1585,40.6,1963.8,Complex,453.7,0.7677,28.01
332,235,36,57.41,4.77,-0.177,24256.0,45.91,-0.4424,1.4808,4180,10.0,822.2,Planar,60.3,0.2097,95.71
333,227,37,69.6,-0.6305,-3.4996,28107.0,44.19,-1.5396,0.22,3103,77.4,867.5,Planar,291.5,0.151,0.54
334,264,39,88.69,-1.7966,-0.2777,41226.0,52.72,-0.4246,-1.7243,729,87.5,1880.6,Convex,329.0,0.5284,79.67
335,223,44,12.34,-2.5691,1.0322,10710.0,42.79,-0.6224,1.0258,2978,41.4,1282.7,Convex,26.2,0.4105,52.62
336,88,36,18.08,-0.7366,-3.0425,15553.0,66.75,-0.7119,-0.9376,870,75.9,1930.8,Concave,166.5,0.8273,1.58
337,265,14,3.67,-4.3062,-2.6532,36231.0,7.81,0.8081,-0.1393,802,36.0,201.1,Concave,339.5,0.5231,18.91
338,330,35,71.36,0.1843,-3.9491,44428.0,72.56,-1.038,1.7972,7677,20.6,59.8,Planar,188.9,0.0705,91.3
339,179,11,88.5,1.209,-2.1408,14884.0,54.02,0.8554,-1.7705,3646,17.1,758.8,Convex,80.2,0.3175,21.69
340,74,43,21.35,1.6265,2.8698,19054.0,91.05,-1.9249,-1.9859,3976,54.4,572.9,Complex,123.3,0.5656,57.85
341,20,55,6.54,-1.5154,-3.7929,39404.0,37.37,-1.6513,1.136,228,14.6,1787.3,Convex,375.1,0.057,98.72
342,235,36,53.83,3.4657,0.1768,45514.0,59.91,1.6004,0.3678,5222,30.8,144.7,Complex,153.2,0.9469,13.97
343,67,48,66.55,3.4074,-4.4178,3298.0,83.41,-1.5755,1.1926,7216,76.3,107.9,Convex,369.0,0.9035,43.97
344,496,32,56.49,1.1467,-2.1347,41909.0,56.29,-0.8766,-1.2372,1501,44.8,1618.9,Concave,247.3,0.3003,42.94
345,410,11,42.4,-2.1047,4.9773,40348.0,53.06,0.6176,-1.51,4713,22.6,673.0,Concave,426.3,0.3344,45.38
346,281,58,61.3,-2.1228,-0.6298,29395.0,88.79,0.1146,1.4283,3269,16.2,798.0,Convex,272.1,0.1106,95.48
347,174,33,33.32,-0.1351,4.648,9528.0,16.49,1.8091,-0.2941,507,85.3,1533.8,Complex,220.8,0.1269,7.65
348,232,47,4.32,-1.3008,3.6184,39644.0,22.46,-1.0989,1.6063,5760,34.8,1198.4,Concave,174.6,0.1084,23.82
349,28,54,22.23,-0.8344,2.7871,18922.0,14.93,0.0194,-0.331,7696,17.1,1856.9,Convex,486.5,0.5098,94.09
350,334,48,51.55,0.7066,-0.3451,20913.0,71.99,-0.788,1.1746,7200,65.8,1695.9,Planar,478.5,0.9987,91.01
351,492,16,14.78,-1.005,-0.1119,47547.0,32.69,-0.7976,-1.014,2530,5.5,1428.2,Concave,383.1,0.0252,28.76
352,9,21,73.04,0.7435,3.1225,36819.0,57.4,1.3226,-1.6955,2799,57.7,1049.2,Convex,219.7,0.0682,5.85
353,177,17,86.5,-0.5087,-1.7886,31535.0,21.67,-1.2183,0.9996,6135,64.6,796.4,Planar,252.5,0.5066,63.94
354,212,16,86.45,-1.7315,-3.5123,9796.0,79.68,-1.7902,-0.2906,454,7.1,928.6,Complex,369.9,0.3801,40.51
355,385,6,36.65,1.7331,-0.3977,26282.0,23.96,-0.0652,-0.3858,1122,30.9,695.8,Convex,70.5,0.4364,35.45
356,321,24,0.31,3.6141,0.1178,10862.0,24.42,1.4903,-1.7575,3415,19.4,1635.6,Complex,11.2,0.5582,64.45
357,65,27,22.22,2.3475,3.0055,46955.0,41.99,0.9583,-0.1853,1581,64.7,1318.9,Convex,451.4,0.2852,87.72
358,199,1,43.55,-4.032,0.6605,9763.0,64.06,1.463,-0.9381,3323,50.2,532.4,Planar,129.3,0.3704,16.83
359,456,7,27.81,3.7164,2.1607,22498.0,2.86,-0.7009,-1.0412,1601,73.9,473.4,Concave,345.6,0.9353,8.15
360,147,29,40.35,-2.05,-1.5165,26055.0,0.38,-0.4295,-0.0393,283,62.5,352.4,Concave,310.2,0.8515,76.74
361,176,21,29.88,3.0074,3.1317,16945.0,32.96,0.6714,0.5052,3343,13.1,1790.0,Concave,469.4,0.8241,13.12
362,51,20,56.02,-2.3258,-1.7284,14930.0,94.59,-0.4649,0.7016,6172,12.2,840.8,Planar,388.6,0.1048,85.94
363,290,18,64.69,1.7024,-2.6281,27161.0,76.05,1.8408,-1.2411,3797,84.2,914.6,Concave,485.8,0.3459,65.78
364,493,34,2.26,-4.8749,-0.8283,13198.0,78.56,-1.868,-1.2387,4033,51.5,90.3,Convex,113.1,0.8809,99.68
365,492,16,16.54,-4.2683,-4.3911,12747.0,62.8,1.8242,-1.6424,3895,75.4,1673.3,Planar,327.2,0.2923,37.98
366,488,17,31.45,-1.2505,-0.8137,11371.0,19.7,0.0027,-0.6945,3825,70.9,429.2,Complex,228.8,0.2201,46.82
367,494,56,88.79,-0.2125,1.3286,36222.0,37.55,-0.2143,0.9739,2048,8.6,450.1,Complex,112.9,0.847,29.6
368,401,51,74.06,4.8063,-4.1746,45366.0,12.87,-0.1871,0.1915,6048,45.7,1794.6,Planar,233.1,0.9101,4.29
369,288,37,11.0,0.0921,0.4944,5017.0,16.24,-0.8443,-0.6042,5579,49.0,1193.3,Complex,61.9,0.7431,91.51
370,465,39,30.85,-0.5468,-2.3056,5736.0,20.83,-1.841,-1.2677,5857,86.7,693.9,Convex,465.8,0.5786,87.04
371,281,58,85.12,2.2237,-1.6712,10306.0,90.04,-0.7055,-1.0989,1445,2.6,558.5,Complex,272.7,0.8494,52.87
372,307,27,15.91,-1.9962,-0.883,19801.0,28.66,-0.345,1.6503,4099,81.2,1484.8,Planar,220.9,0.6392,19.84
373,372,26,65.06,-0.4693,1.0909,35058.0,53.79,-1.2464,0.9471,4375,64.1,501.1,Planar,23.7,0.525,42.81
374,433,62,76.51,2.2995,1.7757,39874.0,66.73,-1.2427,-0.0113,179,49.4,1763.3,Concave,272.7,0.8302,89.22
375,245,60,71.33,4.5241,-0.4499,2306.0,87.09,-0.8761,-1.4415,3848,71.2,1815.3,Concave,406.8,0.6958,66.29
376,213,8,52.4,0.7504,-4.5783,25250.0,42.69,-0.813,0.4154,6422,68.9,84.8,Complex,105.8,0.585,73.34
377,240,19,44.49,2.9563,-1.5837,6900.0,78.9,0.9591,-0.7646,5873,86.9,1115.6,Complex,173.8,0.3083,0.76
378,118,39,78.98,-3.7398,-2.3489,26201.0,24.57,-0.5041,0.4713,6396,68.6,992.3,Planar,353.7,0.288,80.55
379,377,24,80.35,-3.5633,2.7474,38808.0,19.55,-1.0134,0.7978,6320,30.8,1175.8,Concave,74.8,0.9235,64.06
380,129,49,7.55,1.0387,-3.2123,18012.0,94.91,0.539,1.0534,1605,68.0,1173.8,Planar,494.5,0.2456,9.37
381,130,31,1.57,-4.5088,4.6716,5303.0,55.52,-1.8828,0.7153,6257,85.2,1898.6,Planar,108.7,0.8862,82.01
382,331,24,25.74,1.8955,-0.7629,20554.0,48.83,0.7597,-1.2373,4191,64.3,1685.1,Concave,405.7,0.9264,32.51
383,346,34,28.18,3.3262,-3.4351,41539.0,8.83,-0.4158,1.3646,7813,56.8,1961.1,Concave,123.5,0.8586,16.41
384,256,59,37.45,-3.5893,-0.7225,10204.0,93.1,0.5226,0.4157,3010,61.9,1478.7,Complex,272.0,0.7118,19.78
385,126,31,49.96,3.8783,-3.1259,43427.0,78.24,-0.4156,0.0383,7892,29.1,500.5,Complex,201.2,0.7977,88.52
386,172,39,81.83,-3.7623,-1.4321,44984.0,68.29,-1.6046,1.0635,1553,70.8,1540.1,Concave,8.9,0.2802,92.22
387,225,42,57.65,-0.0221,-4.0628,14604.0,32.91,0.3212,1.3318,1407,77.9,1299.1,Convex,403.5,0.2132,20.24
388,144,5,80.58,-4.3884,2.8458,4065.0,63.44,-0.6786,-1.7834,1112,5.4,1928.6,Concave,40.1,0.6771,81.15
389,462,13,15.75,2.1134,-0.6395,23414.0,57.22,1.8311,1.5846,173,10.8,220.0,Planar,460.5,0.5449,39.95
390,330,35,40.86,2.1153,0.7006,11648.0,88.57,1.1572,-0.3275,5566,89.7,1053.5,Planar,238.5,0.7852,60.26
391,436,18,43.21,1.7304,-1.3635,6010.0,94.14,-0.1752,-0.1206,1768,86.3,1637.6,Complex,25.7,0.8671,2.79
392,471,58,49.73,-2.2077,2.7633,49438.0,39.38,0.2028,1.7468,3927,13.8,114.2,Concave,217.3,0.4254,65.78
393,472,50,56.56,3.6264,-0.8642,43818.0,80.5,-1.6839,-0.1902,887,6.9,1151.9,Convex,169.5,0.878,97.85
394,397,54,19.11,0.6183,1.2895,48483.0,87.12,0.6338,-0.2944,228,67.0,1237.2,Planar,126.5,0.3071,39.25
395,40,32,85.9,2.1152,1.1037,25916.0,14.43,-1.6069,-0.0446,928,3.0,1397.4,Concave,146.8,0.7753,59.23
396,88,36,48.72,1.0785,-0.9634,47344.0,50.27,-0.1966,0.0853,1979,18.4,207.1,Complex,481.5,0.1794,4.78
397,425,4,63.41,-1.431,2.4302,4474.0,64.03,-0.8465,-1.1434,5128,30.2,199.9,Complex,251.6,0.9256,40.75
398,444,1,29.06,2.1748,-2.4311,18351.0,21.73,-0.7086,-1.4154,6836,38.8,150.7,Planar,348.6,0.506,99.75
399,154,46,17.88,4.9591,-3.8271,17315.0,90.1,1.5539,-1.622,6344,67.1,927.0,Complex,233.3,0.7227,43.8
400,438,41,5.64,2.091,0.6409,18177.0,93.14,1.0103,0.459,4904,46.2,239.7,Concave,76.4,0.7566,96.47
