infra_id,state_id,district_id,infra_type,infra_code,lat,lon,construction_year,condition,capacity,construction_type,landslide_exposure,distance_to_nearest_slope_km
272,58,7,Hospital,INF00272,27.23536,94.22962,1902,Critical,2894,Seismically Isolated,High,2.86
273,1,1,Telecom Tower,INF00273,27.36537,90.04842,1925,Poor,4356,Reinforced Concrete,High,5.07
274,51,6,Water Treatment,INF00274,29.58183,90.70635,1922,Fair,3976,Seismically Isolated,High,1.22
275,2,1,Power Station,INF00275,24.03124,91.59466,2016,Critical,1482,Steel Frame,Medium,3.94
276,58,7,School,INF00276,27.4345,94.57114,1902,Poor,2333,Reinforced Concrete,Negligible,8.78
277,8,1,Power Station,INF00277,23.97544,98.52437,2001,Critical,2218,Masonry,Medium,1.14
278,23,3,Telecom Tower,INF00278,27.68868,91.61563,2019,Poor,2614,Reinforced Concrete,Low,5.74
279,50,6,Government Office,INF00279,24.17456,92.3675,1910,Fair,2407,Reinforced Concrete,Medium,3.08
280,16,2,School,INF00280,23.36733,90.75813,1951,Good,637,Seismically Isolated,Medium,1.54
281,56,7,Helipad,INF00281,29.31605,97.71245,1924,Critical,2959,Steel Frame,High,1.39
282,57,7,Police Station,INF00282,23.36733,93.29659,1945,Poor,1948,Timber,Medium,5.33
283,5,1,Helipad,INF00283,23.86126,94.77258,2009,Critical,1757,Timber,Medium,9.51
284,15,2,Disaster Relief Camp,INF00284,26.9058,98.46104,2009,Critical,3207,Steel Frame,Low,3.08
285,49,6,Government Office,INF00285,29.37241,98.95564,2017,Poor,84,Reinforced Concrete,Negligible,8.8
286,26,3,Power Station,INF00286,23.85346,90.58548,2019,Good,378,Seismically Isolated,High,0.45
287,40,5,Telecom Tower,INF00287,28.27631,97.84245,1946,Critical,3122,Seismically Isolated,Medium,4.63
288,37,4,Power Station,INF00288,26.68564,94.53036,1983,Poor,1588,Reinforced Concrete,High,6.23
289,7,1,School,INF00289,26.29637,92.13955,1952,Fair,4221,Seismically Isolated,Medium,3.93
290,20,2,Power Station,INF00290,23.41935,93.81797,1916,Good,737,Timber,Negligible,8.43
291,20,2,Hospital,INF00291,23.23974,93.43369,1932,Critical,3047,Seismically Isolated,Low,0.45
292,8,1,School,INF00292,23.98618,98.404,1979,Critical,4169,Seismically Isolated,Negligible,8.41
293,62,8,Helipad,INF00293,26.88486,92.41642,1901,Critical,4348,Reinforced Concrete,Low,6.68
294,29,3,Disaster Relief Camp,INF00294,26.15782,98.95901,1978,Critical,992,Timber,Negligible,9.87
295,48,6,Water Treatment,INF00295,26.637,95.01212,1901,Poor,122,Steel Frame,Low,0.15
296,61,8,Police Station,INF00296,26.68072,89.94519,1962,Critical,3409,Seismically Isolated,Negligible,0.39
297,41,5,Telecom Tower,INF00297,23.09814,94.39114,1921,Poor,1655,Reinforced Concrete,Medium,2.4
298,23,3,Power Station,INF00298,28.08268,91.78967,1965,Critical,2980,Reinforced Concrete,Medium,3.52
299,25,3,Water Treatment,INF00299,26.58364,96.95761,1978,Good,4195,Masonry,Low,1.62
300,10,1,Helipad,INF00300,23.51511,97.64335,1954,Fair,1342,Timber,Low,8.2
301,16,2,Police Station,INF00301,23.52486,90.71884,1982,Fair,1191,Timber,High,0.77
302,40,5,Police Station,INF00302,27.94857,97.46241,1920,Poor,3568,Reinforced Concrete,High,9.31
303,59,8,Telecom Tower,INF00303,25.75039,92.23624,1957,Critical,4265,Reinforced Concrete,Low,0.71
304,30,3,Government Office,INF00304,25.46348,92.3496,1976,Fair,1752,Steel Frame,Medium,6.84
305,11,1,Police Station,INF00305,23.02493,90.96826,1945,Fair,262,Reinforced Concrete,Negligible,3.61
306,30,3,Power Station,INF00306,25.57476,92.85522,1951,Good,4931,Steel Frame,Negligible,1.28
307,19,2,Water Treatment,INF00307,24.28385,96.50508,1910,Poor,3581,Masonry,Low,1.03
308,42,5,Telecom Tower,INF00308,22.21202,97.06942,1910,Critical,4543,Reinforced Concrete,Negligible,0.97
309,43,5,Police Station,INF00309,29.75061,97.46561,2016,Poor,2704,Steel Frame,High,6.25
310,31,3,Telecom Tower,INF00310,28.04444,95.30418,1905,Fair,3475,Reinforced Concrete,Negligible,6.7
311,25,3,Disaster Relief Camp,INF00311,26.66007,96.59044,1986,Critical,4127,Masonry,Medium,2.77
312,5,1,Water Treatment,INF00312,23.516,95.08163,1918,Good,3326,Steel Frame,High,8.01
313,54,6,Power Station,INF00313,29.70137,91.58412,1970,Poor,4745,Reinforced Concrete,Medium,8.55
314,57,7,Police Station,INF00314,23.80543,93.32549,2009,Poor,3442,Steel Frame,High,1.4
315,47,6,Helipad,INF00315,29.74095,99.39445,1957,Fair,2063,Masonry,Negligible,4.2
316,11,1,Water Treatment,INF00316,22.94957,90.8797,1988,Good,4047,Reinforced Concrete,Low,5.73
317,59,8,Disaster Relief Camp,INF00317,25.37255,92.48026,1974,Good,1177,Steel Frame,Low,3.73
318,28,3,Helipad,INF00318,29.18038,93.31401,1962,Good,2853,Masonry,Medium,3.37
319,36,4,Police Station,INF00319,25.38381,90.89435,1927,Good,3694,Timber,High,7.26
320,24,3,Police Station,INF00320,24.25203,99.21698,1989,Good,4123,Steel Frame,Negligible,4.85
321,25,3,Hospital,INF00321,26.43728,96.72115,1985,Good,2173,Timber,Low,4.24
322,33,4,Hospital,INF00322,23.50563,99.98717,1985,Critical,4667,Timber,Negligible,1.69
323,60,8,Telecom Tower,INF00323,24.90832,95.69812,1968,Critical,3767,Reinforced Concrete,Low,7.36
324,41,5,School,INF00324,22.78425,94.43029,1947,Fair,1265,Timber,Medium,3.75
325,31,3,Water Treatment,INF00325,27.88261,95.09128,1969,Good,4884,Timber,Medium,9.37
326,8,1,Disaster Relief Camp,INF00326,24.38123,98.93337,1941,Poor,2273,Steel Frame,High,0.26
327,10,1,Water Treatment,INF00327,23.95859,97.42029,2001,Poor,3329,Seismically Isolated,High,5.84
328,30,3,Water Treatment,INF00328,25.47278,92.72185,1988,Poor,588,Reinforced Concrete,Low,7.79
329,42,5,Water Treatment,INF00329,21.79661,97.47099,1920,Fair,2801,Steel Frame,Low,9.51
330,3,1,Helipad,INF00330,27.50464,98.85832,1928,Fair,4616,Masonry,Negligible,4.93
331,18,2,Telecom Tower,INF00331,28.72716,98.59515,1983,Critical,1216,Masonry,Low,0.24
332,20,2,Disaster Relief Camp,INF00332,23.00268,93.73244,2016,Critical,4019,Steel Frame,High,0.04
333,45,5,Government Office,INF00333,28.86709,94.84568,1912,Critical,2631,Timber,High,5.94
334,7,1,Hospital,INF00334,26.21372,92.42033,2014,Critical,4155,Timber,High,1.49
335,40,5,Government Office,INF00335,28.28186,97.86241,1933,Good,4494,Masonry,High,3.62
336,55,7,Water Treatment,INF00336,29.20894,94.31295,1952,Fair,2391,Steel Frame,Negligible,8.96
337,42,5,Government Office,INF00337,22.26556,97.20754,1977,Good,4773,Reinforced Concrete,Negligible,9.82
338,52,6,Disaster Relief Camp,INF00338,28.34114,100.00042,1982,Poor,2065,Timber,Low,3.82
339,58,7,Helipad,INF00339,27.19089,94.61738,1964,Poor,4317,Timber,High,5.93
340,56,7,Disaster Relief Camp,INF00340,29.2251,97.8359,2017,Good,1384,Masonry,Negligible,4.75
341,18,2,School,INF00341,28.88211,98.74607,1913,Good,2772,Seismically Isolated,High,6.31
342,61,8,School,INF00342,26.98988,89.91645,2015,Poor,3519,Masonry,Negligible,1.79
343,39,4,Helipad,INF00343,27.51108,91.41825,1947,Poor,3687,Timber,Negligible,4.73
344,24,3,Government Office,INF00344,24.12784,99.14118,1910,Good,2871,Timber,Medium,0.32
345,21,2,Disaster Relief Camp,INF00345,24.26973,99.22872,1996,Good,282,Masonry,Medium,5.89
346,43,5,School,INF00346,29.50586,97.87666,1960,Poor,533,Steel Frame,Medium,8.84
347,38,4,Power Station,INF00347,29.47268,98.86251,1963,Good,4564,Reinforced Concrete,Negligible,9.31
348,19,2,Police Station,INF00348,23.94177,96.65678,1914,Good,4628,Seismically Isolated,Low,2.41
349,49,6,Police Station,INF00349,29.34762,98.94003,2000,Poor,4677,Reinforced Concrete,High,0.03
350,54,6,Police Station,INF00350,29.76543,91.56212,1901,Critical,2606,Timber,Medium,2.75
351,34,4,Telecom Tower,INF00351,26.14109,97.58082,1917,Good,3961,Steel Frame,Medium,8.72
352,52,6,Disaster Relief Camp,INF00352,28.73179,99.9425,1977,Critical,4973,Timber,Negligible,2.81
353,55,7,Water Treatment,INF00353,29.04578,94.24998,1900,Fair,2249,Seismically Isolated,Low,8.94
354,14,2,Helipad,INF00354,22.59995,92.82775,1925,Poor,1632,Seismically Isolated,Negligible,0.95
355,48,6,Power Station,INF00355,26.64659,94.6058,1979,Critical,3456,Seismically Isolated,High,6.68
356,56,7,Telecom Tower,INF00356,29.16088,97.49579,1920,Critical,4437,Masonry,Negligible,5.7
357,54,6,Disaster Relief Camp,INF00357,29.31784,91.62175,1931,Critical,4700,Seismically Isolated,Negligible,8.62
358,55,7,Power Station,INF00358,28.68687,94.42147,1925,Fair,162,Timber,Low,4.27
359,50,6,Telecom Tower,INF00359,23.88608,92.61481,1962,Good,950,Steel Frame,Negligible,2.74
360,62,8,Power Station,INF00360,27.12032,92.50409,1956,Good,4181,Seismically Isolated,Negligible,4.95
361,50,6,Police Station,INF00361,23.90584,92.32335,2019,Good,1728,Seismically Isolated,Medium,5.26
362,40,5,Police Station,INF00362,27.984,97.78465,1957,Poor,2100,Reinforced Concrete,High,6.66
363,36,4,Police Station,INF00363,25.45459,90.43331,2009,Fair,1600,Timber,Low,0.38
364,40,5,Helipad,INF00364,28.27632,97.39335,1938,Good,4947,Steel Frame,High,2.14
365,51,6,Disaster Relief Camp,INF00365,29.85101,90.75992,1948,Poor,2277,Reinforced Concrete,Medium,5.18
366,39,4,Police Station,INF00366,27.47817,90.86384,1926,Poor,4447,Seismically Isolated,High,6.83
367,42,5,Helipad,INF00367,22.31327,97.50029,1917,Fair,3785,Steel Frame,Medium,5.32
368,39,4,Government Office,INF00368,27.60686,90.92211,1913,Critical,4926,Reinforced Concrete,Medium,6.81
369,21,2,School,INF00369,24.27752,99.37973,1915,Critical,2833,Steel Frame,Negligible,2.6
370,32,3,Disaster Relief Camp,INF00370,25.22388,95.55128,1905,Poor,4734,Reinforced Concrete,Medium,1.56
371,8,1,Power Station,INF00371,23.98183,98.88216,1964,Poor,674,Steel Frame,Negligible,0.01
372,5,1,School,INF00372,23.96256,95.16768,1980,Good,1509,Steel Frame,High,7.69
373,31,3,Police Station,INF00373,28.04053,95.47574,1997,Critical,1541,Masonry,Medium,6.68
374,55,7,Police Station,INF00374,29.09873,94.13316,2020,Poor,1085,Reinforced Concrete,Negligible,4.99
375,2,1,School,INF00375,23.79809,91.6835,1999,Poor,4822,Masonry,High,0.21
376,61,8,Disaster Relief Camp,INF00376,26.96994,90.29067,1928,Critical,3339,Masonry,Low,8.27
377,42,5,Telecom Tower,INF00377,22.18133,97.16715,2000,Good,1752,Steel Frame,Negligible,5.27
378,28,3,Government Office,INF00378,29.01709,93.13141,2023,Fair,1476,Seismically Isolated,Medium,2.45
379,7,1,Power Station,INF00379,26.63035,92.05629,1931,Critical,1581,Timber,Low,9.46
380,40,5,Police Station,INF00380,27.86982,97.64622,1904,Good,2055,Seismically Isolated,Low,4.37
381,1,1,School,INF00381,26.89709,90.37204,1998,Poor,2385,Steel Frame,Medium,8.66
382,33,4,Water Treatment,INF00382,23.7562,100.10798,1961,Critical,372,Timber,Medium,5.27
383,18,2,School,INF00383,28.63135,98.73097,1932,Fair,1663,Seismically Isolated,Low,0.13
384,15,2,Hospital,INF00384,26.90698,98.54892,2003,Fair,2694,Steel Frame,Negligible,9.24
385,4,1,Police Station,INF00385,26.91681,90.35682,1905,Critical,2577,Reinforced Concrete,Negligible,9.12
386,42,5,Disaster Relief Camp,INF00386,22.28325,97.26261,1954,Good,4563,Reinforced Concrete,Negligible,3.51
387,7,1,Government Office,INF00387,26.61559,92.19218,1923,Critical,4487,Masonry,High,5.53
388,42,5,Government Office,INF00388,21.85792,96.9969,1978,Good,1569,Seismically Isolated,High,1.53
389,44,5,Helipad,INF00389,29.59312,98.69233,1932,Good,1487,Seismically Isolated,High,5.05
390,38,4,Power Station,INF00390,29.76674,98.55103,1958,Fair,2888,Reinforced Concrete,High,5.26
391,47,6,Disaster Relief Camp,INF00391,29.73945,99.38341,1907,Good,1588,Reinforced Concrete,High,9.24
392,19,2,Police Station,INF00392,24.07071,96.49138,1913,Good,3372,Seismically Isolated,Medium,0.17
393,48,6,Government Office,INF00393,26.58802,94.59183,1958,Good,3303,Timber,High,0.59
394,13,2,Police Station,INF00394,26.3302,99.4968,1950,Critical,2149,Seismically Isolated,High,1.55
395,22,2,School,INF00395,22.44918,96.56076,2002,Good,2320,Seismically Isolated,Low,0.53
396,49,6,Helipad,INF00396,29.25116,98.95104,1910,Critical,461,Reinforced Concrete,Negligible,2.06
397,38,4,School,INF00397,30.04036,98.70376,1902,Good,109,Timber,High,4.56
398,42,5,Hospital,INF00398,22.27124,97.13624,2003,Critical,3559,Steel Frame,Medium,1.87
399,7,1,Water Treatment,INF00399,26.52431,92.34634,1948,Poor,3571,Reinforced Concrete,High,0.53
400,31,3,Telecom Tower,INF00400,27.71627,95.53272,1998,Fair,1778,Timber,Low,7.88
401,15,2,Helipad,INF00401,26.84799,98.46075,1919,Poor,4972,Reinforced Concrete,Negligible,5.51
402,9,1,Disaster Relief Camp,INF00402,27.88484,93.18985,1910,Good,724,Masonry,Medium,3.09
403,48,6,Power Station,INF00403,26.75161,95.08545,1945,Good,1654,Steel Frame,High,0.77
404,15,2,Power Station,INF00404,27.10204,98.71624,1915,Poor,4009,Steel Frame,Negligible,9.32
405,57,7,Telecom Tower,INF00405,23.65409,93.14737,1928,Fair,609,Steel Frame,Low,5.79
406,41,5,Water Treatment,INF00406,22.63833,94.49092,1912,Good,3509,Seismically Isolated,Low,3.4
407,14,2,Helipad,INF00407,22.65948,93.1332,1996,Good,1350,Steel Frame,Low,3.26
408,8,1,Power Station,INF00408,24.07083,98.59664,1922,Critical,812,Reinforced Concrete,High,0.45
409,62,8,Hospital,INF00409,26.90885,92.31792,1971,Critical,4803,Seismically Isolated,Medium,1.89
410,9,1,Hospital,INF00410,27.84674,93.17212,1989,Good,91,Reinforced Concrete,Medium,1.8
411,38,4,Telecom Tower,INF00411,29.53173,98.53773,1978,Poor,3799,Seismically Isolated,Negligible,0.2
412,58,7,Police Station,INF00412,27.01262,94.21001,1996,Poor,201,Masonry,Negligible,6.71
413,5,1,School,INF00413,23.92173,95.22557,1901,Fair,483,Reinforced Concrete,Negligible,1.6
414,18,2,Police Station,INF00414,29.11432,98.81676,1941,Good,384,Timber,Negligible,2.68
415,3,1,Hospital,INF00415,27.6176,99.11506,1946,Good,189,Steel Frame,Medium,1.03
416,44,5,Power Station,INF00416,29.39173,98.76234,1911,Poor,3971,Timber,High,5.85
417,17,2,Police Station,INF00417,23.69222,92.66336,1994,Poor,3910,Masonry,Negligible,9.44
418,2,1,Police Station,INF00418,23.71219,91.66368,1994,Fair,977,Seismically Isolated,Negligible,1.03
419,25,3,Power Station,INF00419,26.33012,96.89097,2006,Good,2254,Steel Frame,Medium,5.74
420,22,2,Police Station,INF00420,22.70897,96.43157,1939,Fair,1481,Timber,Negligible,0.9
421,46,5,Hospital,INF00421,23.36419,97.69467,1982,Poor,818,Reinforced Concrete,High,7.43
422,55,7,Police Station,INF00422,29.21302,94.48178,1935,Poor,149,Masonry,Negligible,4.38
423,14,2,Police Station,INF00423,22.50084,92.63524,1924,Good,2474,Masonry,Negligible,8.17
424,28,3,Water Treatment,INF00424,29.04856,93.09796,2013,Poor,426,Seismically Isolated,Medium,4.56
425,37,4,Power Station,INF00425,26.92554,94.61781,2008,Fair,4093,Seismically Isolated,Medium,9.37
426,2,1,Disaster Relief Camp,INF00426,24.13319,91.40169,1949,Good,4964,Reinforced Concrete,Medium,4.48
427,47,6,Helipad,INF00427,29.67044,99.08506,1937,Poor,1000,Timber,Negligible,2.32
428,23,3,School,INF00428,27.94543,91.4272,1927,Good,3322,Seismically Isolated,High,5.87
429,46,5,Government Office,INF00429,23.36314,97.58529,1920,Critical,1022,Reinforced Concrete,Low,5.84
430,36,4,Police Station,INF00430,25.27093,90.5635,1923,Good,908,Seismically Isolated,High,7.53
431,54,6,Telecom Tower,INF00431,29.37049,91.51594,1967,Poor,91,Timber,Negligible,8.31
432,35,4,Telecom Tower,INF00432,22.99003,91.67088,1926,Good,3893,Reinforced Concrete,Medium,2.07
433,25,3,Police Station,INF00433,26.4363,96.81715,1906,Good,4020,Seismically Isolated,Medium,0.04
434,27,3,Police Station,INF00434,25.13984,90.79483,1922,Fair,1510,Steel Frame,High,3.09
435,11,1,Telecom Tower,INF00435,23.0116,90.91745,2003,Poor,635,Seismically Isolated,Medium,0.12
436,34,4,Power Station,INF00436,26.09533,97.48208,1902,Critical,4980,Reinforced Concrete,Negligible,7.41
437,27,3,Power Station,INF00437,25.15793,90.44404,1963,Poor,71,Steel Frame,Negligible,6.02
438,17,2,Government Office,INF00438,23.56219,92.99746,1978,Fair,146,Reinforced Concrete,Negligible,7.89
439,60,8,School,INF00439,24.56831,95.97928,1909,Fair,2109,Timber,Negligible,2.0
440,23,3,Police Station,INF00440,27.86261,91.72372,1912,Fair,1523,Timber,Medium,8.6
441,13,2,Telecom Tower,INF00441,26.27118,99.49902,1977,Poor,4561,Reinforced Concrete,High,7.01
442,56,7,Telecom Tower,INF00442,29.33392,97.58215,1982,Good,1979,Reinforced Concrete,High,3.15
443,51,6,Disaster Relief Camp,INF00443,29.56379,90.66678,1940,Good,4470,Reinforced Concrete,High,6.98
444,44,5,Power Station,INF00444,29.56958,98.59391,1985,Fair,2771,Steel Frame,Medium,7.6
445,39,4,Helipad,INF00445,27.72262,91.14806,1933,Fair,2086,Timber,Low,4.42
446,24,3,Telecom Tower,INF00446,24.27885,99.36122,1907,Fair,666,Timber,Negligible,5.86
447,47,6,Power Station,INF00447,29.58515,99.08052,1908,Critical,4650,Reinforced Concrete,Low,4.01
448,59,8,Telecom Tower,INF00448,25.64918,92.69864,1912,Good,766,Timber,Low,5.33
449,30,3,Government Office,INF00449,25.42191,92.88791,1959,Fair,1848,Timber,Low,0.65
450,52,6,Hospital,INF00450,28.70697,99.72331,1961,Poor,3580,Seismically Isolated,Low,2.67
451,24,3,Helipad,INF00451,23.88475,99.11626,1997,Good,1283,Timber,Low,7.86
452,4,1,School,INF00452,26.56237,90.24672,1932,Good,4969,Steel Frame,High,9.21
453,10,1,Hospital,INF00453,23.68821,97.67084,1940,Fair,975,Reinforced Concrete,Low,2.75
454,58,7,Telecom Tower,INF00454,27.0852,94.14843,1983,Critical,1594,Reinforced Concrete,Medium,8.01
455,54,6,Power Station,INF00455,29.44355,91.85187,1999,Fair,3937,Seismically Isolated,Low,2.49
456,62,8,Disaster Relief Camp,INF00456,27.00941,92.14806,1928,Critical,1912,Steel Frame,Negligible,6.63
457,52,6,Police Station,INF00457,28.24072,99.52463,2017,Fair,3984,Timber,Negligible,5.22
458,49,6,Water Treatment,INF00458,29.31401,99.07515,2003,Poor,75,Timber,Low,6.04
459,21,2,School,INF00459,24.21201,99.28207,1941,Fair,3922,Seismically Isolated,Negligible,5.26
460,43,5,Power Station,INF00460,30.03999,97.38467,1904,Fair,4212,Seismically Isolated,Medium,0.73
461,44,5,Disaster Relief Camp,INF00461,29.24282,98.54018,1908,Good,4644,Seismically Isolated,Medium,2.35
462,53,6,Telecom Tower,INF00462,28.41989,91.55824,1942,Poor,872,Seismically Isolated,High,8.55
463,10,1,Telecom Tower,INF00463,23.54992,97.83979,1935,Fair,1488,Masonry,Negligible,2.89
464,8,1,Helipad,INF00464,24.28492,98.69038,2016,Fair,2232,Seismically Isolated,Medium,5.09
465,44,5,Helipad,INF00465,29.55338,98.93892,1988,Poor,4334,Masonry,Medium,6.08
466,28,3,Water Treatment,INF00466,28.72298,93.21858,1980,Fair,2482,Steel Frame,High,9.72
467,22,2,School,INF00467,22.34728,96.34623,1982,Fair,1731,Reinforced Concrete,High,9.8
468,57,7,Hospital,INF00468,23.43954,92.84553,1921,Good,879,Timber,High,1.49
469,24,3,Power Station,INF00469,24.39599,99.16166,1927,Good,3010,Timber,Medium,9.51
470,22,2,Water Treatment,INF00470,22.63987,96.15663,1928,Good,574,Masonry,Medium,4.89
471,12,1,Water Treatment,INF00471,26.72879,97.93218,1991,Critical,4684,Reinforced Concrete,Low,3.97
472,45,5,Government Office,INF00472,28.77437,95.15785,1966,Good,3644,Steel Frame,High,3.13
473,13,2,Police Station,INF00473,26.55841,99.90946,1943,Good,4667,Timber,Low,7.19
474,12,1,Hospital,INF00474,26.5942,97.92204,1946,Good,3048,Reinforced Concrete,Medium,2.41
475,16,2,School,INF00475,23.66067,90.93966,1900,Poor,3945,Masonry,Medium,6.03
476,60,8,Water Treatment,INF00476,24.92286,95.68827,1981,Fair,4032,Steel Frame,Negligible,9.67
477,38,4,Water Treatment,INF00477,30.0258,98.53171,1922,Good,194,Steel Frame,Low,3.81
478,51,6,Police Station,INF00478,29.47935,90.70591,2017,Poor,442,Masonry,Low,5.76
479,38,4,Water Treatment,INF00479,29.56746,98.43405,1907,Poor,3828,Seismically Isolated,High,3.57
480,35,4,Water Treatment,INF00480,23.48389,91.85279,1905,Good,1504,Masonry,Medium,5.89
481,62,8,Telecom Tower,INF00481,26.79433,92.04198,1941,Critical,4330,Seismically Isolated,Low,2.87
482,54,6,Hospital,INF00482,29.58861,91.36627,2015,Good,1076,Reinforced Concrete,Medium,9.29
483,33,4,Telecom Tower,INF00483,23.75489,99.98851,1943,Poor,2445,Seismically Isolated,Negligible,4.77
484,28,3,Telecom Tower,INF00484,28.86788,93.14091,2020,Good,1351,Reinforced Concrete,Negligible,2.48
485,48,6,Helipad,INF00485,26.50822,94.87107,1999,Good,1296,Masonry,High,4.47
486,37,4,Hospital,INF00486,26.51895,94.54433,1940,Good,92,Seismically Isolated,Medium,8.56
487,1,1,Hospital,INF00487,27.11845,90.45834,1982,Critical,2104,Reinforced Concrete,High,7.58
488,21,2,Telecom Tower,INF00488,24.07804,99.27122,1954,Critical,1646,Timber,Low,4.12
489,29,3,Helipad,INF00489,26.19986,98.61543,2017,Critical,2731,Masonry,Negligible,8.7
490,50,6,Police Station,INF00490,23.9805,92.35091,1902,Critical,3443,Reinforced Concrete,Low,0.58
491,59,8,Government Office,INF00491,25.84919,92.36885,1938,Poor,4606,Steel Frame,High,3.95
492,51,6,Disaster Relief Camp,INF00492,29.70138,90.77377,2009,Good,1883,Masonry,Negligible,8.94
493,4,1,Telecom Tower,INF00493,26.93399,90.16438,1916,Fair,4618,Steel Frame,Low,2.44
494,41,5,Telecom Tower,INF00494,22.85876,94.08078,1972,Fair,3368,Seismically Isolated,Negligible,2.92
495,16,2,Telecom Tower,INF00495,23.56175,90.63474,1934,Critical,1988,Steel Frame,Low,1.99
496,45,5,School,INF00496,28.4781,95.25628,1957,Critical,4830,Seismically Isolated,Medium,6.39
497,41,5,Water Treatment,INF00497,22.71343,94.20819,1933,Critical,200,Reinforced Concrete,Negligible,0.9
498,1,1,Power Station,INF00498,26.92908,90.01088,2013,Poor,1874,Seismically Isolated,Negligible,7.79
499,33,4,Telecom Tower,INF00499,23.96652,99.98132,1994,Good,2770,Steel Frame,Low,5.79
500,1,1,Water Treatment,INF00500,27.16111,90.24731,2011,Good,4441,Seismically Isolated,High,3.68
501,59,8,Hospital,INF00501,25.37403,92.23404,2016,Critical,668,Timber,Negligible,8.73
502,54,6,Telecom Tower,INF00502,29.76354,91.54997,2005,Good,3151,Steel Frame,Medium,5.68
503,5,1,Government Office,INF00503,23.95526,95.1725,1911,Critical,508,Reinforced Concrete,Low,2.65
504,60,8,Disaster Relief Camp,INF00504,24.59122,96.16638,1983,Fair,1150,Reinforced Concrete,High,6.82
505,62,8,Water Treatment,INF00505,26.84272,92.36586,2000,Good,3415,Timber,Medium,9.79
506,31,3,Helipad,INF00506,27.70489,95.53784,1943,Critical,922,Masonry,Low,8.09
507,17,2,Hospital,INF00507,23.98685,92.73959,1989,Critical,729,Timber,Negligible,5.94
508,32,3,Helipad,INF00508,25.59548,95.81949,1974,Poor,3655,Seismically Isolated,Low,4.63
509,46,5,Helipad,INF00509,22.98944,97.47964,2023,Fair,3758,Timber,High,7.76
510,31,3,School,INF00510,27.94879,95.20256,1954,Good,1631,Steel Frame,Negligible,3.66
511,13,2,Hospital,INF00511,26.30905,99.61384,1908,Fair,966,Masonry,Negligible,8.76
512,36,4,School,INF00512,25.27941,90.48822,1988,Critical,4576,Reinforced Concrete,Low,5.89
513,17,2,School,INF00513,23.6706,93.00281,1983,Critical,4664,Steel Frame,Low,1.13
514,40,5,Water Treatment,INF00514,27.84681,97.63807,1922,Fair,3233,Steel Frame,High,8.4
515,39,4,School,INF00515,27.50176,90.96923,1964,Fair,2451,Reinforced Concrete,Low,9.05
516,49,6,Water Treatment,INF00516,29.42626,98.53857,1989,Fair,4433,Steel Frame,Negligible,3.86
517,36,4,Power Station,INF00517,25.28948,90.65382,1918,Critical,2080,Timber,High,4.98
518,36,4,Police Station,INF00518,25.3662,90.71487,1907,Fair,4743,Steel Frame,Medium,8.36
519,40,5,School,INF00519,27.81545,97.40558,1929,Poor,4732,Steel Frame,Negligible,0.49
520,29,3,School,INF00520,25.96789,98.60702,2021,Critical,4277,Timber,High,7.92
521,28,3,Police Station,INF00521,29.1779,93.204,1998,Fair,4949,Seismically Isolated,Low,5.26
522,22,2,Helipad,INF00522,22.82417,96.23014,2019,Good,2848,Masonry,Negligible,7.74
523,53,6,Telecom Tower,INF00523,28.36696,91.3051,1969,Good,4609,Seismically Isolated,High,0.05
524,43,5,Power Station,INF00524,29.70926,97.35219,1965,Critical,3951,Seismically Isolated,Low,3.86
525,17,2,Helipad,INF00525,23.99151,93.16431,1997,Poor,4260,Reinforced Concrete,Negligible,5.69
526,10,1,School,INF00526,23.62649,97.54395,1947,Fair,2038,Seismically Isolated,Medium,3.68
527,7,1,Hospital,INF00527,26.47657,92.11267,1992,Fair,881,Seismically Isolated,Medium,2.28
528,16,2,Disaster Relief Camp,INF00528,23.82542,90.86776,2022,Fair,3438,Masonry,Low,4.46
529,48,6,Power Station,INF00529,26.75176,94.82141,1907,Good,2842,Reinforced Concrete,Medium,3.18
530,32,3,Hospital,INF00530,25.65071,95.7114,1926,Poor,2473,Seismically Isolated,Medium,6.97
531,4,1,Helipad,INF00531,27.02117,90.29315,1926,Good,3182,Reinforced Concrete,Negligible,6.66
532,11,1,Power Station,INF00532,22.5519,91.04874,1906,Critical,4930,Reinforced Concrete,High,2.69
533,1,1,Water Treatment,INF00533,27.14973,90.36594,1965,Critical,2702,Reinforced Concrete,Low,0.21
534,9,1,Helipad,INF00534,27.52775,93.21493,2013,Critical,548,Timber,Low,7.62
535,30,3,Hospital,INF00535,25.63116,92.92704,1916,Fair,3708,Timber,Medium,0.55
536,60,8,Power Station,INF00536,24.68386,95.68827,2006,Good,2004,Steel Frame,Medium,9.69
537,31,3,Water Treatment,INF00537,27.87137,95.55545,1904,Fair,2064,Seismically Isolated,Medium,6.94
538,34,4,Water Treatment,INF00538,25.77694,97.49274,1919,Good,2737,Seismically Isolated,Negligible,6.51
539,7,1,Helipad,INF00539,26.31214,92.06202,1929,Poor,1453,Timber,Medium,1.82
540,25,3,Water Treatment,INF00540,26.39547,96.65208,1921,Fair,4130,Masonry,Low,8.34
541,32,3,Police Station,INF00541,25.32501,95.81078,1915,Poor,381,Seismically Isolated,Low,1.61
542,60,8,Telecom Tower,INF00542,24.97629,95.78632,2023,Fair,3640,Reinforced Concrete,Medium,1.34
